entry_time,entry_price,exit_time,exit_price,exit_reason,stop_price,target_price,gross_pnl,holding_minutes,same_bar_stop_target_ambiguity,candidate_id,instrument,family,strategy_family,variant,signal_timeframe,execution_timeframe,entry_rule,stop_rule,target_rule,time_stop,max_trades_per_day,stop_after_first_loser,one_open_position,execution_mode,discovery_role,params,signal_time,signal_available_time,trading_session,side,reason,base_cost,stress_cost,net_pnl,stress_net_pnl,split,entry_hour
2026-04-29 15:00:00-04:00,27295.5,2026-04-29 15:02:00-04:00,27280.75,stop,27280.75,27318.25,-29.5,2,0,MNQ_vwap_reclaim_rejection_tf15_reclaim_60x90,MNQ,vwap_reclaim_rejection,vwap_reclaim_rejection,tf15_reclaim_60x90,15,1m,VWAP cross confirmation,60 ticks,90 ticks,15:55 ET,2,False,True,max2,new_candidate,mode=reclaim;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-29 14:45:00-04:00,2026-04-29 15:00:00-04:00,2026-04-29,long,vwap_reclaim_long,2.74,3.74,-32.24,-33.24,discovery,15:00
2026-04-30 11:00:00-04:00,27358.75,2026-04-30 11:00:00-04:00,27382.25,target,27344.75,27382.25,47.0,0,0,MNQ_vwap_reclaim_rejection_tf15_reclaim_60x90,MNQ,vwap_reclaim_rejection,vwap_reclaim_rejection,tf15_reclaim_60x90,15,1m,VWAP cross confirmation,60 ticks,90 ticks,15:55 ET,2,False,True,max2,new_candidate,mode=reclaim;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-04-30 10:45:00-04:00,2026-04-30 11:00:00-04:00,2026-04-30,long,vwap_reclaim_long,2.74,3.74,44.26,43.26,discovery,11:00
2026-05-01 13:00:00-04:00,27831.25,2026-05-01 13:14:00-04:00,27854.0,target,27816.5,27854.0,45.5,14,0,MNQ_vwap_reclaim_rejection_tf15_reclaim_60x90,MNQ,vwap_reclaim_rejection,vwap_reclaim_rejection,tf15_reclaim_60x90,15,1m,VWAP cross confirmation,60 ticks,90 ticks,15:55 ET,2,False,True,max2,new_candidate,mode=reclaim;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-01 12:45:00-04:00,2026-05-01 13:00:00-04:00,2026-05-01,long,vwap_reclaim_long,2.74,3.74,42.76,41.76,discovery,13:00
2026-05-05 10:30:00-04:00,28119.75,2026-05-05 10:37:00-04:00,28104.5,stop,28104.5,28142.0,-30.5,7,0,MNQ_vwap_reclaim_rejection_tf15_reclaim_60x90,MNQ,vwap_reclaim_rejection,vwap_reclaim_rejection,tf15_reclaim_60x90,15,1m,VWAP cross confirmation,60 ticks,90 ticks,15:55 ET,2,False,True,max2,new_candidate,mode=reclaim;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-05 10:15:00-04:00,2026-05-05 10:30:00-04:00,2026-05-05,long,vwap_reclaim_long,2.74,3.74,-33.24,-34.24,discovery,10:30
2026-05-06 10:45:00-04:00,28521.0,2026-05-06 10:53:00-04:00,28543.5,target,28506.0,28543.5,45.0,8,0,MNQ_vwap_reclaim_rejection_tf15_reclaim_60x90,MNQ,vwap_reclaim_rejection,vwap_reclaim_rejection,tf15_reclaim_60x90,15,1m,VWAP cross confirmation,60 ticks,90 ticks,15:55 ET,2,False,True,max2,new_candidate,mode=reclaim;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-06 10:30:00-04:00,2026-05-06 10:45:00-04:00,2026-05-06,long,vwap_reclaim_long,2.74,3.74,42.26,41.26,discovery,10:45
2026-05-11 10:15:00-04:00,29399.75,2026-05-11 10:15:00-04:00,29385.5,stop,29385.5,29423.0,-28.5,0,0,MNQ_vwap_reclaim_rejection_tf15_reclaim_60x90,MNQ,vwap_reclaim_rejection,vwap_reclaim_rejection,tf15_reclaim_60x90,15,1m,VWAP cross confirmation,60 ticks,90 ticks,15:55 ET,2,False,True,max2,new_candidate,mode=reclaim;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-11 10:00:00-04:00,2026-05-11 10:15:00-04:00,2026-05-11,long,vwap_reclaim_long,2.74,3.74,-31.240000000000002,-32.24,discovery,10:15
2026-05-11 10:45:00-04:00,29365.5,2026-05-11 10:51:00-04:00,29388.0,target,29350.5,29388.0,45.0,6,0,MNQ_vwap_reclaim_rejection_tf15_reclaim_60x90,MNQ,vwap_reclaim_rejection,vwap_reclaim_rejection,tf15_reclaim_60x90,15,1m,VWAP cross confirmation,60 ticks,90 ticks,15:55 ET,2,False,True,max2,new_candidate,mode=reclaim;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-11 10:30:00-04:00,2026-05-11 10:45:00-04:00,2026-05-11,long,vwap_reclaim_long,2.74,3.74,42.26,41.26,discovery,10:45
2026-05-13 10:30:00-04:00,29236.5,2026-05-13 10:31:00-04:00,29259.5,target,29222.0,29259.5,46.0,1,0,MNQ_vwap_reclaim_rejection_tf15_reclaim_60x90,MNQ,vwap_reclaim_rejection,vwap_reclaim_rejection,tf15_reclaim_60x90,15,1m,VWAP cross confirmation,60 ticks,90 ticks,15:55 ET,2,False,True,max2,new_candidate,mode=reclaim;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-13 10:15:00-04:00,2026-05-13 10:30:00-04:00,2026-05-13,long,vwap_reclaim_long,2.74,3.74,43.26,42.26,discovery,10:30
2026-05-14 10:15:00-04:00,29583.25,2026-05-14 10:15:00-04:00,29605.75,target,29568.25,29605.75,45.0,0,0,MNQ_vwap_reclaim_rejection_tf15_reclaim_60x90,MNQ,vwap_reclaim_rejection,vwap_reclaim_rejection,tf15_reclaim_60x90,15,1m,VWAP cross confirmation,60 ticks,90 ticks,15:55 ET,2,False,True,max2,new_candidate,mode=reclaim;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-14 10:00:00-04:00,2026-05-14 10:15:00-04:00,2026-05-14,long,vwap_reclaim_long,2.74,3.74,42.26,41.26,discovery,10:15
2026-05-14 13:45:00-04:00,29698.0,2026-05-14 13:46:00-04:00,29720.0,target,29682.5,29720.0,44.0,1,0,MNQ_vwap_reclaim_rejection_tf15_reclaim_60x90,MNQ,vwap_reclaim_rejection,vwap_reclaim_rejection,tf15_reclaim_60x90,15,1m,VWAP cross confirmation,60 ticks,90 ticks,15:55 ET,2,False,True,max2,new_candidate,mode=reclaim;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-14 13:30:00-04:00,2026-05-14 13:45:00-04:00,2026-05-14,long,vwap_reclaim_long,2.74,3.74,41.26,40.26,discovery,13:45
