candidate_id,fold,net_pnl,stress_pnl,trades
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,3,-391.42,-399.42,8
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,4,273.8,268.8,5
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,5,-255.68,-262.68,7
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,6,11.56,5.56,6
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,1,60.78,57.78,3
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,2,-68.84,-77.84,9
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,3,-44.92,-52.92,8
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,4,-20.7,-25.7,5
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,5,-185.18,-192.18,7
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,6,-47.44,-53.44,6
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,1,44.76,43.76,1
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2,-143.97,-151.97,8
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,3,-269.87,-276.87,7
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,4,56.1,51.1,5
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,5,-202.08,-208.08,6
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,6,6.04,2.04,4
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_two_bar_resume_fill_next_open_structure_target_time_exit,1,-2.24,-3.24,1
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_two_bar_resume_fill_next_open_structure_target_time_exit,2,57.08,49.08,8
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_two_bar_resume_fill_next_open_structure_target_time_exit,3,-213.51,-220.51,7
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_two_bar_resume_fill_next_open_structure_target_time_exit,4,-11.2,-16.2,5
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_two_bar_resume_fill_next_open_structure_target_time_exit,5,-157.98,-163.98,6
MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_two_bar_resume_fill_next_open_structure_target_time_exit,6,102.04,98.04,4
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,1,-11.68,-14.68,3
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,2,125.21,117.21,8
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,3,208.32,201.32,7
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,4,67.3,62.3,5
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,5,-388.35,-397.35,9
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,6,148.3,143.3,5
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,1,10.32,7.32,3
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,2,85.71,77.71,8
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,3,326.32,319.32,7
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,4,-40.2,-45.2,5
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,5,-508.85,-517.85,9
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,6,126.3,121.3,5
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,1,22.52,20.52,2
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2,89.93,83.93,6
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,3,-205.19,-212.19,7
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,4,327.3,322.3,5
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,5,-217.24,-223.24,6
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,6,198.8,193.8,5
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,1,35.02,33.02,2
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,2,26.93,20.93,6
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,3,-176.69,-183.69,7
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,4,105.8,100.8,5
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,5,-217.24,-223.24,6
MNQ_12a_odpullback_long_first_pullback_OD60_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,6,237.3,232.3,5
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,1,-46.48,-48.48,2
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2,659.04,655.04,4
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,3,-157.46,-161.46,4
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,4,143.54,139.54,4
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,5,41.52,39.52,2
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,6,325.3,320.3,5
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,1,-21.98,-23.98,2
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,2,195.54,191.54,4
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,3,-203.46,-207.46,4
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,4,-26.96,-30.96,4
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,5,-79.98,-81.98,2
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,6,18.8,13.8,5
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,1,354.52,352.52,2
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2,432.04,428.04,4
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,3,218.69,214.69,4
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,4,171.79,167.79,4
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,5,-119.48,-121.48,2
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,6,-60.67,-65.67,5
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_structure_target_time_exit,1,37.52,35.52,2
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_structure_target_time_exit,2,119.54,115.54,4
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_structure_target_time_exit,3,-85.31,-89.31,4
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_structure_target_time_exit,4,24.04,20.04,4
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_structure_target_time_exit,5,-129.48,-131.48,2
MNQ_12a_odpullback_short_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_structure_target_time_exit,6,-272.67,-277.67,5
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,1,53.3,48.3,5
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,2,299.3,294.3,5
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,3,-306.2,-311.2,5
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,4,-72.46,-76.46,4
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,5,431.76,430.76,1
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,6,-175.44,-181.44,6
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,1,-248.2,-253.2,5
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,2,224.3,219.3,5
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,3,-97.2,-102.2,5
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,4,-64.46,-68.46,4
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,5,212.26,211.26,1
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,6,-120.94,-126.94,6
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,1,240.04,236.04,4
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,2,344.04,340.04,4
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,3,-591.99,-596.99,5
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,4,-49.07,-52.07,3
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,5,-228.26,-229.26,1
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,6,-516.11,-521.11,5
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,1,-87.96,-91.96,4
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,2,261.54,257.54,4
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,3,-385.99,-390.99,5
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,4,-110.57,-113.57,3
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,5,51.26,50.26,1
MNQ_12a_odpullback_short_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,6,-427.61,-432.61,5
MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,1,68.54,64.54,4
MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,2,50.32,43.32,7
MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,3,414.04,410.04,4
MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,4,-213.94,-219.94,6
MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,5,200.26,199.26,1
