phase12a_rank,candidate_id,instrument,branch,side,od_window,od_start,od_end,pullback_anchor,confirmation_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,trades,active_days,trades_per_active_day,gross_pnl,fees_only_pnl,normal_slippage_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,stop_hit_rate,target_hit_rate,time_stop_rate,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,invalid_risk_skipped_count,first_pullback_only_count,skipped_non_first_pullbacks,phase12a_label,research_axis_status,phase12a_score,reject_reasons
21,MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,MNQ,short_first_pullback,short,OD30,09:30,10:00,drive_boundary_retest,resume_close_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,41,41,1.0,-62.25,-174.59,-174.59,-174.59,-215.59,-285.16,-2.24,-489.86,1.0,1.0,66.9,52.29,0.341463,0.634146,0.02439,-266.78,-288.78,0.166667,-264.94,0,41,72,phase12a_rejected_low_activity,axis_failed,-5244.23,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
22,MNQ_12a_odpullback_short_first_pullback_OD30_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,MNQ,short_first_pullback,short,OD30,09:30,10:00,ema20_retest,two_bar_resume_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,35,35,1.0,-195.51,-291.41,-291.41,-291.41,-326.41,-239.27,-134.98,-532.99,1.0,1.0,82.09,80.39,0.428571,0.314286,0.257143,-136.39,-157.39,0.166667,-241.05,0,35,38,phase12a_rejected_low_activity,axis_failed,-5266.79,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
23,MNQ_12a_odpullback_short_first_pullback_OD60_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,MNQ,short_first_pullback,short,OD60,09:30,10:30,ema20_retest,resume_close_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,41,41,1.0,-48.0,-160.34,-160.34,-160.34,-201.34,-161.66,48.78,-572.8,1.0,1.0,71.91,67.0,0.439024,0.365854,0.195122,-225.04,-246.04,0.333333,-281.96,0,41,87,phase12a_rejected_low_activity,axis_failed,-5270.18,low activity; negative stress; negative validation; fold instability; concentration
24,MNQ_12a_odpullback_short_first_pullback_OD30_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,MNQ,short_first_pullback,short,OD30,09:30,10:00,ema20_retest,resume_close_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,44,44,1.0,-134.51,-255.07,-255.07,-255.07,-299.07,-549.9,139.78,-662.64,1.0,1.0,97.32,80.32,0.545455,0.0,0.454545,-60.24,-86.24,0.333333,-404.44,0,44,104,phase12a_rejected_low_activity,axis_failed,-5297.95,low activity; negative stress; negative validation; fold instability; concentration
25,MNQ_12a_odpullback_short_first_pullback_OD60_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,MNQ,short_first_pullback,short,OD60,09:30,10:30,ema20_retest,two_bar_resume_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,29,29,1.0,-51.38,-130.84,-130.84,-130.84,-159.84,-195.12,-230.13,-541.94,1.0,1.0,96.91,68.4,0.413793,0.0,0.586207,-342.45,-357.45,0.333333,-206.57,0,29,30,phase12a_rejected_low_activity,axis_failed,-5309.23,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
26,MNQ_12a_odpullback_long_first_pullback_OD60_drive_boundary_retest_two_bar_resume_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD60,09:30,10:30,drive_boundary_retest,two_bar_resume_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,49,49,1.0,-239.37,-373.63,-373.63,-373.63,-422.63,-250.95,-29.7,-490.17,1.0,1.0,28.53,34.51,0.22449,0.755102,0.020408,-225.81,-256.81,0.333333,-220.51,0,49,23,phase12a_rejected_low_activity,axis_failed,-5419.61,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
27,MNQ_12a_odpullback_long_first_pullback_OD30_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,MNQ,long_first_pullback,long,OD30,09:30,10:00,drive_boundary_retest,two_bar_resume_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,46,46,1.0,-373.16,-499.2,-499.2,-499.2,-545.2,-29.21,-261.09,-445.96,1.0,1.0,64.8,76.24,0.5,0.0,0.5,-204.25,-233.25,0.333333,-184.22,0,46,41,phase12a_rejected_low_activity,axis_failed,-5474.41,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
28,MNQ_12a_odpullback_long_first_pullback_OD30_ema20_retest_resume_close_fill_next_open_structure_target_time_exit,MNQ,long_first_pullback,long,OD30,09:30,10:00,ema20_retest,resume_close_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,66,66,1.0,-207.18,-388.02,-388.02,-388.02,-454.02,-142.12,-340.81,-592.87,1.0,1.0,52.52,57.23,0.484848,0.348485,0.166667,-228.79,-269.79,0.666667,-232.16,0,66,156,phase12a_rejected_negative_stress,axis_failed,-5566.68,negative stress; negative validation; negative holdout; fold instability; concentration
29,MNQ_12a_odpullback_short_first_pullback_OD60_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,MNQ,short_first_pullback,short,OD60,09:30,10:30,drive_boundary_retest,two_bar_resume_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,18,18,1.0,-245.26,-294.58,-294.58,-294.58,-312.58,-196.46,219.02,-917.42,1.0,1.0,121.03,92.56,0.5,0.0,0.5,-103.13,-109.13,0.333333,-126.69,0,18,14,phase12a_rejected_low_activity,axis_failed,-5589.13,low activity; negative stress; negative validation; fold instability; concentration
30,MNQ_12a_odpullback_long_first_pullback_OD30_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,MNQ,long_first_pullback,long,OD30,09:30,10:00,ema20_retest,resume_close_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,66,66,1.0,-125.01,-305.85,-305.85,-305.85,-371.85,-160.62,-331.81,-624.12,1.0,1.0,65.41,63.47,0.530303,0.0,0.469697,-335.62,-376.62,0.5,-232.68,0,66,156,phase12a_rejected_negative_stress,axis_failed,-5622.59,negative stress; negative validation; negative holdout; fold instability; concentration
