candidate_id,signal_time,confirmation_time,entry_time,trading_session,module_family,side,trigger_model,confirmation_model,exit_variant,trigger_level,signal_open,signal_high,signal_low,signal_close,atr,morning_high,morning_low,morning_midpoint,morning_range,power_range_high,power_range_low,power_range_midpoint,power_range_width,lunch_high,lunch_low,lunch_midpoint,lunch_range,lunch_low_vol_threshold,lunch_prior_sessions_used,skipped_extra_signals_same_day,entry_price,exit_time,exit_price,exit_reason,structural_stop,atr_cap_stop,actual_stop,target_price,gross_pnl,net_pnl,stress_pnl,mfe,mae,same_bar_ambiguity,stop_hit,target_hit,time_stop,instrument,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,build_start,build_end,trade_start,trade_end,entry_rule,paper_trading_approved,split
MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,2026-02-06 15:15:00-05:00,2026-02-06 15:15:00-05:00,2026-02-06 15:20:00-05:00,2026-02-06,power_hour_continuation,long,power_range_edge_retest_resume,close_confirm_fill_next_open,structure_target_time_exit,25110.5,25097.0,25118.5,25096.25,25116.0,20.214285714285715,25036.5,24700.5,24868.5,336.0,25110.5,25065.0,25087.75,45.5,25123.75,24978.75,25051.25,145.0,94.45,147,3,25116.25,2026-02-06 15:40:00-05:00,25146.625,target,25096.0,25090.9821,25096.0,25146.625,60.75,58.01,57.01,68.5,34.0,0,0,1,0,MNQ,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,discovery
MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,2026-02-09 14:35:00-05:00,2026-02-09 14:35:00-05:00,2026-02-09 14:40:00-05:00,2026-02-09,power_hour_continuation,long,power_range_edge_retest_resume,close_confirm_fill_next_open,structure_target_time_exit,25423.75,25420.75,25429.0,25417.25,25425.5,20.821428571428573,25357.75,24955.5,25156.625,402.25,25423.75,25330.5,25377.125,93.25,25416.75,25311.5,25364.125,105.25,94.65,148,0,25426.0,2026-02-09 14:40:00-05:00,25417.0,stop,25417.0,25399.9732,25417.0,25439.5,-18.0,-20.74,-21.74,0.0,26.0,0,1,0,0,MNQ,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,discovery
MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,2026-03-02 14:45:00-05:00,2026-03-02 14:45:00-05:00,2026-03-02 14:50:00-05:00,2026-03-02,power_hour_continuation,long,power_range_edge_retest_resume,close_confirm_fill_next_open,structure_target_time_exit,25089.5,25077.0,25100.0,25076.75,25094.25,28.5,24988.0,24605.25,24796.625,382.75,25089.5,24967.0,25028.25,122.5,25076.5,24861.0,24968.75,215.5,97.45,163,1,25094.5,2026-03-02 15:00:00-05:00,25076.5,stop,25076.5,25058.875,25076.5,25121.5,-36.0,-38.74,-39.74,5.5,58.0,0,1,0,0,MNQ,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,validation
MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,2026-03-09 14:30:00-04:00,2026-03-09 14:30:00-04:00,2026-03-09 14:35:00-04:00,2026-03-09,power_hour_continuation,long,power_range_edge_retest_resume,close_confirm_fill_next_open,structure_target_time_exit,24683.5,24650.0,24699.5,24647.5,24694.5,32.410714285714285,24649.75,24313.25,24481.5,336.5,24683.5,24575.5,24629.5,108.0,24750.0,24592.5,24671.25,157.5,98.1,168,4,24695.0,2026-03-09 14:55:00-04:00,24654.4866,stop,24647.25,24654.4866,24654.4866,24755.7701,-81.03,-83.77,-84.77,26.5,90.0,0,1,0,0,MNQ,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,validation
MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,2026-03-16 14:40:00-04:00,2026-03-16 14:40:00-04:00,2026-03-16 14:45:00-04:00,2026-03-16,power_hour_continuation,long,power_range_edge_retest_resume,close_confirm_fill_next_open,structure_target_time_exit,24730.0,24722.75,24735.5,24715.5,24730.75,23.857142857142858,24765.75,24602.25,24684.0,163.5,24730.0,24652.0,24691.0,78.0,24739.75,24617.25,24678.5,122.5,98.9,173,1,24730.75,2026-03-16 14:50:00-04:00,24715.25,stop,24715.25,24700.9286,24715.25,24754.0,-31.0,-33.74,-34.74,9.5,39.5,0,1,0,0,MNQ,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,validation
MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,2026-03-31 15:10:00-04:00,2026-03-31 15:10:00-04:00,2026-03-31 15:15:00-04:00,2026-03-31,power_hour_continuation,long,power_range_edge_retest_resume,close_confirm_fill_next_open,structure_target_time_exit,23872.0,23845.5,23886.5,23844.0,23879.5,33.160714285714285,23588.5,23377.5,23483.0,211.0,23872.0,23747.25,23809.625,124.75,23877.25,23436.0,23656.625,441.25,100.1,184,0,23879.75,2026-03-31 15:45:00-04:00,23933.75,target,23843.75,23838.2991,23843.75,23933.75,108.0,105.26,104.26,132.0,14.5,0,0,1,0,MNQ,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,validation
MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,2026-04-13 14:50:00-04:00,2026-04-13 14:50:00-04:00,2026-04-13 14:55:00-04:00,2026-04-13,power_hour_continuation,long,power_range_edge_retest_resume,close_confirm_fill_next_open,structure_target_time_exit,25438.5,25435.5,25450.5,25429.5,25448.75,14.25,25358.75,25160.0,25259.375,198.75,25438.5,25396.0,25417.25,42.5,25441.25,25282.25,25361.75,159.0,101.85000000000001,192,2,25448.75,2026-04-13 15:25:00-04:00,25459.0,time_stop,25429.25,25430.9375,25430.9375,25475.4688,20.5,17.76,16.76,26.0,35.5,0,0,0,1,MNQ,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,validation
MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,2026-04-14 15:15:00-04:00,2026-04-14 15:15:00-04:00,2026-04-14 15:20:00-04:00,2026-04-14,power_hour_continuation,long,power_range_edge_retest_resume,close_confirm_fill_next_open,structure_target_time_exit,25969.25,25959.25,25976.0,25959.0,25971.0,21.678571428571427,25846.0,25655.75,25750.875,190.25,25969.25,25885.0,25927.125,84.25,25960.0,25832.5,25896.25,127.5,102.45000000000002,193,3,25971.25,2026-04-14 15:25:00-04:00,25990.0,target,25958.75,25944.1518,25958.75,25990.0,37.5,34.76,33.76,37.5,3.5,0,0,1,0,MNQ,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,validation
MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,2026-04-15 14:30:00-04:00,2026-04-15 14:30:00-04:00,2026-04-15 14:35:00-04:00,2026-04-15,power_hour_continuation,long,power_range_edge_retest_resume,close_confirm_fill_next_open,structure_target_time_exit,26257.25,26247.5,26275.0,26247.25,26274.5,25.892857142857142,26201.75,25982.75,26092.25,219.0,26257.25,26172.75,26215.0,84.5,26252.75,26103.0,26177.875,149.75,102.8,194,0,26274.75,2026-04-15 15:05:00-04:00,26316.375,target,26247.0,26242.3839,26247.0,26316.375,83.25,80.51,79.51,98.5,22.5,0,0,1,0,MNQ,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,validation
MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,2026-04-22 15:15:00-04:00,2026-04-22 15:15:00-04:00,2026-04-22 15:20:00-04:00,2026-04-22,power_hour_continuation,long,power_range_edge_retest_resume,close_confirm_fill_next_open,structure_target_time_exit,27048.5,27031.25,27051.75,27030.0,27050.75,20.5,27009.25,26807.75,26908.5,201.5,27048.5,26992.0,27020.25,56.5,27050.0,26958.0,27004.0,92.0,103.4,199,1,27050.5,2026-04-22 15:45:00-04:00,27063.25,session_flatten,27029.75,27024.875,27029.75,27081.625,25.5,22.76,21.76,31.5,28.0,0,0,0,1,MNQ,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,validation
