pruning_variant,priority_policy,portfolio_mode,trading_session,net_pnl
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-08-29,25.76
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-09-02,147.76
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-09-03,87.76
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-09-04,-15.74
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-09-05,-124.7
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-09-09,-31.74
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-09-10,13.76
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-09-11,6.26
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-09-12,45.26
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-09-15,-12.74
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-09-16,-24.74
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-09-17,-51.74
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-09-18,82.26
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-09-19,-1.74
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-09-22,52.01
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-09-23,-24.24
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-09-24,-57.24
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-09-25,122.26
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-09-26,-13.74
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-09-29,29.26
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-09-30,-116.24
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-10-01,-16.24
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-10-02,24.26
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-10-03,-41.24
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-10-06,-62.24
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2025-10-07,-14.74
