candidate_id,session_date,session_pnl,session_trades,weekday,signal_density,best_trade_pnl,worst_trade_pnl,first_entry_time,last_entry_time
exclude_wednesday__fixed_r_1_5_time30__mt1_gap30_sal0_saw1_dlnone_dp1.0,2026-02-09,280.01,1,Monday,1,280.01,280.01,2026-02-09 09:36:00-05:00,2026-02-09 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt2_gap30_sal0_saw1_dlnone_dp1.5,2026-02-17,-359.48,2,Tuesday,2,-3.24,-356.24,2026-02-17 09:36:00-05:00,2026-02-17 10:23:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt2_gap30_sal0_saw1_dlnone_dp1.5,2026-02-09,280.01,1,Monday,1,280.01,280.01,2026-02-09 09:36:00-05:00,2026-02-09 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt2_gap30_sal0_saw1_dlnone_dp1.5,2026-02-06,-268.98,2,Friday,2,-132.24,-136.74,2026-02-06 09:36:00-05:00,2026-02-06 10:26:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt1_gap60_sal1_saw1_dl1.0_dp1.0,2026-02-05,-389.24,1,Thursday,1,-389.24,-389.24,2026-02-05 09:37:00-05:00,2026-02-05 09:37:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt1_gap60_sal1_saw1_dl1.0_dp1.0,2026-02-17,-356.24,1,Tuesday,1,-356.24,-356.24,2026-02-17 09:36:00-05:00,2026-02-17 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt1_gap60_sal1_saw1_dl1.0_dp1.0,2026-02-09,280.01,1,Monday,1,280.01,280.01,2026-02-09 09:36:00-05:00,2026-02-09 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt3_gap60_sal0_saw0_dl2.0_dp2.0,2026-02-09,280.01,1,Monday,1,280.01,280.01,2026-02-09 09:36:00-05:00,2026-02-09 09:36:00-05:00
exclude_wednesday__fixed_r_1_5_time30__mt3_gap60_sal0_saw0_dl2.0_dp2.0,2026-06-11,-274.98,2,Thursday,2,-107.24,-167.74,2026-06-11 09:36:00-04:00,2026-06-11 10:40:00-04:00
exclude_wednesday__fixed_r_1_5_time30__mt3_gap60_sal0_saw0_dl2.0_dp2.0,2026-02-17,-267.48,2,Tuesday,2,88.76,-356.24,2026-02-17 09:36:00-05:00,2026-02-17 10:56:00-05:00
exclude_wednesday__vwap_failure_1_5_time30__mt1_gap30_sal1_saw0_dl1.0_dpnone,2025-11-14,357.47,1,Friday,1,357.47,357.47,2025-11-14 09:40:00-05:00,2025-11-14 09:40:00-05:00
exclude_wednesday__vwap_failure_1_5_time30__mt1_gap30_sal1_saw0_dl1.0_dpnone,2026-05-14,230.68,1,Thursday,1,230.68,230.68,2026-05-14 09:36:00-04:00,2026-05-14 09:36:00-04:00
exclude_wednesday__vwap_failure_1_5_time30__mt1_gap30_sal1_saw0_dl1.0_dpnone,2026-03-19,221.35,1,Thursday,1,221.35,221.35,2026-03-19 09:42:00-04:00,2026-03-19 09:42:00-04:00
exclude_wednesday__vwap_failure_1_5_time30__mt1_gap60_sal1_saw0_dl1.0_dpnone,2025-11-14,357.47,1,Friday,1,357.47,357.47,2025-11-14 09:40:00-05:00,2025-11-14 09:40:00-05:00
exclude_wednesday__vwap_failure_1_5_time30__mt1_gap60_sal1_saw0_dl1.0_dpnone,2026-05-14,230.68,1,Thursday,1,230.68,230.68,2026-05-14 09:36:00-04:00,2026-05-14 09:36:00-04:00
exclude_wednesday__vwap_failure_1_5_time30__mt1_gap60_sal1_saw0_dl1.0_dpnone,2026-03-19,221.35,1,Thursday,1,221.35,221.35,2026-03-19 09:42:00-04:00,2026-03-19 09:42:00-04:00
exclude_wednesday__vwap_failure_1_5_time30__mt2_gap30_sal1_saw0_dl1.0_dpnone,2025-11-14,357.47,1,Friday,1,357.47,357.47,2025-11-14 09:40:00-05:00,2025-11-14 09:40:00-05:00
exclude_wednesday__vwap_failure_1_5_time30__mt2_gap30_sal1_saw0_dl1.0_dpnone,2026-05-14,227.44,2,Thursday,2,230.68,-3.24,2026-05-14 09:36:00-04:00,2026-05-14 10:07:00-04:00
