signal_time,confirmation_time,entry_time,trading_session,side,box_high,box_low,atr,timeframe,compression_method,time_window,entry_price,exit_time,exit_price,exit_reason,invalidation_time,opposite_box_stop,hard_cap_stop,stop_price,target_price,gross_pnl,net_pnl,stress_pnl,risk_dollars,mfe,mae,same_bar_ambiguity,target_hit,stop_hit,time_stop,stop_failure_bucket,candidate_id,compression_lookback,compression_threshold,entry_start,entry_end,is_primary_eligible,entry_model,exit_model,direction_mode,target_r,atr_cap_multiple,buffer_ticks,max_trades_per_day,min_minutes_between_entries,time_stop_minutes,instrument,family,split
2025-08-21 11:10:00-04:00,2025-08-21 11:15:00-04:00,2025-08-21 11:20:00-04:00,2025-08-21,short,23345.75,23249.0,36.21875,5,range_percentile,extended_midday,23240.5,2025-08-21 11:20:00-04:00,23276.7188,stop,,23346.25,23276.7188,23276.7188,23168.0625,-72.44,-75.18,-76.18,72.44,25.0,96.0,0,0,1,0,quick_or_adverse_stop,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,8,0.2,10:00,13:30,False,close_confirm_fill_next_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,discovery
2025-08-21 12:00:00-04:00,2025-08-21 12:05:00-04:00,2025-08-21 12:10:00-04:00,2025-08-21,short,23295.75,23191.0,32.5625,5,range_percentile,extended_midday,23186.0,2025-08-21 12:15:00-04:00,23194.0,invalidation_exit,2025-08-21 12:10:00-04:00,23296.25,23218.5625,23218.5625,23120.875,-16.0,-18.74,-19.74,65.12,20.5,45.5,0,0,0,0,not_stop,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,8,0.2,10:00,13:30,False,close_confirm_fill_next_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,discovery
2025-08-22 11:45:00-04:00,2025-08-22 11:50:00-04:00,2025-08-22 11:55:00-04:00,2025-08-22,short,23648.75,23605.25,27.21875,5,range_percentile,extended_midday,23584.75,2025-08-22 12:15:00-04:00,23530.3125,target,,23649.25,23611.9688,23611.9688,23530.3125,108.88,106.14,105.14,54.44,122.0,20.5,0,1,0,0,not_stop,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,8,0.2,10:00,13:30,False,close_confirm_fill_next_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,discovery
2025-08-29 11:50:00-04:00,2025-08-29 11:55:00-04:00,2025-08-29 12:00:00-04:00,2025-08-29,short,23498.5,23446.0,22.53125,5,range_percentile,extended_midday,23432.0,2025-08-29 12:00:00-04:00,23454.5312,stop,,23499.0,23454.5312,23454.5312,23386.9375,-45.06,-47.8,-48.8,45.06,6.0,49.0,0,0,1,0,quick_or_adverse_stop,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,8,0.2,10:00,13:30,False,close_confirm_fill_next_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,discovery
2025-09-02 11:30:00-04:00,2025-09-02 11:35:00-04:00,2025-09-02 11:40:00-04:00,2025-09-02,short,23179.25,23095.5,27.5625,5,range_percentile,extended_midday,23056.5,2025-09-02 12:10:00-04:00,23061.75,time_stop,,23179.75,23084.0625,23084.0625,23001.375,-10.5,-13.24,-14.24,55.12,60.0,25.0,0,0,0,1,not_stop,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,8,0.2,10:00,13:30,False,close_confirm_fill_next_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,discovery
2025-09-04 10:00:00-04:00,2025-09-04 10:05:00-04:00,2025-09-04 10:10:00-04:00,2025-09-04,short,23548.25,23457.25,53.535714285714285,5,range_percentile,extended_midday,23441.5,2025-09-04 10:25:00-04:00,23477.25,invalidation_exit,2025-09-04 10:20:00-04:00,23548.75,23495.0357,23495.0357,23334.4286,-71.5,-74.24,-75.24,107.07,63.0,76.5,0,0,0,0,not_stop,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,8,0.2,10:00,13:30,False,close_confirm_fill_next_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,discovery
2025-09-05 10:35:00-04:00,2025-09-05 10:40:00-04:00,2025-09-05 10:45:00-04:00,2025-09-05,short,23864.5,23629.25,55.78125,5,range_percentile,extended_midday,23609.0,2025-09-05 10:55:00-04:00,23632.75,invalidation_exit,2025-09-05 10:50:00-04:00,23865.0,23664.7812,23664.7812,23497.4375,-47.5,-50.24,-51.24,111.56,92.0,52.0,0,0,0,0,not_stop,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,8,0.2,10:00,13:30,False,close_confirm_fill_next_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,discovery
2025-09-08 12:30:00-04:00,2025-09-08 12:35:00-04:00,2025-09-08 12:40:00-04:00,2025-09-08,short,23876.0,23821.0,18.15625,5,range_percentile,extended_midday,23807.75,2025-09-08 13:10:00-04:00,23788.0,time_stop,,23876.5,23825.9062,23825.9062,23771.4375,39.5,36.76,35.76,36.31,46.0,31.0,0,0,0,1,not_stop,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,8,0.2,10:00,13:30,False,close_confirm_fill_next_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,discovery
2025-09-10 11:15:00-04:00,2025-09-10 11:20:00-04:00,2025-09-10 11:25:00-04:00,2025-09-10,short,23990.75,23955.25,21.96875,5,range_percentile,extended_midday,23934.25,2025-09-10 11:40:00-04:00,23956.2188,stop,,23991.25,23956.2188,23956.2188,23890.3125,-43.94,-46.68,-47.68,43.94,27.0,44.5,0,0,1,0,quick_or_adverse_stop,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,8,0.2,10:00,13:30,False,close_confirm_fill_next_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,discovery
2025-09-10 12:15:00-04:00,2025-09-10 12:20:00-04:00,2025-09-10 12:25:00-04:00,2025-09-10,short,23969.25,23923.5,16.125,5,range_percentile,extended_midday,23920.25,2025-09-10 12:35:00-04:00,23924.5,invalidation_exit,2025-09-10 12:30:00-04:00,23969.75,23936.375,23936.375,23888.0,-8.5,-11.24,-12.24,32.25,12.5,13.0,0,0,0,0,not_stop,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,8,0.2,10:00,13:30,False,close_confirm_fill_next_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,discovery
