phase8m_rank,candidate_id,base_filter,exit_model,risk_model,max_trades_per_day,min_minutes_between_entries,stop_after_loss,stop_after_win,daily_loss_lockout_r,daily_profit_lockout_r,diagnostic_only,source_trades,trades,removed_trades,active_days,active_days_pct,trades_per_active_day,net_pnl,stress_pnl,discovery_pnl,validation_pnl,holdout_pnl,walk_forward_test_pnl,walk_forward_stress_pnl,walk_forward_test_trades,positive_wf_test_folds,positive_wf_test_folds_pct,worst_wf_test_fold,walk_forward_folds,max_drawdown,walk_forward_max_drawdown,best_day_pnl,best_day_concentration,best_trade_pnl,best_trade_concentration,walk_forward_day_concentration,walk_forward_trade_concentration,phase8m_score,phase8m_label,reject_reasons
90,exclude_10_00_10_30__vwap_failure_1_5_time30__mt2_gap30_sal1_saw0_dl1.0_dpnone,exclude_10_00_10_30,vwap_failure_1_5_time30,mt2_gap30_sal1_saw0_dl1.0_dpnone,2,30,True,False,1.0,none,False,2165,204,1961,175,1.0,1.165714,930.7,726.7,622.94,-200.13,507.89,536.3,445.3,91,3,1.0,1.27,3,-358.15,-306.75,357.47,0.384087,357.47,0.384087,196.149606,174.291339,-36.2401,phase8m_rejected_low_activity,low trade count; negative validation split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
91,exclude_10_00_10_30_plus_no_wednesday__vwap_failure_1_5_time30__mt1_gap15_sal0_saw0_dlnone_dpnone,exclude_10_00_10_30_plus_no_wednesday,vwap_failure_1_5_time30,mt1_gap15_sal0_saw0_dlnone_dpnone,1,15,False,False,none,none,True,2165,139,2026,139,0.794286,1.0,1023.17,884.17,510.28,-6.02,518.91,761.65,702.65,59,3,1.0,129.37,3,-286.12,-202.96,357.47,0.349375,357.47,0.349375,1.710984,1.710984,-36.5639,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; negative validation split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
92,exclude_10_00_10_30_plus_no_wednesday__vwap_failure_1_5_time30__mt1_gap30_sal0_saw0_dl1.5_dpnone,exclude_10_00_10_30_plus_no_wednesday,vwap_failure_1_5_time30,mt1_gap30_sal0_saw0_dl1.5_dpnone,1,30,False,False,1.5,none,True,2165,139,2026,139,0.794286,1.0,1023.17,884.17,510.28,-6.02,518.91,761.65,702.65,59,3,1.0,129.37,3,-286.12,-202.96,357.47,0.349375,357.47,0.349375,1.710984,1.710984,-36.5639,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; negative validation split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
93,exclude_10_00_10_30_plus_no_wednesday__vwap_failure_1_5_time30__mt1_gap30_sal0_saw1_dlnone_dp1.0,exclude_10_00_10_30_plus_no_wednesday,vwap_failure_1_5_time30,mt1_gap30_sal0_saw1_dlnone_dp1.0,1,30,False,True,none,1.0,True,2165,139,2026,139,0.794286,1.0,1023.17,884.17,510.28,-6.02,518.91,761.65,702.65,59,3,1.0,129.37,3,-286.12,-202.96,357.47,0.349375,357.47,0.349375,1.710984,1.710984,-36.5639,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; negative validation split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
94,exclude_10_00_10_30_plus_no_wednesday__vwap_failure_1_5_time30__mt1_gap30_sal1_saw0_dl1.0_dpnone,exclude_10_00_10_30_plus_no_wednesday,vwap_failure_1_5_time30,mt1_gap30_sal1_saw0_dl1.0_dpnone,1,30,True,False,1.0,none,True,2165,139,2026,139,0.794286,1.0,1023.17,884.17,510.28,-6.02,518.91,761.65,702.65,59,3,1.0,129.37,3,-286.12,-202.96,357.47,0.349375,357.47,0.349375,1.710984,1.710984,-36.5639,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; negative validation split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
95,exclude_10_00_10_30_plus_no_wednesday__vwap_failure_1_5_time30__mt1_gap60_sal0_saw0_dl2.0_dpnone,exclude_10_00_10_30_plus_no_wednesday,vwap_failure_1_5_time30,mt1_gap60_sal0_saw0_dl2.0_dpnone,1,60,False,False,2.0,none,True,2165,139,2026,139,0.794286,1.0,1023.17,884.17,510.28,-6.02,518.91,761.65,702.65,59,3,1.0,129.37,3,-286.12,-202.96,357.47,0.349375,357.47,0.349375,1.710984,1.710984,-36.5639,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; negative validation split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
96,exclude_10_00_10_30_plus_no_wednesday__vwap_failure_1_5_time30__mt1_gap60_sal1_saw0_dl1.0_dpnone,exclude_10_00_10_30_plus_no_wednesday,vwap_failure_1_5_time30,mt1_gap60_sal1_saw0_dl1.0_dpnone,1,60,True,False,1.0,none,True,2165,139,2026,139,0.794286,1.0,1023.17,884.17,510.28,-6.02,518.91,761.65,702.65,59,3,1.0,129.37,3,-286.12,-202.96,357.47,0.349375,357.47,0.349375,1.710984,1.710984,-36.5639,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; negative validation split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
97,exclude_10_00_10_30_plus_no_wednesday__vwap_failure_1_5_time30__mt1_gap60_sal1_saw1_dl1.0_dp1.0,exclude_10_00_10_30_plus_no_wednesday,vwap_failure_1_5_time30,mt1_gap60_sal1_saw1_dl1.0_dp1.0,1,60,True,True,1.0,1.0,True,2165,139,2026,139,0.794286,1.0,1023.17,884.17,510.28,-6.02,518.91,761.65,702.65,59,3,1.0,129.37,3,-286.12,-202.96,357.47,0.349375,357.47,0.349375,1.710984,1.710984,-36.5639,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; negative validation split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
98,exclude_wednesday__fixed_r_1_5_time30__mt2_gap30_sal0_saw1_dlnone_dp1.5,exclude_wednesday,fixed_r_1_5_time30,mt2_gap30_sal0_saw1_dlnone_dp1.5,2,30,False,True,none,1.5,True,2165,223,1942,139,0.794286,1.604317,778.98,555.98,-768.86,476.41,1071.43,1761.14,1672.14,89,3,1.0,423.29,3,-1365.89,-351.16,280.01,0.359457,280.01,0.359457,0.41784,0.425392,-37.3392,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
99,exclude_10_00_10_30_plus_no_wednesday__fixed_r_1_5_time30__mt2_gap30_sal0_saw0_dl1.5_dpnone,exclude_10_00_10_30_plus_no_wednesday,fixed_r_1_5_time30,mt2_gap30_sal0_saw0_dl1.5_dpnone,2,30,False,False,1.5,none,True,2165,245,1920,139,0.794286,1.76259,737.95,492.95,-586.77,635.48,689.24,1607.05,1502.05,105,3,1.0,448.09,3,-1417.04,-422.63,280.01,0.379443,280.01,0.379443,0.400076,0.407307,-44.1861,phase8m_rejected_low_activity,diagnostic-only weekday-style filter; low trade count; negative discovery split; one-day concentration risk; one-trade concentration risk; walk-forward day concentration risk; walk-forward trade concentration risk
