candidate_id,base_filter,exit_model,risk_model,fold,segment,segment_start,segment_end,trades,active_days,active_days_pct,net_pnl,stress_pnl,max_drawdown,best_day_concentration,best_trade_concentration
base_pre_14_00__horizon_close_15m__mt1_gap60_sal1_saw1_dl1.0_dp1.0,base_pre_14_00,horizon_close_15m,mt1_gap60_sal1_saw1_dl1.0_dp1.0,2,test,2026-04-22,2026-05-27,25,25,1.0,141.5,116.5,-279.94,1.280989,1.280989
base_pre_14_00__horizon_close_15m__mt1_gap60_sal1_saw1_dl1.0_dp1.0,base_pre_14_00,horizon_close_15m,mt1_gap60_sal1_saw1_dl1.0_dp1.0,3,test,2026-05-28,2026-07-02,25,25,1.0,1545.0,1520.0,-413.22,0.240298,0.240298
base_pre_14_00__horizon_close_15m__mt3_gap60_sal0_saw0_dl2.0_dp2.0,base_pre_14_00,horizon_close_15m,mt3_gap60_sal0_saw0_dl2.0_dp2.0,1,test,2026-03-17,2026-04-21,49,25,1.0,-315.76,-364.76,-718.82,1.0,1.0
base_pre_14_00__horizon_close_15m__mt3_gap60_sal0_saw0_dl2.0_dp2.0,base_pre_14_00,horizon_close_15m,mt3_gap60_sal0_saw0_dl2.0_dp2.0,2,test,2026-04-22,2026-05-27,51,25,1.0,757.76,706.76,-338.12,0.338207,0.239205
base_pre_14_00__horizon_close_15m__mt3_gap60_sal0_saw0_dl2.0_dp2.0,base_pre_14_00,horizon_close_15m,mt3_gap60_sal0_saw0_dl2.0_dp2.0,3,test,2026-05-28,2026-07-02,47,25,1.0,963.22,916.22,-710.86,0.335873,0.490293
base_pre_14_00__fixed_r_1_5_time30__mt1_gap30_sal1_saw0_dl1.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt1_gap30_sal1_saw0_dl1.0_dpnone,1,test,2026-03-17,2026-04-21,25,25,1.0,204.25,179.25,-155.72,0.713635,0.713635
base_pre_14_00__fixed_r_1_5_time30__mt1_gap30_sal1_saw0_dl1.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt1_gap30_sal1_saw0_dl1.0_dpnone,2,test,2026-04-22,2026-05-27,25,25,1.0,90.0,65.0,-260.94,1.186222,1.186222
base_pre_14_00__fixed_r_1_5_time30__mt1_gap30_sal1_saw0_dl1.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt1_gap30_sal1_saw0_dl1.0_dpnone,3,test,2026-05-28,2026-07-02,25,25,1.0,482.5,457.5,-296.22,0.61142,0.61142
base_pre_14_00__fixed_r_1_5_time30__mt1_gap60_sal1_saw0_dl1.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt1_gap60_sal1_saw0_dl1.0_dpnone,1,test,2026-03-17,2026-04-21,25,25,1.0,204.25,179.25,-155.72,0.713635,0.713635
base_pre_14_00__fixed_r_1_5_time30__mt1_gap60_sal1_saw0_dl1.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt1_gap60_sal1_saw0_dl1.0_dpnone,2,test,2026-04-22,2026-05-27,25,25,1.0,90.0,65.0,-260.94,1.186222,1.186222
base_pre_14_00__fixed_r_1_5_time30__mt1_gap60_sal1_saw0_dl1.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt1_gap60_sal1_saw0_dl1.0_dpnone,3,test,2026-05-28,2026-07-02,25,25,1.0,482.5,457.5,-296.22,0.61142,0.61142
base_pre_14_00__fixed_r_1_5_time30__mt2_gap30_sal1_saw0_dl1.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt2_gap30_sal1_saw0_dl1.0_dpnone,1,test,2026-03-17,2026-04-21,33,25,1.0,93.08,60.08,-192.59,1.531156,1.565965
base_pre_14_00__fixed_r_1_5_time30__mt2_gap30_sal1_saw0_dl1.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt2_gap30_sal1_saw0_dl1.0_dpnone,2,test,2026-04-22,2026-05-27,35,25,1.0,-141.4,-176.4,-369.14,1.0,1.0
base_pre_14_00__fixed_r_1_5_time30__mt2_gap30_sal1_saw0_dl1.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt2_gap30_sal1_saw0_dl1.0_dpnone,3,test,2026-05-28,2026-07-02,35,25,1.0,44.6,9.6,-309.07,6.541928,6.614574
base_pre_14_00__fixed_r_1_5_time30__mt2_gap60_sal1_saw0_dl1.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt2_gap60_sal1_saw0_dl1.0_dpnone,1,test,2026-03-17,2026-04-21,32,25,1.0,302.32,270.32,-158.96,0.471421,0.482138
base_pre_14_00__fixed_r_1_5_time30__mt2_gap60_sal1_saw0_dl1.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt2_gap60_sal1_saw0_dl1.0_dpnone,2,test,2026-04-22,2026-05-27,33,25,1.0,28.58,-4.42,-393.9,7.663401,5.030091
base_pre_14_00__fixed_r_1_5_time30__mt2_gap60_sal1_saw0_dl1.0_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt2_gap60_sal1_saw0_dl1.0_dpnone,3,test,2026-05-28,2026-07-02,31,25,1.0,458.81,427.81,-299.46,0.635928,0.642989
base_pre_14_00__fixed_r_1_5_time30__mt1_gap15_sal0_saw0_dlnone_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt1_gap15_sal0_saw0_dlnone_dpnone,1,test,2026-03-17,2026-04-21,25,25,1.0,204.25,179.25,-155.72,0.713635,0.713635
base_pre_14_00__fixed_r_1_5_time30__mt1_gap15_sal0_saw0_dlnone_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt1_gap15_sal0_saw0_dlnone_dpnone,2,test,2026-04-22,2026-05-27,25,25,1.0,90.0,65.0,-260.94,1.186222,1.186222
base_pre_14_00__fixed_r_1_5_time30__mt1_gap15_sal0_saw0_dlnone_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt1_gap15_sal0_saw0_dlnone_dpnone,3,test,2026-05-28,2026-07-02,25,25,1.0,482.5,457.5,-296.22,0.61142,0.61142
base_pre_14_00__fixed_r_1_5_time30__mt2_gap15_sal0_saw0_dlnone_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt2_gap15_sal0_saw0_dlnone_dpnone,1,test,2026-03-17,2026-04-21,49,25,1.0,130.99,81.99,-234.96,1.088022,1.112757
base_pre_14_00__fixed_r_1_5_time30__mt2_gap15_sal0_saw0_dlnone_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt2_gap15_sal0_saw0_dlnone_dpnone,2,test,2026-04-22,2026-05-27,49,25,1.0,-97.51,-146.51,-390.55,1.0,1.0
base_pre_14_00__fixed_r_1_5_time30__mt2_gap15_sal0_saw0_dlnone_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt2_gap15_sal0_saw0_dlnone_dpnone,3,test,2026-05-28,2026-07-02,50,25,1.0,-214.5,-264.5,-589.85,1.0,1.0
base_pre_14_00__fixed_r_1_5_time30__mt3_gap15_sal0_saw0_dlnone_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt3_gap15_sal0_saw0_dlnone_dpnone,1,test,2026-03-17,2026-04-21,66,25,1.0,111.41,45.41,-414.1,1.799928,1.308321
base_pre_14_00__fixed_r_1_5_time30__mt3_gap15_sal0_saw0_dlnone_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt3_gap15_sal0_saw0_dlnone_dpnone,2,test,2026-04-22,2026-05-27,71,25,1.0,32.21,-38.79,-459.16,6.807824,6.388078
base_pre_14_00__fixed_r_1_5_time30__mt3_gap15_sal0_saw0_dlnone_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt3_gap15_sal0_saw0_dlnone_dpnone,3,test,2026-05-28,2026-07-02,69,25,1.0,-48.81,-117.81,-467.96,1.0,1.0
base_pre_14_00__fixed_r_1_5_time30__mt1_gap30_sal0_saw0_dl1.5_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt1_gap30_sal0_saw0_dl1.5_dpnone,1,test,2026-03-17,2026-04-21,25,25,1.0,204.25,179.25,-155.72,0.713635,0.713635
base_pre_14_00__fixed_r_1_5_time30__mt1_gap30_sal0_saw0_dl1.5_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt1_gap30_sal0_saw0_dl1.5_dpnone,2,test,2026-04-22,2026-05-27,25,25,1.0,90.0,65.0,-260.94,1.186222,1.186222
base_pre_14_00__fixed_r_1_5_time30__mt1_gap30_sal0_saw0_dl1.5_dpnone,base_pre_14_00,fixed_r_1_5_time30,mt1_gap30_sal0_saw0_dl1.5_dpnone,3,test,2026-05-28,2026-07-02,25,25,1.0,482.5,457.5,-296.22,0.61142,0.61142
