session_date,candidate_id,trades,net_pnl,stress_pnl
2026-03-02,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,106.52000000000001,104.52000000000001
2026-03-03,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-213.48000000000002,-215.48000000000002
2026-03-04,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,200.01999999999998,198.01999999999998
2026-03-05,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-370.48,-372.48
2026-03-06,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,8.519999999999996,6.519999999999996
2026-03-09,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,413.52,411.52
2026-03-10,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,123.02,121.02
2026-03-11,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-181.48,-183.48
2026-03-12,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,42.52000000000001,40.52000000000001
2026-03-13,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,1,23.76,22.76
2026-03-16,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-288.98,-290.98
2026-03-18,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-75.47999999999999,-77.47999999999999
2026-03-19,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-171.48,-173.48
2026-03-20,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,235.01999999999998,233.01999999999998
2026-03-23,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-82.48,-84.47999999999999
2026-03-24,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,1,-158.74,-159.74
2026-03-25,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-23.97999999999999,-25.97999999999999
2026-03-26,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-99.98,-101.98
2026-03-27,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,110.02000000000001,108.02000000000001
2026-03-30,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,91.02000000000001,89.02000000000001
