audit,portfolio_set,portfolio_mode,fold,is_weak_fold,module_group,phase,net_pnl_contribution
B,audit_a_best_reconstructed,max_one_trade_per_session,4,True,phase10b overnight/prior-level branch,phase10b,6211.08
B,audit_a_best_reconstructed,max_one_trade_per_session,4,True,phase11a opening range fade,phase11a,-444.9
B,audit_a_best_reconstructed,max_one_trade_per_session,4,True,phase12a opening-drive pullback,phase12a,567.48
B,audit_a_best_reconstructed,max_one_trade_per_session,4,True,phase13a prior RTH high/low breakout,phase13a,73.02
B,audit_a_best_reconstructed,max_one_trade_per_session,4,True,phase14a prior RTH midpoint/close reaction,phase14a,-154.99
B,audit_a_best_reconstructed,max_one_trade_per_session,4,True,phase15a trend/power continuation,phase15a,417.74
B,top_cross_family_plus_phase13a,max_one_trade_per_session,4,True,phase10b overnight/prior-level branch,phase10b,6552.54
B,top_cross_family_plus_phase13a,max_one_trade_per_session,4,True,phase11a opening range fade,phase11a,-500.4
B,top_cross_family_plus_phase13a,max_one_trade_per_session,4,True,phase12a opening-drive pullback,phase12a,644.48
B,top_cross_family_plus_phase13a,max_one_trade_per_session,4,True,phase13a prior RTH high/low breakout,phase13a,109.02
B,top_cross_family_plus_phase13a,max_one_trade_per_session,4,True,phase14a prior RTH midpoint/close reaction,phase14a,-210.47
B,top_cross_family_plus_phase13a,max_one_trade_per_session,4,True,phase15a trend/power continuation,phase15a,385.74
B,all_parked_modules_with_phase13a,max_one_trade_per_session,4,True,phase10b overnight/prior-level branch,phase10b,12462.04
B,all_parked_modules_with_phase13a,max_one_trade_per_session,4,True,phase11a opening range fade,phase11a,708.68
B,all_parked_modules_with_phase13a,max_one_trade_per_session,4,True,phase12a opening-drive pullback,phase12a,691.46
B,all_parked_modules_with_phase13a,max_one_trade_per_session,4,True,phase13a prior RTH high/low breakout,phase13a,680.02
B,all_parked_modules_with_phase13a,max_one_trade_per_session,4,True,phase14a prior RTH midpoint/close reaction,phase14a,-32.97
B,all_parked_modules_with_phase13a,max_one_trade_per_session,4,True,phase15a trend/power continuation,phase15a,359.74
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,4,True,phase10b overnight/prior-level branch,phase10b,6552.54
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,4,True,phase11a opening range fade,phase11a,-164.34
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,4,True,phase12a opening-drive pullback,phase12a,567.48
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,4,True,phase13a prior RTH high/low breakout,phase13a,73.02
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,4,True,phase14a prior RTH midpoint/close reaction,phase14a,-154.99
B,greedy_low_correlation_with_phase13a,max_one_trade_per_session,4,True,phase15a trend/power continuation,phase15a,417.74
B,audit_a_best_reconstructed,one_trade_at_a_time_chronological,1,True,phase10b overnight/prior-level branch,phase10b,-4533.27
B,audit_a_best_reconstructed,one_trade_at_a_time_chronological,1,True,phase11a opening range fade,phase11a,-1858.8
B,audit_a_best_reconstructed,one_trade_at_a_time_chronological,1,True,phase12a opening-drive pullback,phase12a,314.53
B,audit_a_best_reconstructed,one_trade_at_a_time_chronological,1,True,phase13a prior RTH high/low breakout,phase13a,-248.16
B,audit_a_best_reconstructed,one_trade_at_a_time_chronological,1,True,phase14a prior RTH midpoint/close reaction,phase14a,50.52
B,audit_a_best_reconstructed,one_trade_at_a_time_chronological,1,True,phase15a trend/power continuation,phase15a,-348.28
B,audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,1,True,phase10b overnight/prior-level branch,phase10b,-4533.27
B,audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,1,True,phase11a opening range fade,phase11a,-1839.84
B,audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,1,True,phase12a opening-drive pullback,phase12a,314.53
B,audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,1,True,phase13a prior RTH high/low breakout,phase13a,-275.68
B,audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,1,True,phase14a prior RTH midpoint/close reaction,phase14a,50.52
B,audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,1,True,phase15a trend/power continuation,phase15a,-348.28
B,top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,1,True,phase10b overnight/prior-level branch,phase10b,-3465.39
B,top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,1,True,phase11a opening range fade,phase11a,-1774.34
B,top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,1,True,phase12a opening-drive pullback,phase12a,314.53
B,top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,1,True,phase13a prior RTH high/low breakout,phase13a,-275.68
B,top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,1,True,phase14a prior RTH midpoint/close reaction,phase14a,100.0
B,top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,1,True,phase15a trend/power continuation,phase15a,-348.28
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,1,True,phase10b overnight/prior-level branch,phase10b,-2591.47
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,1,True,phase11a opening range fade,phase11a,-1571.64
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,1,True,phase12a opening-drive pullback,phase12a,438.33
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,1,True,phase13a prior RTH high/low breakout,phase13a,-26.28
