phase10b_rank,candidate_id,instrument,axis,branch,side,timeframe,entry_window,entry_start,entry_end,execution_exit_variant,range_filter,gap_filter,touch_filter,max_trades_per_day,atr_cap_multiple,buffer_ticks,target_r,min_minutes_between_entries,time_stop_minutes,trades,active_days,trades_per_active_day,gross_pnl,fees_only_pnl,normal_slippage_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,phase10b_label,research_axis_status,phase10b_score,reject_reasons
35,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt1,MNQ,secondary_long_opening_fade,overnight_range_fade,long,15,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,all_ranges,all_gaps,all_touches,1,1.25,1,1.5,60,45,71,71,1.0,1164.25,969.71,969.7,969.7,898.7,729.27,912.14,-1184.57,0.574673,0.574673,147.24,137.42,1763.29,1721.29,0.666667,-306.68,phase10b_rejected_fold_instability,axis_positive_but_concentrated,1435.42,fold instability; concentration
36,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_all_ranges_all_gaps_all_touches_mt2,MNQ,secondary_long_opening_fade,overnight_range_fade,long,15,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,all_ranges,all_gaps,all_touches,2,1.25,1,1.5,60,45,71,71,1.0,1164.25,969.71,969.7,969.7,898.7,729.27,912.14,-1184.57,0.574673,0.574673,147.24,137.42,1763.29,1721.29,0.666667,-306.68,phase10b_rejected_fold_instability,axis_positive_but_concentrated,1435.42,fold instability; concentration
37,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_all_touches_mt1,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,all_ranges,gap_down_or_flat,all_touches,1,1.25,1,1.5,60,45,49,49,1.0,1005.38,871.12,871.1,871.1,822.1,-264.62,910.32,-623.54,0.531236,0.531236,147.86,98.81,1244.26,1218.26,0.666667,-229.94,phase10b_rejected_low_activity,axis_positive_but_concentrated,1416.82,low activity; negative validation; fold instability; concentration
38,MNQ_10b_primary_short_midday_breakout_overnight_range_breakout_short_tf15_midday_response_all_ranges_gap_down_or_flat_all_touches_mt2,MNQ,primary_short_midday_breakout,overnight_range_breakout,short,15,midday_response,10:30,13:30,next_bar_open_hard_stop_time_exit,all_ranges,gap_down_or_flat,all_touches,2,1.25,1,1.5,60,45,49,49,1.0,1005.38,871.12,871.1,871.1,822.1,-264.62,910.32,-623.54,0.531236,0.531236,147.86,98.81,1244.26,1218.26,0.666667,-229.94,phase10b_rejected_low_activity,axis_positive_but_concentrated,1416.82,low activity; negative validation; fold instability; concentration
39,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt1,MNQ,secondary_long_opening_fade,overnight_range_fade,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,all_ranges,all_gaps,all_touches,1,1.25,1,1.5,30,30,84,84,1.0,1231.73,1001.57,1001.57,1001.57,917.57,764.92,2095.74,-2203.11,0.57985,0.57985,137.1,100.2,1996.82,1949.82,0.666667,-362.92,phase10b_rejected_fold_instability,axis_positive_but_concentrated,664.28,fold instability; concentration
40,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_all_touches_mt2,MNQ,secondary_long_opening_fade,overnight_range_fade,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,all_ranges,all_gaps,all_touches,2,1.25,1,1.5,30,30,84,84,1.0,1231.73,1001.57,1001.57,1001.57,917.57,764.92,2095.74,-2203.11,0.57985,0.57985,137.1,100.2,1996.82,1949.82,0.666667,-362.92,phase10b_rejected_fold_instability,axis_positive_but_concentrated,664.28,fold instability; concentration
41,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_first_touch_only_mt1,MNQ,secondary_long_opening_fade,overnight_range_fade,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,all_ranges,all_gaps,first_touch_only,1,1.25,1,1.5,30,30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,phase10b_rejected_low_activity,axis_failed,0.0,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
42,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_all_ranges_all_gaps_first_touch_only_mt2,MNQ,secondary_long_opening_fade,overnight_range_fade,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,all_ranges,all_gaps,first_touch_only,2,1.25,1,1.5,30,30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,phase10b_rejected_low_activity,axis_failed,0.0,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
43,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_first_touch_only_mt1,MNQ,secondary_long_opening_fade,overnight_range_fade,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,all_gaps,first_touch_only,1,1.25,1,1.5,30,30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,phase10b_rejected_low_activity,axis_failed,0.0,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
44,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_first_touch_only_mt2,MNQ,secondary_long_opening_fade,overnight_range_fade,long,5,opening_response,09:35,10:30,next_bar_open_hard_stop_time_exit,exclude_narrowest_20,all_gaps,first_touch_only,2,1.25,1,1.5,30,30,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,phase10b_rejected_low_activity,axis_failed,0.0,low activity; negative stress; negative validation; negative holdout; fold instability; concentration
