signal_time,entry_time,trading_session,side,box_high,box_low,entry_model,timeframe,compression_method,direction_mode,entry_price,exit_time,exit_price,exit_reason,stop_price,target_price,gross_pnl,net_pnl,stress_pnl,risk_dollars,same_bar_ambiguity,candidate_id
2026-02-19 12:45:00-05:00,2026-02-19 12:50:00-05:00,2026-02-19,short,24905.0,24810.25,next_bar_open,5,range_percentile,both_sides,24797.25,2026-02-19 13:35:00-05:00,24787.0,time_stop,24905.0,24635.625,20.5,17.76,16.76,215.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-02-20 10:50:00-05:00,2026-02-20 10:55:00-05:00,2026-02-20,long,25098.0,24860.5,next_bar_open,5,range_percentile,both_sides,25114.0,2026-02-20 11:40:00-05:00,25092.75,time_stop,24860.5,25494.25,-42.5,-45.24,-46.24,507.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-02-23 10:40:00-05:00,2026-02-23 10:45:00-05:00,2026-02-23,short,24952.75,24830.5,next_bar_open,5,range_percentile,both_sides,24828.75,2026-02-23 11:30:00-05:00,24765.25,time_stop,24952.75,24642.75,127.0,124.26,123.26,248.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-02-23 12:30:00-05:00,2026-02-23 12:35:00-05:00,2026-02-23,short,24769.75,24725.0,next_bar_open,5,range_percentile,both_sides,24722.75,2026-02-23 13:05:00-05:00,24769.75,stop,24769.75,24652.25,-94.0,-96.74,-97.74,94.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-02-24 15:40:00-05:00,2026-02-24 15:45:00-05:00,2026-02-24,long,25029.0,24994.75,next_bar_open,5,range_percentile,both_sides,25030.5,2026-02-24 15:45:00-05:00,25037.0,time_stop,24994.75,25084.125,13.0,10.26,9.26,71.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-02-25 14:00:00-05:00,2026-02-25 14:05:00-05:00,2026-02-25,long,25356.0,25334.0,next_bar_open,5,range_percentile,both_sides,25363.75,2026-02-25 14:50:00-05:00,25373.25,time_stop,25334.0,25408.375,19.0,16.26,15.26,59.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-02-27 10:40:00-05:00,2026-02-27 10:45:00-05:00,2026-02-27,long,24997.75,24866.25,next_bar_open,5,range_percentile,both_sides,24998.75,2026-02-27 11:30:00-05:00,25005.5,time_stop,24866.25,25197.5,13.5,10.76,9.76,265.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-02 11:05:00-05:00,2026-03-02 11:10:00-05:00,2026-03-02,long,24957.75,24842.0,next_bar_open,5,range_percentile,both_sides,24977.75,2026-03-02 11:55:00-05:00,25033.5,time_stop,24842.0,25181.375,111.5,108.76,107.76,271.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-02 15:50:00-05:00,2026-03-02 15:55:00-05:00,2026-03-02,long,25029.75,24947.0,next_bar_open,5,range_percentile,both_sides,25041.75,2026-03-02 15:55:00-05:00,25022.25,time_stop,24947.0,25183.875,-39.0,-41.74,-42.74,189.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-03 11:20:00-05:00,2026-03-03 11:25:00-05:00,2026-03-03,long,24620.25,24373.5,next_bar_open,5,range_percentile,both_sides,24628.5,2026-03-03 12:10:00-05:00,24655.75,time_stop,24373.5,25011.0,54.5,51.76,50.76,510.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-03 13:30:00-05:00,2026-03-03 13:35:00-05:00,2026-03-03,long,24771.75,24624.0,next_bar_open,5,range_percentile,both_sides,24783.5,2026-03-03 14:20:00-05:00,24779.5,time_stop,24624.0,25022.75,-8.0,-10.74,-11.74,319.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-04 12:50:00-05:00,2026-03-04 12:55:00-05:00,2026-03-04,long,25173.5,25105.0,next_bar_open,5,range_percentile,both_sides,25174.25,2026-03-04 13:40:00-05:00,25200.0,time_stop,25105.0,25278.125,51.5,48.76,47.76,138.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-05 10:30:00-05:00,2026-03-05 10:35:00-05:00,2026-03-05,short,25208.25,24991.25,next_bar_open,5,range_percentile,both_sides,24974.75,2026-03-05 11:20:00-05:00,24986.5,time_stop,25208.25,24624.5,-23.5,-26.24,-27.24,467.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-05 12:00:00-05:00,2026-03-05 12:05:00-05:00,2026-03-05,long,25054.25,24940.0,next_bar_open,5,range_percentile,both_sides,25110.75,2026-03-05 12:20:00-05:00,24940.0,stop,24940.0,25366.875,-341.5,-344.24,-345.24,341.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-06 10:30:00-05:00,2026-03-06 10:35:00-05:00,2026-03-06,long,24828.75,24631.75,next_bar_open,5,range_percentile,both_sides,24851.5,2026-03-06 11:20:00-05:00,24834.75,time_stop,24631.75,25181.125,-33.5,-36.24,-37.24,439.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-06 15:00:00-05:00,2026-03-06 15:05:00-05:00,2026-03-06,long,24840.0,24774.25,next_bar_open,5,range_percentile,both_sides,24844.0,2026-03-06 15:10:00-05:00,24774.25,stop,24774.25,24948.625,-139.5,-142.24,-143.24,139.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-09 10:35:00-04:00,2026-03-09 10:40:00-04:00,2026-03-09,long,24476.0,24313.25,next_bar_open,5,range_percentile,both_sides,24482.75,2026-03-09 11:25:00-04:00,24642.75,time_stop,24313.25,24737.0,320.0,317.26,316.26,339.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-09 11:10:00-04:00,2026-03-09 11:15:00-04:00,2026-03-09,long,24598.0,24398.25,next_bar_open,5,range_percentile,both_sides,24600.75,2026-03-09 12:00:00-04:00,24650.25,time_stop,24398.25,24904.5,99.0,96.26,95.26,405.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-10 10:30:00-04:00,2026-03-10 10:35:00-04:00,2026-03-10,long,25049.75,24892.5,next_bar_open,5,range_percentile,both_sides,25054.0,2026-03-10 11:20:00-04:00,25151.25,time_stop,24892.5,25296.25,194.5,191.76,190.76,323.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-10 11:00:00-04:00,2026-03-10 11:05:00-04:00,2026-03-10,long,25153.25,24944.0,next_bar_open,5,range_percentile,both_sides,25168.5,2026-03-10 11:50:00-04:00,25135.5,time_stop,24944.0,25505.25,-66.0,-68.74,-69.74,449.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-11 10:30:00-04:00,2026-03-11 10:35:00-04:00,2026-03-11,short,25180.0,24978.75,next_bar_open,5,range_percentile,both_sides,24970.25,2026-03-11 11:20:00-04:00,25001.75,time_stop,25180.0,24655.625,-63.0,-65.74,-66.74,419.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-11 15:10:00-04:00,2026-03-11 15:15:00-04:00,2026-03-11,short,24977.5,24925.25,next_bar_open,5,range_percentile,both_sides,24921.0,2026-03-11 15:35:00-04:00,24977.5,stop,24977.5,24836.25,-113.0,-115.74,-116.74,113.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-12 14:45:00-04:00,2026-03-12 14:50:00-04:00,2026-03-12,short,24671.5,24602.25,next_bar_open,5,range_percentile,both_sides,24599.5,2026-03-12 15:35:00-04:00,24609.75,time_stop,24671.5,24491.5,-20.5,-23.24,-24.24,144.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-13 15:20:00-04:00,2026-03-13 15:25:00-04:00,2026-03-13,short,24472.75,24406.0,next_bar_open,5,range_percentile,both_sides,24385.75,2026-03-13 15:45:00-04:00,24372.5,time_stop,24472.75,24255.25,26.5,23.76,22.76,174.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-16 09:55:00-04:00,2026-03-16 10:00:00-04:00,2026-03-16,long,24735.0,24623.0,next_bar_open,5,range_percentile,both_sides,24736.0,2026-03-16 10:45:00-04:00,24643.0,time_stop,24623.0,24905.5,-186.0,-188.74,-189.74,226.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-16 11:20:00-04:00,2026-03-16 11:25:00-04:00,2026-03-16,long,24710.25,24602.25,next_bar_open,5,range_percentile,both_sides,24730.25,2026-03-16 12:10:00-04:00,24681.5,time_stop,24602.25,24922.25,-97.5,-100.24,-101.24,256.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-18 12:30:00-04:00,2026-03-18 12:35:00-04:00,2026-03-18,short,24697.75,24647.75,next_bar_open,5,range_percentile,both_sides,24633.0,2026-03-18 13:20:00-04:00,24612.25,time_stop,24697.75,24535.875,41.5,38.76,37.76,129.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-18 14:50:00-04:00,2026-03-18 14:55:00-04:00,2026-03-18,short,24664.25,24569.75,next_bar_open,5,range_percentile,both_sides,24541.0,2026-03-18 15:40:00-04:00,24468.75,time_stop,24664.25,24356.125,144.5,141.76,140.76,246.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-19 09:50:00-04:00,2026-03-19 09:55:00-04:00,2026-03-19,long,24460.0,24324.25,next_bar_open,5,range_percentile,both_sides,24515.0,2026-03-19 10:40:00-04:00,24467.5,time_stop,24324.25,24801.125,-95.0,-97.74,-98.74,381.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-19 11:30:00-04:00,2026-03-19 11:35:00-04:00,2026-03-19,short,24577.75,24445.5,next_bar_open,5,range_percentile,both_sides,24416.0,2026-03-19 12:20:00-04:00,24451.5,time_stop,24577.75,24173.375,-71.0,-73.74,-74.74,323.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-20 13:30:00-04:00,2026-03-20 13:35:00-04:00,2026-03-20,short,24300.0,24225.5,next_bar_open,5,range_percentile,both_sides,24206.5,2026-03-20 14:20:00-04:00,24123.5,time_stop,24300.0,24066.25,166.0,163.26,162.26,187.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-20 14:20:00-04:00,2026-03-20 14:25:00-04:00,2026-03-20,short,24222.25,24164.5,next_bar_open,5,range_percentile,both_sides,24123.75,2026-03-20 15:10:00-04:00,24086.5,time_stop,24222.25,23976.0,74.5,71.76,70.76,197.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-23 12:25:00-04:00,2026-03-23 12:30:00-04:00,2026-03-23,short,24538.5,24370.75,next_bar_open,5,range_percentile,both_sides,24318.5,2026-03-23 13:15:00-04:00,24349.0,time_stop,24538.5,23988.5,-61.0,-63.74,-64.74,440.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-24 11:20:00-04:00,2026-03-24 11:25:00-04:00,2026-03-24,long,24347.5,24184.0,next_bar_open,5,range_percentile,both_sides,24366.75,2026-03-24 12:10:00-04:00,24288.75,time_stop,24184.0,24640.875,-156.0,-158.74,-159.74,365.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-25 11:05:00-04:00,2026-03-25 11:10:00-04:00,2026-03-25,short,24519.25,24444.75,next_bar_open,5,range_percentile,both_sides,24420.25,2026-03-25 11:55:00-04:00,24378.75,time_stop,24519.25,24271.75,83.0,80.26,79.26,198.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-25 13:40:00-04:00,2026-03-25 13:45:00-04:00,2026-03-25,long,24461.25,24378.0,next_bar_open,5,range_percentile,both_sides,24469.0,2026-03-25 14:30:00-04:00,24418.25,time_stop,24378.0,24605.5,-101.5,-104.24,-105.24,182.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-26 09:50:00-04:00,2026-03-26 09:55:00-04:00,2026-03-26,long,24195.0,24066.0,next_bar_open,5,range_percentile,both_sides,24231.25,2026-03-26 10:40:00-04:00,24124.0,time_stop,24066.0,24479.125,-214.5,-217.24,-218.24,330.5,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-26 10:40:00-04:00,2026-03-26 10:45:00-04:00,2026-03-26,short,24241.25,24156.25,next_bar_open,5,range_percentile,both_sides,24123.25,2026-03-26 11:30:00-04:00,24063.25,time_stop,24241.25,23946.25,120.0,117.26,116.26,236.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
2026-03-27 12:25:00-04:00,2026-03-27 12:30:00-04:00,2026-03-27,short,23577.5,23489.75,next_bar_open,5,range_percentile,both_sides,23482.5,2026-03-27 13:15:00-04:00,23435.75,time_stop,23577.5,23340.0,93.5,90.76,89.76,190.0,0,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt2_gap30_first10_avoid1000
