priority_policy,portfolio_mode,diagnostic_filter,fold,net_pnl,stress_pnl,active_days
rare_setup_first,one_trade_at_a_time_chronological,no_filter_baseline,5,-1525.76,-1566.76,41
rare_setup_first,one_trade_at_a_time_chronological,no_filter_baseline,6,4406.61,4363.61,43
rare_setup_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,1,5.26,4.26,1
rare_setup_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,2,-50.06,-51.06,1
rare_setup_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,3,-82.74,-83.74,1
rare_setup_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,4,77.26,76.26,1
rare_setup_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,5,-0.24,-1.24,1
rare_setup_first,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,6,-136.96,-137.96,1
rare_setup_first,max_one_trade_per_session,no_filter_baseline,1,-936.45,-977.45,41
rare_setup_first,max_one_trade_per_session,no_filter_baseline,2,886.16,845.16,41
rare_setup_first,max_one_trade_per_session,no_filter_baseline,3,-72.37,-113.37,41
rare_setup_first,max_one_trade_per_session,no_filter_baseline,4,-1008.88,-1049.88,41
rare_setup_first,max_one_trade_per_session,no_filter_baseline,5,1305.17,1264.17,41
rare_setup_first,max_one_trade_per_session,no_filter_baseline,6,2635.14,2592.14,43
rare_setup_first,max_one_trade_per_session,exclude_overlap_heavy_days,1,5.26,4.26,1
rare_setup_first,max_one_trade_per_session,exclude_overlap_heavy_days,2,-50.06,-51.06,1
rare_setup_first,max_one_trade_per_session,exclude_overlap_heavy_days,3,-82.74,-83.74,1
rare_setup_first,max_one_trade_per_session,exclude_overlap_heavy_days,4,77.26,76.26,1
rare_setup_first,max_one_trade_per_session,exclude_overlap_heavy_days,5,-0.24,-1.24,1
rare_setup_first,max_one_trade_per_session,exclude_overlap_heavy_days,6,-136.96,-137.96,1
concentration_adjusted_priority,one_trade_at_a_time_chronological,no_filter_baseline,1,-2511.59,-2552.59,41
concentration_adjusted_priority,one_trade_at_a_time_chronological,no_filter_baseline,2,-2555.48,-2596.48,41
concentration_adjusted_priority,one_trade_at_a_time_chronological,no_filter_baseline,3,214.72,173.72,41
concentration_adjusted_priority,one_trade_at_a_time_chronological,no_filter_baseline,4,-1887.42,-1928.42,41
concentration_adjusted_priority,one_trade_at_a_time_chronological,no_filter_baseline,5,-1525.76,-1566.76,41
concentration_adjusted_priority,one_trade_at_a_time_chronological,no_filter_baseline,6,4427.09,4384.09,43
concentration_adjusted_priority,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,1,5.26,4.26,1
concentration_adjusted_priority,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,2,-50.06,-51.06,1
concentration_adjusted_priority,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,3,-82.74,-83.74,1
concentration_adjusted_priority,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,4,77.26,76.26,1
concentration_adjusted_priority,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,5,-0.24,-1.24,1
concentration_adjusted_priority,one_trade_at_a_time_chronological,exclude_overlap_heavy_days,6,-136.96,-137.96,1
concentration_adjusted_priority,max_one_trade_per_session,no_filter_baseline,1,-936.45,-977.45,41
concentration_adjusted_priority,max_one_trade_per_session,no_filter_baseline,2,886.16,845.16,41
