candidate_id,spec_json,instrument,family,timeframe,label,ranking_score,risk_notes,net_pnl,validation_pnl,holdout_pnl,slippage_4_ticks_net_pnl,trades,active_sessions,active_session_pct,win_rate,avg_trade,profit_factor,max_drawdown,worst_day,longest_losing_streak,best_day_concentration,best_trade_concentration,same_bar_stop_target_ambiguity_count,base_cost,stress_cost
MNQ_opening_range_failure_tf1_982fe6172f,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,paper_research_candidate,84.0375,No major Phase 5A risk flags.,4771.895000000022,1873.1699999999998,2169.535,4540.895000000022,77,56,0.8888888888888888,0.44155844155844154,61.972662337662626,1.7018065445047408,-1127.2399999999957,-440.48,6,0.28039594333068807,0.15408134504216806,0,2.74,3.74
MNQ_opening_range_failure_tf1_edf563d7d8,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,paper_research_candidate,76.614,No major Phase 5A risk flags.,3424.1850000000068,2149.009999999994,1147.3349999999984,3256.1850000000068,56,56,0.8888888888888888,0.42857142857142855,61.146160714285834,1.6918167390805863,-1384.3299999999915,-339.99,9,0.2147255478310893,0.2147255478310893,0,2.74,3.74
MNQ_opening_range_failure_tf3_d343e86b15,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":15,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":3,""version"":1}",MNQ,opening_range_failure,3,watchlist,64.5431,one-trade concentration risk,2127.460000000021,263.40500000001725,911.5449999999998,1839.460000000021,96,58,0.9206349206349206,0.4270833333333333,22.161041666666886,1.293171827414669,-890.2099999999871,-537.3799999999942,4,0.3116486326417387,0.2915495473475383,0,2.74,3.74
MNQ_opening_range_failure_tf1_812c066564,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,watchlist,60.1691,one-day concentration risk,1486.6200000000167,457.4399999999998,1085.0700000000013,1240.6200000000167,82,56,0.8888888888888888,0.5487804878048781,18.129512195122157,1.265831951977087,-1011.59999999999,-440.48,6,0.41067656832276783,0.23190862493441236,0,2.74,3.74
MNQ_opening_range_failure_tf1_41b10f5cee,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,paper_research_candidate,58.3916,No major Phase 5A risk flags.,1537.8600000000097,1271.184999999997,612.3599999999999,1369.86000000001,56,56,0.8888888888888888,0.5535714285714286,27.461785714285888,1.4286180130715356,-1124.1299999999928,-339.1899999999971,8,0.22418165502711418,0.22418165502711418,0,2.74,3.74
MNQ_opening_range_breakout_tf1_a3cbc18936,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":10.0,""or_minutes"":60}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""half_range"",""target"":""2R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: opening-range breakout with fixed R multiple."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MNQ,opening_range_breakout,1,watchlist,58.2008,one-trade concentration risk,2642.9799999999996,348.8699999999999,836.0799999999999,2498.9799999999996,48,48,0.7619047619047619,0.5,55.06208333333333,1.478908305488914,-1356.2199999999996,-488.74,4,0.39605294024169696,0.39605294024169696,0,2.74,3.74
MNQ_opening_range_failure_tf1_61f4235e9e,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":15,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,watchlist,43.8446,negative validation PnL,900.5600000000215,-372.7549999999841,764.5099999999954,582.5600000000218,106,60,0.9523809523809523,0.5471698113207547,8.495849056603976,1.16178877417014,-667.9899999999957,-359.1650000000029,4,0.3953317935506701,0.2290352669450065,0,2.74,3.74
MNQ_opening_range_failure_tf3_8fc1ffc34b,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":15,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":3,""version"":1}",MNQ,opening_range_failure,3,paper_research_candidate,42.5107,No major Phase 5A risk flags.,821.1550000000113,222.23000000000576,451.799999999997,647.1550000000118,58,58,0.9206349206349206,0.603448275862069,14.157844827586402,1.3290285872272118,-472.9649999999941,-303.365,3,0.24448490236313147,0.24448490236313147,0,2.74,3.74
MNQ_opening_range_failure_tf1_454ba8d5ae,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":15,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1}},""timeframe"":1,""version"":1}",MNQ,opening_range_failure,1,paper_research_candidate,41.2933,No major Phase 5A risk flags.,950.600000000014,138.2800000000086,321.1349999999941,770.6000000000142,60,60,0.9523809523809523,0.5833333333333334,15.843333333333566,1.3174486558690999,-452.18500000000586,-359.1650000000029,4,0.2083000210393405,0.2083000210393405,0,2.74,3.74
MNQ_opening_range_failure_tf3_ab6ebea02e,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":15,""target"":""mid""}},""exit"":{""name"":""range_target"",""params"":{""target"":""mid""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":3,""version"":1}",MNQ,opening_range_failure,3,watchlist,40.4671,negative validation PnL; one-day concentration risk; one-trade concentration risk,848.1150000000185,-241.65999999998712,725.1899999999998,536.1150000000185,104,58,0.9206349206349206,0.5865384615384616,8.154951923077101,1.184312924386536,-576.6549999999943,-274.98,3,0.40562895362066753,0.35550603396944214,0,2.74,3.74
