fold,segment,segment_start,segment_end,candidate_id,spec_json,instrument,family,timeframe,label,ranking_score,risk_notes,net_pnl,validation_pnl,holdout_pnl,slippage_4_ticks_net_pnl,trades,active_sessions,active_session_pct,win_rate,avg_trade,profit_factor,max_drawdown,worst_day,longest_losing_streak,best_day_concentration,best_trade_concentration,same_bar_stop_target_ambiguity_count,base_cost,stress_cost
1,validation,2023-06-21,2023-08-01,MNQ_opening_range_failure_tf3_1dce415f36,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":3,""version"":1}",MNQ,opening_range_failure,3,watchlist,-86.2823,negative holdout PnL; one-day concentration risk; one-trade concentration risk,132.7849999999956,365.98999999999694,-233.20500000000146,24.784999999995613,36,24,0.8,0.3888888888888889,3.6884722222221,1.0832844629960048,-615.2950000000037,-233.98,8,2.5079640019581357,1.4516699928456256,0,2.74,3.74
1,test,2023-08-02,2023-09-12,MNQ_opening_range_failure_tf3_1dce415f36,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":3,""version"":1}",MNQ,opening_range_failure,3,watchlist,44.6743,one-day concentration risk; one-trade concentration risk,979.9649999999967,0.0,979.9649999999967,862.9649999999968,39,26,0.8666666666666667,0.48717948717948717,25.127307692307607,1.6126791603494868,-336.45999999999935,-168.17999999999708,3,0.41279025271310843,0.30639869791268154,0,2.74,3.74
2,train,2024-05-27,2024-11-08,MNQ_opening_range_failure_tf3_1dce415f36,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":3,""version"":1}",MNQ,opening_range_failure,3,rejected,-45.12,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-1092.0050000000026,-143.42500000000442,0.0,-1548.0050000000026,152,108,0.9,0.35526315789473684,-7.184243421052649,0.8888436484156983,-2405.3949999999877,-338.78000000000293,9,1.0,1.0,0,2.74,3.74
2,validation,2024-11-11,2024-12-20,MNQ_opening_range_failure_tf3_1dce415f36,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":3,""version"":1}",MNQ,opening_range_failure,3,rejected,-75.0317,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-1885.5600000000265,-1495.2400000000177,-390.32000000000875,-2002.5600000000265,39,26,0.8666666666666667,0.20512820512820512,-48.34769230769299,0.37742353003327916,-1773.3200000000265,-306.33000000000584,10,1.0,1.0,0,2.74,3.74
2,test,2024-12-23,2025-02-05,MNQ_opening_range_failure_tf3_1dce415f36,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":3,""version"":1}",MNQ,opening_range_failure,3,watchlist,36.2426,one-day concentration risk; one-trade concentration risk,1073.0800000000215,0.0,1073.0800000000215,974.0800000000215,33,24,0.8,0.3939393939393939,32.51757575757641,1.4870330867335515,-750.4999999999884,-234.5800000000058,5,0.5614865620456889,0.4093450628098475,0,2.74,3.74
3,train,2025-10-17,2026-04-08,MNQ_opening_range_failure_tf3_1dce415f36,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":3,""version"":1}",MNQ,opening_range_failure,3,rejected,-76.6277,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-4198.9699999999575,-691.4449999999856,0.0,-4627.9699999999575,143,106,0.8833333333333333,0.3146853146853147,-29.363426573426278,0.7065231445790985,-4534.874999999965,-503.6299999999942,14,1.0,1.0,0,2.74,3.74
3,validation,2026-04-09,2026-05-20,MNQ_opening_range_failure_tf3_1dce415f36,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":3,""version"":1}",MNQ,opening_range_failure,3,watchlist,-225.0396,negative holdout PnL; one-day concentration risk; one-trade concentration risk,130.02500000001714,574.8800000000131,-444.8549999999957,25.025000000017144,35,26,0.8666666666666667,0.37142857142857144,3.7150000000004897,1.045705317142708,-1041.4399999999928,-377.49,6,4.239646221879848,4.239646221879848,0,2.74,3.74
3,test,2026-05-21,2026-07-01,MNQ_opening_range_failure_tf3_1dce415f36,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":3,""version"":1}",MNQ,opening_range_failure,3,paper_research_candidate,70.2897,No major Phase 5A risk flags.,3647.900000000014,0.0,3647.900000000014,3527.900000000014,40,26,0.8666666666666667,0.5,91.19750000000036,1.8858856671038005,-560.8149999999855,-505.73,4,0.33732284327969386,0.18332739384303226,0,2.74,3.74
1,train,2023-01-03,2023-06-20,MNQ_opening_range_failure_tf5_763933a432,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":5,""version"":1}",MNQ,opening_range_failure,5,rejected,-34.6396,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-310.9950000000003,-435.6699999999993,0.0,-724.9950000000006,138,98,0.8166666666666667,0.36231884057971014,-2.2535869565217412,0.9517948940516887,-1197.0250000000008,-214.73000000000002,9,1.0,1.0,0,2.74,3.74
1,validation,2023-06-21,2023-08-01,MNQ_opening_range_failure_tf5_763933a432,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":5,""version"":1}",MNQ,opening_range_failure,5,watchlist,-18.4756,negative holdout PnL; one-day concentration risk; one-trade concentration risk,289.25499999999556,509.3599999999984,-220.10500000000292,190.25499999999556,33,22,0.7333333333333333,0.42424242424242425,8.765303030302896,1.2054535704265579,-507.50500000000443,-238.98000000000002,7,1.0752450260151243,0.7355447615425947,0,2.74,3.74
1,test,2023-08-02,2023-09-12,MNQ_opening_range_failure_tf5_763933a432,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":5,""version"":1}",MNQ,opening_range_failure,5,watchlist,26.8662,one-day concentration risk; one-trade concentration risk,653.2549999999961,0.0,653.2549999999961,539.2549999999961,38,25,0.8333333333333334,0.4473684210526316,17.190921052631477,1.371872269328526,-338.8949999999986,-198.17999999999708,3,0.5679558518495873,0.4596367421604148,0,2.74,3.74
2,train,2024-05-27,2024-11-08,MNQ_opening_range_failure_tf5_763933a432,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":5,""version"":1}",MNQ,opening_range_failure,5,rejected,-49.4606,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-1304.9400000000096,-273.92500000000445,0.0,-1742.9400000000096,146,104,0.8666666666666667,0.3698630136986301,-8.937945205479517,0.8580349391534787,-2326.009999999992,-356.5649999999971,9,1.0,1.0,0,2.74,3.74
2,validation,2024-11-11,2024-12-20,MNQ_opening_range_failure_tf5_763933a432,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":5,""version"":1}",MNQ,opening_range_failure,5,rejected,-75.4396,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-1971.6300000000294,-1644.3100000000206,-327.32000000000875,-2082.630000000029,37,25,0.8333333333333334,0.21621621621621623,-53.287297297298096,0.3556154014596121,-1838.3900000000294,-279.03000000000293,9,1.0,1.0,0,2.74,3.74
2,test,2024-12-23,2025-02-05,MNQ_opening_range_failure_tf5_763933a432,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":5,""version"":1}",MNQ,opening_range_failure,5,rejected,-41.1698,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-247.36999999997545,0.0,-247.36999999997545,-346.36999999997545,33,23,0.7666666666666667,0.30303030303030304,-7.496060606059862,0.9057268185230865,-1256.8049999999796,-265.6299999999942,7,1.0,1.0,0,2.74,3.74
3,train,2025-10-17,2026-04-08,MNQ_opening_range_failure_tf5_763933a432,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":5,""version"":1}",MNQ,opening_range_failure,5,rejected,-81.154,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-5180.834999999963,-1064.9449999999856,0.0,-5597.834999999963,139,105,0.875,0.31654676258992803,-37.27219424460405,0.6423007813915934,-5057.809999999962,-487.1299999999942,13,1.0,1.0,0,2.74,3.74
3,validation,2026-04-09,2026-05-20,MNQ_opening_range_failure_tf5_763933a432,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":5,""version"":1}",MNQ,opening_range_failure,5,watchlist,-125.7853,negative holdout PnL; one-day concentration risk; one-trade concentration risk,200.3650000000157,601.7200000000114,-401.3549999999957,98.36500000001581,34,25,0.8333333333333334,0.4117647058823529,5.893088235294579,1.0722615430390194,-1057.1999999999928,-390.49,5,2.611533950540059,2.611533950540059,0,2.74,3.74
3,test,2026-05-21,2026-07-01,MNQ_opening_range_failure_tf5_763933a432,"{""entry"":{""name"":""close_back_inside"",""params"":{""min_range"":10.0,""or_minutes"":30,""target"":""opposite""}},""exit"":{""name"":""range_target"",""params"":{""target"":""opposite""}},""family"":""opening_range_failure"",""instrument"":""MNQ"",""notes"":""Deterministic AI-search proposal: fade failed opening-range break after bar closes back inside."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":2}},""timeframe"":5,""version"":1}",MNQ,opening_range_failure,5,paper_research_candidate,69.6731,No major Phase 5A risk flags.,3433.1900000000187,0.0,3433.1900000000187,3316.1900000000187,39,26,0.8666666666666667,0.5128205128205128,88.0305128205133,1.8834743091242778,-495.10499999999956,-439.73,4,0.3788080473262455,0.1947925981375911,0,2.74,3.74
