pruning_variant,priority_policy,portfolio_mode,fold,net_pnl,stress_pnl,active_days
overlay_exclude_parked,hybrid_validation_then_correlation,max_one_trade_per_session,1,-579.95,-620.95,41
overlay_exclude_parked,hybrid_validation_then_correlation,max_one_trade_per_session,2,322.41,281.41,41
overlay_exclude_parked,hybrid_validation_then_correlation,max_one_trade_per_session,3,-1232.77,-1273.77,41
overlay_exclude_parked,hybrid_validation_then_correlation,max_one_trade_per_session,4,190.54,149.54,41
overlay_exclude_parked,hybrid_validation_then_correlation,max_one_trade_per_session,5,1372.43,1331.43,41
overlay_exclude_parked,hybrid_validation_then_correlation,max_one_trade_per_session,6,1803.64,1760.64,43
overlay_exclude_parked,concentration_adjusted_priority,one_trade_at_a_time_chronological,1,-1646.04,-1687.04,41
overlay_exclude_parked,concentration_adjusted_priority,one_trade_at_a_time_chronological,2,-2986.88,-3027.88,41
overlay_exclude_parked,concentration_adjusted_priority,one_trade_at_a_time_chronological,3,519.5,478.5,41
overlay_exclude_parked,concentration_adjusted_priority,one_trade_at_a_time_chronological,4,-1239.34,-1280.34,41
overlay_exclude_parked,concentration_adjusted_priority,one_trade_at_a_time_chronological,5,-1416.18,-1457.18,41
overlay_exclude_parked,concentration_adjusted_priority,one_trade_at_a_time_chronological,6,2491.19,2448.19,43
overlay_exclude_parked,concentration_adjusted_priority,max_one_trade_per_session,1,-579.95,-620.95,41
overlay_exclude_parked,concentration_adjusted_priority,max_one_trade_per_session,2,322.41,281.41,41
overlay_exclude_parked,concentration_adjusted_priority,max_one_trade_per_session,3,-1232.77,-1273.77,41
overlay_exclude_parked,concentration_adjusted_priority,max_one_trade_per_session,4,190.54,149.54,41
overlay_exclude_parked,concentration_adjusted_priority,max_one_trade_per_session,5,1372.43,1331.43,41
overlay_exclude_parked,concentration_adjusted_priority,max_one_trade_per_session,6,1803.64,1760.64,43
overlay_exclude_parked,lowest_correlation_first,one_trade_at_a_time_chronological,1,-1646.04,-1687.04,41
overlay_exclude_parked,lowest_correlation_first,one_trade_at_a_time_chronological,2,-2986.88,-3027.88,41
overlay_exclude_parked,lowest_correlation_first,one_trade_at_a_time_chronological,3,519.5,478.5,41
overlay_exclude_parked,lowest_correlation_first,one_trade_at_a_time_chronological,4,-1239.34,-1280.34,41
overlay_exclude_parked,lowest_correlation_first,one_trade_at_a_time_chronological,5,-1416.18,-1457.18,41
overlay_exclude_parked,lowest_correlation_first,one_trade_at_a_time_chronological,6,2491.19,2448.19,43
overlay_exclude_parked,lowest_correlation_first,max_one_trade_per_session,1,-579.95,-620.95,41
overlay_exclude_parked,lowest_correlation_first,max_one_trade_per_session,2,322.41,281.41,41
overlay_exclude_parked,lowest_correlation_first,max_one_trade_per_session,3,-1232.77,-1273.77,41
overlay_exclude_parked,lowest_correlation_first,max_one_trade_per_session,4,190.54,149.54,41
overlay_exclude_parked,lowest_correlation_first,max_one_trade_per_session,5,1372.43,1331.43,41
overlay_exclude_parked,lowest_correlation_first,max_one_trade_per_session,6,1803.64,1760.64,43
overlay_exclude_parked,rare_setup_first,one_trade_at_a_time_chronological,1,-1646.04,-1687.04,41
overlay_exclude_parked,rare_setup_first,one_trade_at_a_time_chronological,2,-2986.88,-3027.88,41
overlay_exclude_parked,rare_setup_first,one_trade_at_a_time_chronological,3,519.5,478.5,41
overlay_exclude_parked,rare_setup_first,one_trade_at_a_time_chronological,4,-1239.34,-1280.34,41
