pruning_variant,priority_policy,portfolio_mode,fold,net_pnl,stress_pnl,active_days
remove_seed_suspect_only,concentration_adjusted_priority,max_one_trade_per_session,3,-246.37,-287.37,41
remove_seed_suspect_only,concentration_adjusted_priority,max_one_trade_per_session,4,-1008.88,-1049.88,41
remove_seed_suspect_only,concentration_adjusted_priority,max_one_trade_per_session,5,1305.17,1264.17,41
remove_seed_suspect_only,concentration_adjusted_priority,max_one_trade_per_session,6,2635.14,2592.14,43
remove_seed_suspect_pair,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1,-2307.49,-2348.49,41
remove_seed_suspect_pair,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2,-1383.72,-1424.72,41
remove_seed_suspect_pair,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,3,624.3,583.3,41
remove_seed_suspect_pair,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,4,-1566.54,-1607.54,41
remove_seed_suspect_pair,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,5,-597.48,-638.48,41
remove_seed_suspect_pair,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,6,5754.89,5711.89,43
remove_seed_suspect_pair,hybrid_validation_then_correlation,max_one_trade_per_session,1,-936.45,-977.45,41
remove_seed_suspect_pair,hybrid_validation_then_correlation,max_one_trade_per_session,2,886.16,845.16,41
remove_seed_suspect_pair,hybrid_validation_then_correlation,max_one_trade_per_session,3,-72.37,-113.37,41
remove_seed_suspect_pair,hybrid_validation_then_correlation,max_one_trade_per_session,4,-1008.88,-1049.88,41
remove_seed_suspect_pair,hybrid_validation_then_correlation,max_one_trade_per_session,5,1305.17,1264.17,41
remove_seed_suspect_pair,hybrid_validation_then_correlation,max_one_trade_per_session,6,2635.14,2592.14,43
remove_seed_suspect_pair,lowest_correlation_first,one_trade_at_a_time_chronological,1,-2307.49,-2348.49,41
remove_seed_suspect_pair,lowest_correlation_first,one_trade_at_a_time_chronological,2,-1383.72,-1424.72,41
remove_seed_suspect_pair,lowest_correlation_first,one_trade_at_a_time_chronological,3,624.3,583.3,41
remove_seed_suspect_pair,lowest_correlation_first,one_trade_at_a_time_chronological,4,-1566.54,-1607.54,41
remove_seed_suspect_pair,lowest_correlation_first,one_trade_at_a_time_chronological,5,-597.48,-638.48,41
remove_seed_suspect_pair,lowest_correlation_first,one_trade_at_a_time_chronological,6,5754.89,5711.89,43
remove_seed_suspect_pair,lowest_correlation_first,max_one_trade_per_session,1,-936.45,-977.45,41
remove_seed_suspect_pair,lowest_correlation_first,max_one_trade_per_session,2,886.16,845.16,41
remove_seed_suspect_pair,lowest_correlation_first,max_one_trade_per_session,3,-72.37,-113.37,41
remove_seed_suspect_pair,lowest_correlation_first,max_one_trade_per_session,4,-1008.88,-1049.88,41
remove_seed_suspect_pair,lowest_correlation_first,max_one_trade_per_session,5,1305.17,1264.17,41
remove_seed_suspect_pair,lowest_correlation_first,max_one_trade_per_session,6,2635.14,2592.14,43
remove_seed_suspect_pair,rare_setup_first,one_trade_at_a_time_chronological,1,-2307.49,-2348.49,41
remove_seed_suspect_pair,rare_setup_first,one_trade_at_a_time_chronological,2,-1383.72,-1424.72,41
remove_seed_suspect_pair,rare_setup_first,one_trade_at_a_time_chronological,3,624.3,583.3,41
remove_seed_suspect_pair,rare_setup_first,one_trade_at_a_time_chronological,4,-1566.54,-1607.54,41
remove_seed_suspect_pair,rare_setup_first,one_trade_at_a_time_chronological,5,-597.48,-638.48,41
remove_seed_suspect_pair,rare_setup_first,one_trade_at_a_time_chronological,6,5754.89,5711.89,43
remove_seed_suspect_pair,rare_setup_first,max_one_trade_per_session,1,-936.45,-977.45,41
remove_seed_suspect_pair,rare_setup_first,max_one_trade_per_session,2,886.16,845.16,41
remove_seed_suspect_pair,rare_setup_first,max_one_trade_per_session,3,-72.37,-113.37,41
remove_seed_suspect_pair,rare_setup_first,max_one_trade_per_session,4,-1008.88,-1049.88,41
remove_seed_suspect_pair,rare_setup_first,max_one_trade_per_session,5,1305.17,1264.17,41
remove_seed_suspect_pair,rare_setup_first,max_one_trade_per_session,6,2635.14,2592.14,43
remove_seed_suspect_pair,concentration_adjusted_priority,one_trade_at_a_time_chronological,1,-2337.23,-2378.23,41
remove_seed_suspect_pair,concentration_adjusted_priority,one_trade_at_a_time_chronological,2,-1277.24,-1318.24,41
remove_seed_suspect_pair,concentration_adjusted_priority,one_trade_at_a_time_chronological,3,592.56,551.56,41
remove_seed_suspect_pair,concentration_adjusted_priority,one_trade_at_a_time_chronological,4,-1566.54,-1607.54,41
remove_seed_suspect_pair,concentration_adjusted_priority,one_trade_at_a_time_chronological,5,-597.48,-638.48,41
remove_seed_suspect_pair,concentration_adjusted_priority,one_trade_at_a_time_chronological,6,5775.37,5732.37,43
remove_seed_suspect_pair,concentration_adjusted_priority,max_one_trade_per_session,1,-936.45,-977.45,41
remove_seed_suspect_pair,concentration_adjusted_priority,max_one_trade_per_session,2,886.16,845.16,41
remove_seed_suspect_pair,concentration_adjusted_priority,max_one_trade_per_session,3,-246.37,-287.37,41
remove_seed_suspect_pair,concentration_adjusted_priority,max_one_trade_per_session,4,-1008.88,-1049.88,41
remove_seed_suspect_pair,concentration_adjusted_priority,max_one_trade_per_session,5,1305.17,1264.17,41
remove_seed_suspect_pair,concentration_adjusted_priority,max_one_trade_per_session,6,2635.14,2592.14,43
remove_all_consistently_skipped_modules,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1,-1623.13,-1664.13,41
remove_all_consistently_skipped_modules,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2,-583.92,-624.92,41
remove_all_consistently_skipped_modules,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,3,1479.46,1438.46,41
remove_all_consistently_skipped_modules,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,4,-463.72,-504.72,41
remove_all_consistently_skipped_modules,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,5,514.86,473.86,41
remove_all_consistently_skipped_modules,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,6,5405.73,5362.73,43
remove_all_consistently_skipped_modules,hybrid_validation_then_correlation,max_one_trade_per_session,1,-848.45,-889.45,41
remove_all_consistently_skipped_modules,hybrid_validation_then_correlation,max_one_trade_per_session,2,886.16,845.16,41
remove_all_consistently_skipped_modules,hybrid_validation_then_correlation,max_one_trade_per_session,3,-72.37,-113.37,41
remove_all_consistently_skipped_modules,hybrid_validation_then_correlation,max_one_trade_per_session,4,-1008.88,-1049.88,41
remove_all_consistently_skipped_modules,hybrid_validation_then_correlation,max_one_trade_per_session,5,1281.67,1240.67,41
remove_all_consistently_skipped_modules,hybrid_validation_then_correlation,max_one_trade_per_session,6,2662.24,2619.24,43
remove_all_consistently_skipped_modules,lowest_correlation_first,one_trade_at_a_time_chronological,1,-1623.13,-1664.13,41
remove_all_consistently_skipped_modules,lowest_correlation_first,one_trade_at_a_time_chronological,2,-583.92,-624.92,41
remove_all_consistently_skipped_modules,lowest_correlation_first,one_trade_at_a_time_chronological,3,1479.46,1438.46,41
remove_all_consistently_skipped_modules,lowest_correlation_first,one_trade_at_a_time_chronological,4,-463.72,-504.72,41
remove_all_consistently_skipped_modules,lowest_correlation_first,one_trade_at_a_time_chronological,5,514.86,473.86,41
remove_all_consistently_skipped_modules,lowest_correlation_first,one_trade_at_a_time_chronological,6,5405.73,5362.73,43
remove_all_consistently_skipped_modules,lowest_correlation_first,max_one_trade_per_session,1,-848.45,-889.45,41
remove_all_consistently_skipped_modules,lowest_correlation_first,max_one_trade_per_session,2,886.16,845.16,41
remove_all_consistently_skipped_modules,lowest_correlation_first,max_one_trade_per_session,3,-72.37,-113.37,41
remove_all_consistently_skipped_modules,lowest_correlation_first,max_one_trade_per_session,4,-1008.88,-1049.88,41
remove_all_consistently_skipped_modules,lowest_correlation_first,max_one_trade_per_session,5,1281.67,1240.67,41
remove_all_consistently_skipped_modules,lowest_correlation_first,max_one_trade_per_session,6,2662.24,2619.24,43
remove_all_consistently_skipped_modules,rare_setup_first,one_trade_at_a_time_chronological,1,-1623.13,-1664.13,41
remove_all_consistently_skipped_modules,rare_setup_first,one_trade_at_a_time_chronological,2,-583.92,-624.92,41
remove_all_consistently_skipped_modules,rare_setup_first,one_trade_at_a_time_chronological,3,1479.46,1438.46,41
remove_all_consistently_skipped_modules,rare_setup_first,one_trade_at_a_time_chronological,4,-463.72,-504.72,41
remove_all_consistently_skipped_modules,rare_setup_first,one_trade_at_a_time_chronological,5,514.86,473.86,41
remove_all_consistently_skipped_modules,rare_setup_first,one_trade_at_a_time_chronological,6,5405.73,5362.73,43
remove_all_consistently_skipped_modules,rare_setup_first,max_one_trade_per_session,1,-848.45,-889.45,41
remove_all_consistently_skipped_modules,rare_setup_first,max_one_trade_per_session,2,886.16,845.16,41
remove_all_consistently_skipped_modules,rare_setup_first,max_one_trade_per_session,3,-72.37,-113.37,41
remove_all_consistently_skipped_modules,rare_setup_first,max_one_trade_per_session,4,-1008.88,-1049.88,41
remove_all_consistently_skipped_modules,rare_setup_first,max_one_trade_per_session,5,1281.67,1240.67,41
remove_all_consistently_skipped_modules,rare_setup_first,max_one_trade_per_session,6,2662.24,2619.24,43
remove_all_consistently_skipped_modules,concentration_adjusted_priority,one_trade_at_a_time_chronological,1,-1623.13,-1664.13,41
remove_all_consistently_skipped_modules,concentration_adjusted_priority,one_trade_at_a_time_chronological,2,-504.68,-545.68,41
remove_all_consistently_skipped_modules,concentration_adjusted_priority,one_trade_at_a_time_chronological,3,1447.72,1406.72,41
remove_all_consistently_skipped_modules,concentration_adjusted_priority,one_trade_at_a_time_chronological,4,-463.72,-504.72,41
remove_all_consistently_skipped_modules,concentration_adjusted_priority,one_trade_at_a_time_chronological,5,514.86,473.86,41
remove_all_consistently_skipped_modules,concentration_adjusted_priority,one_trade_at_a_time_chronological,6,5441.47,5398.47,43
remove_all_consistently_skipped_modules,concentration_adjusted_priority,max_one_trade_per_session,1,-848.45,-889.45,41
remove_all_consistently_skipped_modules,concentration_adjusted_priority,max_one_trade_per_session,2,886.16,845.16,41
remove_all_consistently_skipped_modules,concentration_adjusted_priority,max_one_trade_per_session,3,-246.37,-287.37,41
remove_all_consistently_skipped_modules,concentration_adjusted_priority,max_one_trade_per_session,4,-1008.88,-1049.88,41
remove_all_consistently_skipped_modules,concentration_adjusted_priority,max_one_trade_per_session,5,1281.67,1240.67,41
remove_all_consistently_skipped_modules,concentration_adjusted_priority,max_one_trade_per_session,6,2662.24,2619.24,43
remove_harmful_in_weak_folds,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1,-2076.15,-2116.15,40
remove_harmful_in_weak_folds,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2,-1743.34,-1783.34,40
remove_harmful_in_weak_folds,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,3,69.46,29.46,40
remove_harmful_in_weak_folds,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,4,305.09,265.09,40
remove_harmful_in_weak_folds,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,5,-1160.08,-1200.08,40
remove_harmful_in_weak_folds,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,6,2940.32,2900.32,40
remove_harmful_in_weak_folds,hybrid_validation_then_correlation,max_one_trade_per_session,1,-640.89,-680.89,40
remove_harmful_in_weak_folds,hybrid_validation_then_correlation,max_one_trade_per_session,2,219.61,179.61,40
remove_harmful_in_weak_folds,hybrid_validation_then_correlation,max_one_trade_per_session,3,-1133.53,-1173.53,40
remove_harmful_in_weak_folds,hybrid_validation_then_correlation,max_one_trade_per_session,4,858.39,818.39,40
remove_harmful_in_weak_folds,hybrid_validation_then_correlation,max_one_trade_per_session,5,743.06,703.06,40
remove_harmful_in_weak_folds,hybrid_validation_then_correlation,max_one_trade_per_session,6,2213.27,2173.27,40
remove_harmful_in_weak_folds,lowest_correlation_first,one_trade_at_a_time_chronological,1,-2076.15,-2116.15,40
remove_harmful_in_weak_folds,lowest_correlation_first,one_trade_at_a_time_chronological,2,-1743.34,-1783.34,40
remove_harmful_in_weak_folds,lowest_correlation_first,one_trade_at_a_time_chronological,3,69.46,29.46,40
remove_harmful_in_weak_folds,lowest_correlation_first,one_trade_at_a_time_chronological,4,305.09,265.09,40
