candidate_id,signal_time,confirmation_time,entry_time,trading_session,module_family,side,regime_variant,confirmation_model,exit_variant,signal_open,signal_high,signal_low,signal_close,pullback_low,pullback_high,atr,morning_high,morning_low,morning_midpoint,morning_range,morning_close_position,direction_flip_flag,lunch_high,lunch_low,lunch_midpoint,prior_morning_range_sessions_used,skipped_extra_signals_same_day,entry_price,exit_time,exit_price,exit_reason,structural_stop,atr_cap_stop,actual_stop,target_price,gross_pnl,net_pnl,stress_pnl,mfe,mae,same_bar_ambiguity,stop_hit,target_hit,time_stop,instrument,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,regime_build_start,regime_build_end,lunch_build_start,lunch_build_end,trade_start,trade_end,entry_rule,target_type,paper_trading_approved,split
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2026-05-15 14:30:00-04:00,2026-05-15 14:30:00-04:00,2026-05-15 14:35:00-04:00,2026-05-15,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,29385.0,29390.75,29316.25,29341.25,29316.25,29390.75,37.69642857142857,29382.5,29089.5,29236.0,293.0,0.834471,True,29380.25,29211.5,29295.875,216,2,29340.75,2026-05-15 14:50:00-04:00,29387.8705,stop,29391.0,29387.8705,29387.8705,29236.0,-94.24,-96.98,-97.98,5.5,125.5,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,holdout
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2026-05-19 13:45:00-04:00,2026-05-19 13:45:00-04:00,2026-05-19 13:50:00-04:00,2026-05-19,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,29089.75,29092.25,29035.5,29065.75,29035.5,29092.25,36.92857142857143,29068.0,28663.0,28865.5,405.0,0.267284,True,29035.0,28756.75,28895.875,218,1,29066.25,2026-05-19 14:05:00-04:00,29092.5,stop,29092.5,29112.4107,29092.5,28865.5,-52.5,-55.24,-56.24,115.0,65.0,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,holdout
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2026-05-28 12:05:00-04:00,2026-05-28 12:05:00-04:00,2026-05-28 12:10:00-04:00,2026-05-28,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,30255.75,30277.75,30254.0,30273.5,30254.0,30277.75,27.482142857142858,30275.0,29920.25,30097.625,354.75,0.964059,True,30329.5,30238.75,30284.125,225,1,30273.75,2026-05-28 12:10:00-04:00,30278.0,stop,30278.0,30308.1027,30278.0,30097.625,-8.5,-11.24,-12.24,8.5,19.0,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,holdout
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_hard_stop_time_exit,2026-06-04 12:30:00-04:00,2026-06-04 12:30:00-04:00,2026-06-04 12:35:00-04:00,2026-06-04,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,hard_stop_time_exit,30480.25,30480.25,30436.25,30449.75,30436.25,30480.25,32.857142857142854,30469.0,30152.25,30310.625,316.75,0.91397,True,30493.75,30362.0,30427.875,230,0,30449.5,2026-06-04 12:40:00-04:00,30480.5,stop,30480.5,30490.5714,30480.5,30310.625,-62.0,-64.74,-65.74,12.5,80.0,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,holdout
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2025-08-12 12:00:00-04:00,2025-08-12 12:00:00-04:00,2025-08-12 12:05:00-04:00,2025-08-12,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,23867.25,23868.5,23846.75,23853.5,23846.75,23868.5,22.714285714285715,23861.0,23622.0,23741.5,239.0,0.883891,True,23911.5,23821.25,23866.375,21,0,23853.5,2025-08-12 12:15:00-04:00,23868.75,stop,23868.75,23881.8929,23868.75,23741.5,-30.5,-33.24,-34.24,14.0,31.5,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,discovery
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2025-09-25 12:20:00-04:00,2025-09-25 12:20:00-04:00,2025-09-25 12:25:00-04:00,2025-09-25,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,24662.25,24673.25,24636.5,24648.75,24636.5,24673.25,26.875,24656.75,24422.0,24539.375,234.75,0.752929,True,24697.0,24598.0,24647.5,53,2,24649.0,2025-09-25 12:55:00-04:00,24625.0,time_stop,24673.5,24682.5938,24673.5,24539.375,48.0,45.26,44.26,72.0,48.0,0,0,0,1,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,discovery
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2025-09-26 14:40:00-04:00,2025-09-26 14:40:00-04:00,2025-09-26 14:45:00-04:00,2025-09-26,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,24726.0,24737.0,24723.0,24724.0,24723.0,24737.0,19.160714285714285,24733.25,24520.0,24626.625,213.25,0.525205,True,24699.75,24568.25,24634.0,54,0,24724.25,2025-09-26 15:15:00-04:00,24722.75,time_stop,24737.25,24748.2009,24737.25,24626.625,3.0,0.26,-0.74,45.0,13.5,0,0,0,1,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,discovery
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2025-10-14 12:05:00-04:00,2025-10-14 12:05:00-04:00,2025-10-14 12:10:00-04:00,2025-10-14,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,24789.25,24793.0,24762.5,24766.0,24762.5,24793.0,42.232142857142854,24768.75,24423.25,24596.0,345.5,0.81259,True,24947.25,24702.0,24824.625,66,0,24765.75,2025-10-14 12:10:00-04:00,24793.25,stop,24793.25,24818.5402,24793.25,24596.0,-55.0,-57.74,-58.74,0.5,67.5,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,discovery
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2025-10-17 12:30:00-04:00,2025-10-17 12:30:00-04:00,2025-10-17 12:35:00-04:00,2025-10-17,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,24949.0,24973.0,24927.75,24929.5,24927.75,24973.0,48.410714285714285,24960.75,24672.25,24816.5,288.5,0.217504,True,24980.0,24674.5,24827.25,69,3,24929.75,2025-10-17 12:50:00-04:00,24973.25,stop,24973.25,24990.2634,24973.25,24816.5,-87.0,-89.74,-90.74,91.0,100.5,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,discovery
MNQ_16a_high_vol_mixed_extreme_fade_short_broad_high_vol_mixed_close_confirm_fill_next_open_structure_target_time_exit,2025-11-21 13:00:00-05:00,2025-11-21 13:00:00-05:00,2025-11-21 13:05:00-05:00,2025-11-21,high_vol_mixed_extreme_fade,short,broad_high_vol_mixed,close_confirm_fill_next_open,structure_target_time_exit,24350.75,24361.5,24268.5,24272.0,24268.5,24361.5,62.464285714285715,24298.25,23927.25,24112.75,371.0,0.669137,False,24416.0,24139.0,24277.5,94,0,24271.75,2025-11-21 13:35:00-05:00,24349.8304,stop,24361.75,24349.8304,24349.8304,24112.75,-156.16,-158.9,-159.9,137.0,209.5,0,1,0,0,MNQ,5,1.25,1,30,1,09:30,11:30,,,12:00,15:30,later_bar_open,morning_midpoint,False,discovery
