candidate_id,instrument,strategy_family,variant,signal_timeframe,execution_timeframe,entry_rule,stop_rule,target_rule,time_stop,max_trades_per_day,stop_after_first_loser,one_open_position,execution_mode,discovery_role,params,session_count,net_pnl,holdout_pnl,slippage_4_ticks_net_pnl,trades,trades_per_session,active_sessions,active_session_pct,win_rate,avg_trade,median_trade,profit_factor,max_drawdown,worst_day,worst_rolling_5_day,longest_losing_streak,long_net_pnl,short_net_pnl,best_day_concentration,best_trade_concentration,max_simultaneous_exposure,same_bar_stop_target_ambiguity_count,one_open_position_respected,beats_phase3b_benchmark_net,beats_phase3b_benchmark_slippage,label,ranking_score,risk_notes
MNQ_prior_session_levels_tf5_prior_mid_reclaim_40x60,MNQ,prior_session_levels,tf5_prior_mid_reclaim_40x60,5,1m,prior_mid_reclaim,40 ticks or level based,60 ticks or reference level,15:55 ET,2,False,True,max2,new_candidate,mode=prior_mid_reclaim;stop_ticks=40;target_ticks=60;tick_size=0.25,63,-71.28000000000011,-164.86000000000004,-212.28000000000014,47,0.746031746031746,26,0.4126984126984127,0.425531914893617,-1.5165957446808536,-21.740000000000002,0.8836206896551723,-291.8800000000002,-46.480000000000004,-133.42000000000002,8,-103.28000000000006,31.999999999999993,1.0,1.0,1,11,True,False,False,rejected,-35.0618,negative net PnL; negative holdout PnL; fails 4-tick slippage; active on less than 70% of sessions; one-day concentration risk; one-trade concentration risk
MGC_opening_range_breakout_or30_tf1_half_range_1R,MGC,opening_range_breakout,or30_tf1_half_range_1R,1,1m,close outside opening range,half_range,1R,15:55 ET,2,False,True,max2,new_candidate,min_range=1.0;or_minutes=30;stop_mode=half_range;target=1R,63,-121.5799999999748,-758.9199999999764,-505.5799999999747,64,1.0158730158730158,58,0.9206349206349206,0.515625,-1.8996874999996063,40.53,0.9725510913639173,-1029.2999999999768,-368.22,-631.1,5,-1341.8800000000037,1220.300000000029,1.0,1.0,1,0,True,False,False,rejected,-35.9437,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk
MNQ_prior_session_levels_tf5_sweep_reverse_40x60,MNQ,prior_session_levels,tf5_sweep_reverse_40x60,5,1m,sweep_reverse,40 ticks or level based,60 ticks or reference level,15:55 ET,2,False,True,max2,new_candidate,mode=sweep_reverse;stop_ticks=40;target_ticks=60;tick_size=0.25,63,-665.3600000000005,667.8999999999999,-857.3600000000001,64,1.0158730158730158,37,0.5873015873015873,0.21875,-10.396250000000007,-40.74,0.792561184723305,-1784.7400000000002,-246.48000000000002,-868.4000000000001,13,-363.06000000000006,-302.3000000000002,1.0,1.0,1,2,True,False,False,rejected,-36.1707,negative net PnL; fails 4-tick slippage; active on less than 70% of sessions; one-day concentration risk; one-trade concentration risk
MNQ_overnight_levels_tf3_break_hold_40x60,MNQ,overnight_levels,tf3_break_hold_40x60,3,1m,break_hold,40 ticks or overnight level,overnight midpoint or fixed ticks,15:55 ET,2,False,True,max2,new_candidate,mode=break_hold;stop_ticks=40;target_ticks=60;tick_size=0.25,63,-201.96000000000015,-35.440000000000005,-363.9600000000002,54,0.8571428571428571,28,0.4444444444444444,0.3888888888888889,-3.740000000000003,-21.740000000000002,0.7356267672007538,-337.2400000000001,-48.480000000000004,-175.40000000000003,6,-178.42000000000007,-23.540000000000042,1.0,1.0,1,8,True,False,False,rejected,-36.2984,negative net PnL; negative holdout PnL; fails 4-tick slippage; active on less than 70% of sessions; one-day concentration risk; one-trade concentration risk
MNQ_opening_range_failure_or60_tf3_opposite_stop_after_first_loser,MNQ,opening_range_failure,or60_tf3_opposite_stop_after_first_loser,3,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,True,True,stop_after_first_loser,new_candidate,min_range=10.0;or_minutes=60;target=opposite,63,398.3099999999981,249.789999999997,260.3099999999981,46,0.7301587301587301,43,0.6825396825396826,0.32608695652173914,8.65891304347822,-118.77749999999854,1.0800447741097934,-1696.0449999999973,-334.1650000000029,-833.7999999999986,8,-20.6799999999987,418.9899999999968,1.5810800632673119,2.277773593432262,1,0,True,False,False,watchlist,-36.7914,active on less than 70% of sessions; one-day concentration risk; one-trade concentration risk
MNQ_prior_session_levels_tf5_prior_close_reclaim_40x60,MNQ,prior_session_levels,tf5_prior_close_reclaim_40x60,5,1m,prior_close_reclaim,40 ticks or level based,60 ticks or reference level,15:55 ET,2,False,True,max2,new_candidate,mode=prior_close_reclaim;stop_ticks=40;target_ticks=60;tick_size=0.25,63,-179.1600000000001,-73.90000000000003,-356.1600000000001,59,0.9365079365079365,30,0.47619047619047616,0.3898305084745763,-3.0366101694915275,-21.740000000000002,0.779397640800847,-374.6800000000002,-46.480000000000004,-176.90000000000003,9,-76.70000000000005,-102.46000000000004,1.0,1.0,1,8,True,False,False,rejected,-36.8985,negative net PnL; negative holdout PnL; fails 4-tick slippage; active on less than 70% of sessions; one-day concentration risk; one-trade concentration risk
MNQ_opening_range_failure_or5_tf1_mid_max1,MNQ,opening_range_failure,or5_tf1_mid_max1,1,1m,close back inside failed opening range,35pct opening range beyond failed side,mid of opening range,15:55 ET,1,False,True,max1,new_candidate,min_range=10.0;or_minutes=5;target=mid,63,97.30499999999121,557.11,-76.69500000000896,58,0.9206349206349206,58,0.9206349206349206,0.5517241379310345,1.677672413792952,31.009999999999998,1.043895045257387,-524.5600000000015,-172.76500000000146,-257.22500000000144,4,-421.17000000001167,518.475000000003,1.7240635116388177,1.7240635116388177,1,0,True,False,False,interesting_but_needs_validation,-37.023,fails 4-tick slippage; one-day concentration risk; one-trade concentration risk
MGC_overnight_levels_tf5_midpoint_reclaim_12x18,MGC,overnight_levels,tf5_midpoint_reclaim_12x18,5,1m,midpoint_reclaim,12 ticks or overnight level,overnight midpoint or fixed ticks,15:55 ET,2,False,True,max2,new_candidate,mode=midpoint_reclaim;stop_ticks=12;target_ticks=18;tick_size=0.1,63,-213.57999999991992,-39.09999999999272,-447.5799999999201,39,0.6190476190476191,23,0.36507936507936506,0.3076923076923077,-5.476410256408203,-13.219999999999999,0.4605748345710174,-220.93999999994176,-34.43999999999272,-89.75999999999635,6,-15.959999999974514,-197.6199999999454,1.0,1.0,1,9,True,False,False,rejected,-37.4805,negative net PnL; negative holdout PnL; fails 4-tick slippage; active on less than 70% of sessions; one-day concentration risk; one-trade concentration risk
MNQ_vwap_pullback_trend_tf3_ema20_1.5R,MNQ,vwap_pullback_trend,tf3_ema20_1.5R,3,1m,trend pullback reclaim,pullback swing,1.5R,15:55 ET,2,False,True,max2,new_candidate,pullback_ref=ema20;rr=1.5;tick_size=0.25,63,-663.2900000000003,408.7499999999998,-1026.2900000000006,121,1.9206349206349207,63,1.0,0.39669421487603307,-5.481735537190085,-54.24,0.915890398451944,-2288.4100000000008,-634.98,-1327.66,7,-114.16000000000054,-549.1300000000005,1.0,1.0,1,0,True,False,False,rejected,-37.5549,negative net PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk
MNQ_opening_range_failure_or60_tf3_opposite_max2,MNQ,opening_range_failure,or60_tf3_opposite_max2,3,1m,close back inside failed opening range,35pct opening range beyond failed side,opposite of opening range,15:55 ET,2,False,True,max2,new_candidate,min_range=10.0;or_minutes=60;target=opposite,63,395.0999999999981,249.789999999997,245.0999999999981,50,0.7936507936507936,43,0.6825396825396826,0.34,7.901999999999962,-118.77749999999854,1.0739566330732713,-1545.4899999999989,-388.53000000000293,-932.0550000000001,7,-103.13499999999726,498.23499999999535,1.5939255884586259,2.2962794229309145,1,0,True,False,False,watchlist,-37.5749,active on less than 70% of sessions; one-day concentration risk; one-trade concentration risk
MGC_prior_session_levels_tf1_prior_mid_reclaim_12x18,MGC,prior_session_levels,tf1_prior_mid_reclaim_12x18,1,1m,prior_mid_reclaim,12 ticks or level based,18 ticks or reference level,15:55 ET,2,False,True,max2,new_candidate,mode=prior_mid_reclaim;stop_ticks=12;target_ticks=18;tick_size=0.1,63,-259.01999999990267,-20.53999999998817,-505.01999999990267,41,0.6507936507936508,22,0.3492063492063492,0.2926829268292683,-6.317560975607382,-14.219999999994542,0.4037018278927327,-268.3599999999127,-32.43999999999454,-120.19999999996543,7,-191.3999999999436,-67.61999999995905,1.0,1.0,1,11,True,False,False,rejected,-37.6675,negative net PnL; negative holdout PnL; fails 4-tick slippage; active on less than 70% of sessions; one-day concentration risk; one-trade concentration risk
MNQ_opening_range_breakout_or15_tf5_half_range_1R,MNQ,opening_range_breakout,or15_tf5_half_range_1R,5,1m,close outside opening range,half_range,1R,15:55 ET,2,False,True,max2,new_candidate,min_range=10.0;or_minutes=15;stop_mode=half_range;target=1R,63,-797.6800000000007,393.92999999999984,-1043.6800000000007,82,1.3015873015873016,62,0.9841269841269841,0.4878048780487805,-9.72780487804879,-49.99,0.9036569487824261,-2852.370000000001,-625.48,-871.69,5,69.45999999999958,-867.1400000000001,1.0,1.0,1,0,True,False,False,rejected,-38.0544,negative net PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk
MGC_prior_session_levels_tf5_prior_close_reclaim_12x18,MGC,prior_session_levels,tf5_prior_close_reclaim_12x18,5,1m,prior_close_reclaim,12 ticks or level based,18 ticks or reference level,15:55 ET,2,False,True,max2,new_candidate,mode=prior_close_reclaim;stop_ticks=12;target_ticks=18;tick_size=0.1,63,-209.03999999991265,-43.53999999998544,-401.03999999991265,32,0.5079365079365079,18,0.2857142857142857,0.3125,-6.53249999999727,-14.219999999994542,0.40417284232142664,-186.8199999999163,-43.439999999989084,-112.97999999996907,5,30.700000000041854,-239.7399999999545,1.0,1.0,1,7,True,False,False,rejected,-38.7617,negative net PnL; negative holdout PnL; fails 4-tick slippage; active on less than 70% of sessions; one-day concentration risk; one-trade concentration risk
MGC_compression_breakout_tf5_low_realized_vol,MGC,compression_breakout,tf5_low_realized_vol,5,1m,low_realized_vol,inside compression range,2R,15:55 ET,2,False,True,max2,new_candidate,mode=low_realized_vol;rr=2.0;tick_size=0.1,63,-212.98000000001585,-1120.6399999999846,-566.9800000000159,59,0.9365079365079365,59,0.9365079365079365,0.423728813559322,-3.609830508474845,-69.22000000000364,0.9526235240730652,-1125.4199999999864,-260.2199999999982,-683.1000000000074,4,-1079.50000000001,866.5199999999942,1.0,1.0,1,0,True,False,False,rejected,-39.0848,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk
MNQ_opening_range_failure_or5_tf2_mid_max2,MNQ,opening_range_failure,or5_tf2_mid_max2,2,1m,close back inside failed opening range,35pct opening range beyond failed side,mid of opening range,15:55 ET,2,False,True,max2,new_candidate,min_range=10.0;or_minutes=5;target=mid,63,-827.4350000000095,-18.965000000003016,-1154.4350000000095,109,1.7301587301587302,58,0.9206349206349206,0.5504587155963303,-7.591146788990913,9.01,0.8360064889055359,-1300.2750000000049,-334.33000000000584,-504.6249999999986,7,-215.23500000001025,-612.1999999999989,1.0,1.0,1,0,True,False,False,rejected,-39.1191,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk
