pruning_variant,priority_policy,portfolio_mode,fold,net_pnl,stress_pnl,active_days
remove_high_redundancy_pairs,concentration_adjusted_priority,one_trade_at_a_time_chronological,5,1235.14,1194.14,41
remove_high_redundancy_pairs,concentration_adjusted_priority,one_trade_at_a_time_chronological,6,6631.1,6588.1,43
remove_high_redundancy_pairs,concentration_adjusted_priority,max_one_trade_per_session,1,-936.45,-977.45,41
remove_high_redundancy_pairs,concentration_adjusted_priority,max_one_trade_per_session,2,872.66,831.66,41
remove_high_redundancy_pairs,concentration_adjusted_priority,max_one_trade_per_session,3,-72.37,-113.37,41
remove_high_redundancy_pairs,concentration_adjusted_priority,max_one_trade_per_session,4,-1042.38,-1083.38,41
remove_high_redundancy_pairs,concentration_adjusted_priority,max_one_trade_per_session,5,1305.17,1264.17,41
remove_high_redundancy_pairs,concentration_adjusted_priority,max_one_trade_per_session,6,2298.14,2255.14,43
remove_high_redundancy_pairs,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,1,-1873.71,-1914.71,41
remove_high_redundancy_pairs,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,2,378.4,337.4,41
remove_high_redundancy_pairs,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,3,1251.3,1210.3,41
remove_high_redundancy_pairs,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,4,-82.93,-123.93,41
remove_high_redundancy_pairs,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,5,1235.14,1194.14,41
remove_high_redundancy_pairs,hybrid_validation_then_correlation,one_trade_at_a_time_chronological,6,6646.36,6603.36,43
remove_high_redundancy_pairs,hybrid_validation_then_correlation,max_one_trade_per_session,1,-936.45,-977.45,41
remove_high_redundancy_pairs,hybrid_validation_then_correlation,max_one_trade_per_session,2,886.16,845.16,41
remove_high_redundancy_pairs,hybrid_validation_then_correlation,max_one_trade_per_session,3,-72.37,-113.37,41
remove_high_redundancy_pairs,hybrid_validation_then_correlation,max_one_trade_per_session,4,-1008.88,-1049.88,41
remove_high_redundancy_pairs,hybrid_validation_then_correlation,max_one_trade_per_session,5,1305.17,1264.17,41
remove_high_redundancy_pairs,hybrid_validation_then_correlation,max_one_trade_per_session,6,2298.14,2255.14,43
remove_high_redundancy_pairs,lowest_correlation_first,one_trade_at_a_time_chronological,1,-1873.71,-1914.71,41
remove_high_redundancy_pairs,lowest_correlation_first,one_trade_at_a_time_chronological,2,378.4,337.4,41
