candidate_id,signal_time,confirmation_time,entry_time,trading_session,side,branch,or_window,entry_window,confirmation_model,exit_variant,signal_close,opening_range_high,opening_range_low,opening_range_midpoint,opening_range_width_points,opening_range_width_bucket,atr,sweep_extreme,sweep_distance_points,sweep_distance_bucket,first_touch,touch_sequence,entry_price,exit_time,exit_price,exit_reason,structural_stop,atr_cap_stop,actual_stop,target_price,gross_pnl,net_pnl,stress_pnl,mfe,mae,same_bar_ambiguity,stop_hit,target_hit,time_stop,instrument,or_start,or_end,entry_start,entry_end,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,min_minutes_between_entries,split,fees_only_pnl,normal_slippage_pnl
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-08-18 10:00:00-04:00,2025-08-18 10:00:00-04:00,2025-08-18 10:05:00-04:00,2025-08-18,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,23782.5,23818.25,23767.75,23793.0,50.5,middle,39.32142857142857,23745.5,22.25,large_sweep,0,later_touch,23782.75,2025-08-18 10:20:00-04:00,23793.0,target,23745.25,23733.5982,23745.25,23793.0,20.5,17.76,16.76,74.0,48.0,0,0,1,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,17.759999999999998,17.76
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-08-19 09:50:00-04:00,2025-08-19 09:50:00-04:00,2025-08-19 09:55:00-04:00,2025-08-19,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,23692.75,23770.75,23660.0,23715.375,110.75,wide,60.15,23640.5,19.5,large_sweep,0,later_touch,23692.75,2025-08-19 10:00:00-04:00,23715.375,target,23640.25,23617.5625,23640.25,23715.375,45.25,42.51,41.51,60.5,42.0,0,0,1,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,42.51,42.51
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-08-21 09:45:00-04:00,2025-08-21 09:45:00-04:00,2025-08-21 09:50:00-04:00,2025-08-21,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,23265.75,23290.5,23199.5,23245.0,91.0,wide,68.8125,23175.0,24.5,large_sweep,1,first_touch,23265.75,2025-08-21 09:50:00-04:00,23266.0,target,23174.75,23179.7344,23179.7344,23266.0,0.5,-2.24,-3.24,5.5,101.5,0,0,1,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,-2.24,-2.24
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-08-26 09:50:00-04:00,2025-08-26 09:50:00-04:00,2025-08-26 09:55:00-04:00,2025-08-26,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,23497.5,23518.5,23463.25,23490.875,55.25,middle,53.15,23437.5,25.75,large_sweep,0,later_touch,23496.25,2025-08-26 09:55:00-04:00,23496.5,target,23437.25,23429.8125,23437.25,23496.5,0.5,-2.24,-3.24,20.5,26.5,0,0,1,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,-2.24,-2.24
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-08-27 09:50:00-04:00,2025-08-27 09:50:00-04:00,2025-08-27 09:55:00-04:00,2025-08-27,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,23539.5,23565.25,23513.75,23539.5,51.5,middle,38.2,23499.5,14.25,medium_sweep,0,later_touch,23539.25,2025-08-27 09:55:00-04:00,23539.5,target,23499.25,23491.5,23499.25,23539.5,0.5,-2.24,-3.24,5.0,47.5,0,0,1,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,-2.24,-2.24
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-08-28 10:05:00-04:00,2025-08-28 10:05:00-04:00,2025-08-28 10:10:00-04:00,2025-08-28,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,23652.25,23743.25,23629.25,23686.25,114.0,wide,64.34375,23598.0,31.25,large_sweep,0,later_touch,23652.25,2025-08-28 10:40:00-04:00,23686.25,target,23597.75,23571.8203,23597.75,23686.25,68.0,65.26,64.26,99.0,56.5,0,0,1,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,65.26,65.26
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-09-03 09:45:00-04:00,2025-09-03 09:45:00-04:00,2025-09-03 09:50:00-04:00,2025-09-03,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,23404.25,23438.0,23372.0,23405.0,66.0,wide,45.0625,23369.75,2.25,small_sweep,1,first_touch,23405.0,2025-09-03 09:50:00-04:00,23405.25,target,23369.5,23348.6719,23369.5,23405.25,0.5,-2.24,-3.24,51.5,21.5,0,0,1,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,-2.24,-2.24
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-09-04 10:20:00-04:00,2025-09-04 10:20:00-04:00,2025-09-04 10:25:00-04:00,2025-09-04,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,23477.5,23548.25,23457.25,23502.75,91.0,wide,47.45454545454545,23440.25,17.0,large_sweep,0,later_touch,23477.25,2025-09-04 10:30:00-04:00,23502.75,target,23440.0,23417.9318,23440.0,23502.75,51.0,48.26,47.26,64.0,29.0,0,0,1,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,48.26,48.26
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-09-05 10:00:00-04:00,2025-09-05 10:00:00-04:00,2025-09-05 10:05:00-04:00,2025-09-05,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,23837.25,23902.5,23821.5,23862.0,81.0,wide,48.785714285714285,23805.25,16.25,large_sweep,1,first_touch,23836.75,2025-09-05 10:05:00-04:00,23805.0,stop,23805.0,23775.7679,23805.0,23862.0,-63.5,-66.24,-67.24,1.5,107.5,0,1,0,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,-66.24,-66.24
MNQ_11a_orfade_long_low_fade_OR15_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,2025-09-09 10:05:00-04:00,2025-09-09 10:05:00-04:00,2025-09-09 10:10:00-04:00,2025-09-09,long,long_low_fade,OR15,opening_response,close_back_inside_fill_next_open,midpoint_target_time_exit,23831.75,23857.75,23815.0,23836.375,42.75,middle,34.65625,23788.5,26.5,large_sweep,0,later_touch,23831.75,2025-09-09 10:10:00-04:00,23836.375,target,23788.25,23788.4297,23788.4297,23836.375,9.25,6.51,5.51,38.0,10.0,0,0,1,0,MNQ,09:30,09:45,09:35,10:30,5,1.25,1,30,2,30,discovery,6.51,6.51
