phase11a_rank,candidate_id,instrument,branch,side,or_window,or_start,or_end,entry_window,entry_start,entry_end,confirmation_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,min_minutes_between_entries,trades,active_days,trades_per_active_day,gross_pnl,fees_only_pnl,normal_slippage_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,stop_hit_rate,target_hit_rate,time_stop_rate,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,invalid_risk_skipped_count,phase11a_label,research_axis_status,phase11a_score,reject_reasons
29,MNQ_11a_orfade_short_high_fade_OR30_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,MNQ,short_high_fade,short,OR30,09:30,10:00,opening_response,09:35,10:30,close_back_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,85,85,1.0,-896.0,-1128.9,-1128.9,-1128.9,-1213.9,-686.52,272.18,-1796.32,1.0,1.0,98.45,77.45,0.694118,0.0,0.305882,-1189.74,-1240.74,0.0,-468.14,0,phase11a_rejected_negative_stress,axis_failed,-8500.96,negative stress; negative validation; fold instability; concentration
30,MNQ_11a_orfade_short_high_fade_OR30_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,MNQ,short_high_fade,short,OR30,09:30,10:00,midday_response,10:30,13:30,close_back_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,156,104,1.5,-832.36,-1259.8,-1259.8,-1259.8,-1415.8,-850.22,-457.2,-1552.42,1.0,1.0,84.01,65.25,0.698718,0.0,0.301282,-1200.6,-1291.6,0.166667,-709.62,0,phase11a_rejected_negative_stress,axis_failed,-8509.82,negative stress; negative validation; negative holdout; fold instability; concentration
31,MNQ_11a_orfade_short_high_fade_OR5_midday_response_two_bar_inside_fill_next_open_hard_stop_time_exit,MNQ,short_high_fade,short,OR5,09:30,09:35,midday_response,10:30,13:30,two_bar_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,112,80,1.4,-767.15,-1074.03,-1074.03,-1074.03,-1186.03,98.09,-1797.05,-2169.71,1.0,1.0,94.86,85.99,0.526786,0.0,0.473214,-947.74,-1017.74,0.5,-1061.52,0,phase11a_rejected_negative_stress,axis_failed,-8623.48,negative stress; negative holdout; fold instability; concentration
32,MNQ_11a_orfade_long_low_fade_OR15_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,MNQ,long_low_fade,long,OR15,09:30,09:45,midday_response,10:30,13:30,close_back_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,149,95,1.568421,-1293.08,-1701.34,-1701.35,-1701.35,-1850.35,-405.62,-695.2,-1761.21,1.0,1.0,72.12,72.29,0.61745,0.0,0.38255,-1023.68,-1110.68,0.5,-1151.86,0,phase11a_rejected_negative_stress,axis_failed,-8972.24,negative stress; negative validation; negative holdout; fold instability; concentration
33,MNQ_11a_orfade_short_high_fade_OR30_opening_response_close_back_inside_fill_next_open_midpoint_target_time_exit,MNQ,short_high_fade,short,OR30,09:30,10:00,opening_response,09:35,10:30,close_back_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,85,85,1.0,-1299.0,-1531.9,-1531.9,-1531.9,-1616.9,-907.02,-132.57,-1843.92,1.0,1.0,75.09,72.11,0.635294,0.270588,0.094118,-1467.74,-1518.74,0.0,-497.39,0,phase11a_rejected_negative_stress,axis_failed,-9229.56,negative stress; negative validation; negative holdout; fold instability; concentration
34,MNQ_11a_orfade_long_low_fade_OR15_midday_response_close_back_inside_fill_next_open_midpoint_target_time_exit,MNQ,long_low_fade,long,OR15,09:30,09:45,midday_response,10:30,13:30,close_back_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,149,95,1.568421,-1496.85,-1905.11,-1905.12,-1905.12,-2054.12,54.38,-1252.72,-1911.23,1.0,1.0,57.07,66.45,0.57047,0.328859,0.100671,-1055.95,-1142.95,0.5,-1427.86,0,phase11a_rejected_negative_stress,axis_failed,-9358.3,negative stress; negative holdout; fold instability; concentration
35,MNQ_11a_orfade_short_high_fade_OR30_midday_response_close_back_inside_fill_next_open_midpoint_target_time_exit,MNQ,short_high_fade,short,OR30,09:30,10:00,midday_response,10:30,13:30,close_back_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,156,104,1.5,-1187.88,-1615.32,-1615.32,-1615.32,-1771.32,-777.97,-295.4,-1911.67,1.0,1.0,66.93,61.9,0.666667,0.217949,0.115385,-1340.12,-1431.12,0.166667,-745.12,0,phase11a_rejected_negative_stress,axis_failed,-9364.11,negative stress; negative validation; negative holdout; fold instability; concentration
36,MNQ_11a_orfade_short_high_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,MNQ,short_high_fade,short,OR5,09:30,09:35,opening_response,09:35,10:30,two_bar_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,105,96,1.09375,-1049.09,-1336.79,-1336.79,-1336.79,-1441.79,-895.48,859.37,-2845.64,1.0,1.0,119.91,100.6,0.609524,0.0,0.390476,-785.52,-854.52,0.5,-1011.49,0,phase11a_rejected_negative_stress,axis_failed,-9391.95,negative stress; negative validation; fold instability; concentration
37,MNQ_11a_orfade_long_low_fade_OR15_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,MNQ,long_low_fade,long,OR15,09:30,09:45,opening_response,09:35,10:30,two_bar_inside_fill_next_open,hard_stop_time_exit,5,1.25,1,30,2,30,88,86,1.023256,-1634.78,-1875.9,-1875.92,-1875.92,-1963.92,-318.13,-371.65,-2193.42,1.0,1.0,102.35,105.62,0.545455,0.0,0.454545,-1087.85,-1135.85,0.166667,-390.95,0,phase11a_rejected_negative_stress,axis_failed,-9543.19,negative stress; negative validation; negative holdout; fold instability; concentration
38,MNQ_11a_orfade_short_high_fade_OR15_midday_response_two_bar_inside_fill_next_open_midpoint_target_time_exit,MNQ,short_high_fade,short,OR15,09:30,09:45,midday_response,10:30,13:30,two_bar_inside_fill_next_open,midpoint_target_time_exit,5,1.25,1,30,2,30,116,84,1.380952,-1188.98,-1506.82,-1506.82,-1506.82,-1622.82,-656.48,-690.81,-2249.88,1.0,1.0,55.97,64.86,0.448276,0.491379,0.060345,-1935.04,-2006.04,0.0,-572.57,0,phase11a_rejected_negative_stress,axis_failed,-10128.74,negative stress; negative validation; negative holdout; fold instability; concentration
