audit,portfolio_set,portfolio_mode,fold,is_weak_fold,overlap_days,overlap_day_frequency,avg_modules_firing_per_day,trade_overlap_count_portfolio_level,skipped_overlap_count_portfolio_level,skipped_session_count_portfolio_level,early_losing_module_when_later_module_helped_days,diagnosis_overlap_priority_risk,diagnosis_max_one_session_suppression_risk,high_movement_no_trade_days
C,diversifier_only_13a_14a,raw_sum_diagnostic,4,True,40,1.0,10.325,139,0,0,12,True,False,0
C,prior_level_diversifiers_only,raw_sum_diagnostic,4,True,40,1.0,10.325,139,0,0,12,True,False,0
C,greedy_low_correlation_with_14a,raw_sum_diagnostic,4,True,40,1.0,10.375,96,0,0,10,True,False,0
D,audit_c_best_reconstructed,max_one_trade_per_session,1,True,42,1.0,9.238095,0,0,1514,12,True,True,0
D,audit_c_best_plus_phase15a,max_one_trade_per_session,1,True,42,1.0,9.238095,0,0,1667,12,True,True,0
D,audit_c_best_plus_13a_14a_15a,max_one_trade_per_session,1,True,42,1.0,9.238095,0,0,1667,12,True,True,0
D,top_cross_family_plus_13a_14a_15a,max_one_trade_per_session,1,True,41,1.0,9.04878,0,0,600,12,True,True,0
D,diversifier_only_13a_14a_15a,max_one_trade_per_session,1,True,41,1.0,9.414634,0,0,331,11,True,True,0
D,trend_power_only_phase15a,max_one_trade_per_session,1,True,40,1.0,9.65,0,0,52,11,True,True,0
D,all_parked_modules_with_13a_14a_15a,max_one_trade_per_session,1,True,42,1.0,9.238095,0,0,1855,12,True,True,0
D,rare_setup_plus_15a,max_one_trade_per_session,1,True,33,1.0,9.606061,0,0,149,9,True,True,0
D,greedy_low_correlation_with_15a,max_one_trade_per_session,1,True,40,1.0,9.225,0,0,530,12,True,True,0
D,trend_power_only_phase15a,max_one_trade_per_session,2,True,32,1.0,9.4375,0,0,52,6,True,True,0
D,rare_setup_plus_15a,max_one_trade_per_session,2,True,41,1.0,9.341463,0,0,149,9,True,True,0
D,greedy_low_correlation_with_15a,max_one_trade_per_session,2,True,40,1.0,9.675,0,0,530,7,True,True,0
D,audit_c_best_reconstructed,max_one_trade_per_session,3,True,40,1.0,9.925,0,0,1514,8,True,True,0
D,audit_c_best_plus_phase15a,max_one_trade_per_session,3,True,40,1.0,10.15,0,0,1667,8,True,True,0
D,audit_c_best_plus_13a_14a_15a,max_one_trade_per_session,3,True,40,1.0,10.15,0,0,1667,8,True,True,0
D,top_cross_family_plus_13a_14a_15a,max_one_trade_per_session,3,True,41,1.0,10.121951,0,0,600,9,True,True,0
D,diversifier_only_13a_14a_15a,max_one_trade_per_session,3,True,39,1.0,10.333333,0,0,331,8,True,True,0
D,all_parked_modules_with_13a_14a_15a,max_one_trade_per_session,3,True,40,1.0,10.15,0,0,1855,8,True,True,0
D,greedy_low_correlation_with_15a,max_one_trade_per_session,3,True,40,0.97561,9.902439,0,0,530,7,True,True,0
D,audit_c_best_reconstructed,max_one_trade_per_session,4,True,41,1.0,10.219512,0,0,1514,10,True,True,0
D,audit_c_best_plus_phase15a,max_one_trade_per_session,4,True,41,1.0,10.341463,0,0,1667,11,True,True,0
D,audit_c_best_plus_13a_14a_15a,max_one_trade_per_session,4,True,41,1.0,10.341463,0,0,1667,11,True,True,0
D,top_cross_family_plus_13a_14a_15a,max_one_trade_per_session,4,True,41,1.0,10.219512,0,0,600,10,True,True,0
D,all_parked_modules_with_13a_14a_15a,max_one_trade_per_session,4,True,41,1.0,10.341463,0,0,1855,11,True,True,0
D,greedy_low_correlation_with_15a,max_one_trade_per_session,4,True,40,1.0,10.55,0,0,530,11,True,True,0
D,audit_c_best_reconstructed,one_trade_at_a_time_chronological,1,True,42,1.0,9.238095,0,853,0,12,True,False,0
D,audit_c_best_plus_phase15a,one_trade_at_a_time_chronological,1,True,42,1.0,9.238095,0,896,0,12,True,False,0
D,audit_c_best_plus_13a_14a_15a,one_trade_at_a_time_chronological,1,True,42,1.0,9.238095,0,896,0,12,True,False,0
D,top_cross_family_plus_13a_14a_15a,one_trade_at_a_time_chronological,1,True,41,1.0,9.04878,0,234,0,12,True,False,0
D,diversifier_only_13a_14a_15a,one_trade_at_a_time_chronological,1,True,41,1.0,9.414634,0,173,0,11,True,False,0
D,trend_power_only_phase15a,one_trade_at_a_time_chronological,1,True,40,1.0,9.65,0,40,0,11,True,False,0
D,all_parked_modules_with_13a_14a_15a,one_trade_at_a_time_chronological,1,True,42,1.0,9.238095,0,1028,0,12,True,False,0
D,rare_setup_plus_15a,one_trade_at_a_time_chronological,1,True,33,1.0,9.606061,0,75,0,9,True,False,0
D,greedy_low_correlation_with_15a,one_trade_at_a_time_chronological,1,True,40,1.0,9.225,0,96,0,12,True,False,0
D,audit_c_best_reconstructed,one_trade_at_a_time_chronological,2,True,41,0.97619,9.547619,0,853,0,8,True,False,0
D,audit_c_best_plus_phase15a,one_trade_at_a_time_chronological,2,True,40,0.97561,9.341463,0,896,0,7,True,False,0
D,audit_c_best_plus_13a_14a_15a,one_trade_at_a_time_chronological,2,True,40,0.97561,9.341463,0,896,0,7,True,False,0
D,trend_power_only_phase15a,one_trade_at_a_time_chronological,2,True,32,1.0,9.4375,0,40,0,6,True,False,0
D,all_parked_modules_with_13a_14a_15a,one_trade_at_a_time_chronological,2,True,40,0.97561,9.341463,0,1028,0,7,True,False,0
D,rare_setup_plus_15a,one_trade_at_a_time_chronological,2,True,41,1.0,9.341463,0,75,0,9,True,False,0
D,greedy_low_correlation_with_15a,one_trade_at_a_time_chronological,2,True,40,1.0,9.675,0,96,0,7,True,False,0
D,diversifier_only_13a_14a_15a,one_trade_at_a_time_chronological,3,True,39,1.0,10.333333,0,173,0,8,True,False,0
D,audit_c_best_reconstructed,one_trade_at_a_time_chronological,4,True,41,1.0,10.219512,0,853,0,10,True,False,0
D,audit_c_best_plus_phase15a,one_trade_at_a_time_chronological,4,True,41,1.0,10.341463,0,896,0,11,True,False,0
D,audit_c_best_plus_13a_14a_15a,one_trade_at_a_time_chronological,4,True,41,1.0,10.341463,0,896,0,11,True,False,0
D,top_cross_family_plus_13a_14a_15a,one_trade_at_a_time_chronological,4,True,41,1.0,10.219512,0,234,0,10,True,False,0
D,diversifier_only_13a_14a_15a,one_trade_at_a_time_chronological,4,True,42,1.0,10.190476,0,173,0,11,True,False,0
D,all_parked_modules_with_13a_14a_15a,one_trade_at_a_time_chronological,4,True,41,1.0,10.341463,0,1028,0,11,True,False,0
D,audit_c_best_reconstructed,one_trade_at_a_time_chronological,5,True,39,0.975,8.9,0,853,0,7,True,False,0
D,audit_c_best_plus_phase15a,one_trade_at_a_time_chronological,5,True,39,0.975,8.675,0,896,0,6,True,False,0
D,audit_c_best_plus_13a_14a_15a,one_trade_at_a_time_chronological,5,True,39,0.975,8.675,0,896,0,6,True,False,0
D,all_parked_modules_with_13a_14a_15a,one_trade_at_a_time_chronological,5,True,39,0.975,8.675,0,1028,0,6,True,False,0
D,audit_c_best_reconstructed,raw_sum_diagnostic,1,True,42,1.0,9.238095,2854,0,0,12,True,False,0
D,audit_c_best_plus_phase15a,raw_sum_diagnostic,1,True,42,1.0,9.238095,2898,0,0,12,True,False,0
D,audit_c_best_plus_13a_14a_15a,raw_sum_diagnostic,1,True,42,1.0,9.238095,2898,0,0,12,True,False,0
