signal_time,entry_time,trading_session,side,box_high,box_low,entry_model,timeframe,compression_method,direction_mode,entry_price,signal_close,next_bar_close,entry_slippage_from_signal_close,next_close_slippage_from_signal_close,exit_time,exit_price,exit_reason,stop_price,target_price,risk_dollars,gross_pnl,net_pnl,stress_pnl,mfe,mae,mfe_to_mae_ratio,r_multiple,target_hit,stop_hit,time_stop,same_bar_ambiguity,candidate_id,instrument,family,compression_lookback,compression_threshold,stop_model,target_model,target_r,time_stop_minutes,max_trades_per_day,min_minutes_between_entries,avoid_first_minutes,avoid_10_00_10_30,notes,time_bucket,mfe_mae_bucket,stop_target_bucket,split,fold
2025-12-03 10:00:00-05:00,2025-12-03 10:05:00-05:00,2025-12-03,long,25538.0,25430.0,next_bar_open,5,range_percentile,long_only,25571.5,25571.75,25513.5,-0.5,-116.5,2025-12-03 10:50:00-05:00,25560.5,time_stop,25430.0,25783.75,283.0,-22.0,-24.74,-25.74,67.5,147.0,0.459184,-0.077739,0,0,1,0,MNQ_vcb_tf5_range_percentile_lb8_q025_long_only_target15R_mt2_gap30_first10_keep1000,MNQ,volatility_compression_breakout,8,0.25,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,30,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,10:00-10:30,mae_dominates,time_or_flatten,discovery,1
2026-01-06 13:45:00-05:00,2026-01-06 14:00:00-05:00,2026-01-06,long,25785.75,25661.25,next_bar_open,15,atr_percentile,long_only,25805.0,25805.0,25807.25,0.0,4.5,2026-01-06 14:45:00-05:00,25807.75,time_stop,25661.25,26020.625,287.5,5.5,2.76,1.76,32.5,22.0,1.477273,0.01913,0,0,1,0,MNQ_vcb_tf15_atr_percentile_lb8_q02_long_only_target15R_mt2_gap60_first10_keep1000,MNQ,volatility_compression_breakout,8,0.2,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,60,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,13:30-15:45,mfe_ge_mae,time_or_flatten,discovery,1
2026-01-07 11:30:00-05:00,2026-01-07 11:45:00-05:00,2026-01-07,long,25930.0,25770.75,next_bar_open,15,atr_percentile,long_only,25942.5,25942.25,25970.0,0.5,55.5,2026-01-07 12:30:00-05:00,25993.75,time_stop,25770.75,26200.125,343.5,102.5,99.76,98.76,111.0,6.5,17.076923,0.298399,0,0,1,0,MNQ_vcb_tf15_atr_percentile_lb8_q02_long_only_target15R_mt2_gap60_first10_keep1000,MNQ,volatility_compression_breakout,8,0.2,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,60,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,11:30-13:30,mfe_ge_mae,time_or_flatten,discovery,1
2026-01-07 12:30:00-05:00,2026-01-07 12:45:00-05:00,2026-01-07,long,25991.0,25809.0,next_bar_open,15,atr_percentile,long_only,25994.0,25993.75,25971.0,0.5,-45.5,2026-01-07 13:30:00-05:00,25969.5,time_stop,25809.0,26271.5,370.0,-49.0,-51.74,-52.74,5.0,137.0,0.036496,-0.132432,0,0,1,0,MNQ_vcb_tf15_atr_percentile_lb8_q02_long_only_target15R_mt2_gap60_first10_keep1000,MNQ,volatility_compression_breakout,8,0.2,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,60,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,11:30-13:30,mae_dominates,time_or_flatten,discovery,1
2026-01-09 11:45:00-05:00,2026-01-09 12:00:00-05:00,2026-01-09,long,25901.5,25615.75,next_bar_open,15,atr_percentile,long_only,25910.0,25910.25,25913.25,-0.5,6.0,2026-01-09 12:45:00-05:00,25923.0,time_stop,25615.75,26351.375,588.5,26.0,23.26,22.26,52.0,49.5,1.050505,0.04418,0,0,1,0,MNQ_vcb_tf15_atr_percentile_lb8_q02_long_only_target15R_mt2_gap60_first10_keep1000,MNQ,volatility_compression_breakout,8,0.2,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,60,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,11:30-13:30,mfe_ge_mae,time_or_flatten,discovery,2
2026-01-09 13:30:00-05:00,2026-01-09 13:45:00-05:00,2026-01-09,long,25936.0,25845.0,next_bar_open,15,atr_percentile,long_only,25939.25,25939.5,25961.25,-0.5,43.5,2026-01-09 14:30:00-05:00,25962.25,time_stop,25845.0,26080.625,188.5,46.0,43.26,42.26,58.0,5.0,11.6,0.244032,0,0,1,0,MNQ_vcb_tf15_atr_percentile_lb8_q02_long_only_target15R_mt2_gap60_first10_keep1000,MNQ,volatility_compression_breakout,8,0.2,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,60,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,13:30-15:45,mfe_ge_mae,time_or_flatten,discovery,2
2026-01-12 11:45:00-05:00,2026-01-12 12:00:00-05:00,2026-01-12,long,25960.0,25834.25,next_bar_open,15,atr_percentile,long_only,25960.75,25960.5,25969.75,0.5,18.5,2026-01-12 12:45:00-05:00,25968.25,time_stop,25834.25,26150.5,253.0,15.0,12.26,11.26,32.5,44.5,0.730337,0.059289,0,0,1,0,MNQ_vcb_tf15_atr_percentile_lb8_q02_long_only_target15R_mt2_gap60_first10_keep1000,MNQ,volatility_compression_breakout,8,0.2,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,60,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,11:30-13:30,mae_dominates,time_or_flatten,discovery,2
2026-01-12 13:00:00-05:00,2026-01-12 13:15:00-05:00,2026-01-12,long,25977.0,25901.25,next_bar_open,15,atr_percentile,long_only,25985.75,25985.5,25991.0,0.5,11.0,2026-01-12 14:00:00-05:00,25981.0,time_stop,25901.25,26112.5,169.0,-9.5,-12.24,-13.24,23.0,47.5,0.484211,-0.056213,0,0,1,0,MNQ_vcb_tf15_atr_percentile_lb8_q02_long_only_target15R_mt2_gap60_first10_keep1000,MNQ,volatility_compression_breakout,8,0.2,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,60,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,11:30-13:30,mae_dominates,time_or_flatten,discovery,2
2026-01-13 11:45:00-05:00,2026-01-13 12:00:00-05:00,2026-01-13,long,26003.0,25806.0,next_bar_open,15,atr_percentile,long_only,26008.5,26008.75,25993.25,-0.5,-31.0,2026-01-13 12:45:00-05:00,25876.75,time_stop,25806.0,26312.25,405.0,-263.5,-266.24,-267.24,19.0,302.5,0.06281,-0.650617,0,0,1,0,MNQ_vcb_tf15_atr_percentile_lb8_q02_long_only_target15R_mt2_gap60_first10_keep1000,MNQ,volatility_compression_breakout,8,0.2,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,60,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,11:30-13:30,mae_dominates,time_or_flatten,discovery,2
2026-01-19 12:00:00-05:00,2026-01-19 12:15:00-05:00,2026-01-19,long,25383.5,25287.75,next_bar_open,15,atr_percentile,long_only,25389.25,25389.25,25408.5,0.0,38.5,2026-01-19 12:15:00-05:00,25408.5,time_stop,25287.75,25541.5,203.0,38.5,35.76,34.76,57.5,10.0,5.75,0.189655,0,0,1,0,MNQ_vcb_tf15_atr_percentile_lb8_q02_long_only_target15R_mt2_gap60_first10_keep1000,MNQ,volatility_compression_breakout,8,0.2,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,60,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,11:30-13:30,mfe_ge_mae,time_or_flatten,discovery,2
2026-01-21 14:15:00-05:00,2026-01-21 14:30:00-05:00,2026-01-21,long,25296.0,25142.75,next_bar_open,15,atr_percentile,long_only,25429.75,25429.75,25557.5,0.0,255.5,2026-01-21 15:15:00-05:00,25486.5,time_stop,25142.75,25860.25,574.0,113.5,110.76,109.76,447.0,18.0,24.833333,0.197735,0,0,1,0,MNQ_vcb_tf15_atr_percentile_lb8_q02_long_only_target15R_mt2_gap60_first10_keep1000,MNQ,volatility_compression_breakout,8,0.2,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,60,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,13:30-15:45,mfe_ge_mae,time_or_flatten,discovery,2
2026-01-22 12:30:00-05:00,2026-01-22 12:45:00-05:00,2026-01-22,long,25699.75,25571.5,next_bar_open,15,atr_percentile,long_only,25700.75,25700.5,25711.5,0.5,22.0,2026-01-22 13:30:00-05:00,25692.25,time_stop,25571.5,25894.625,258.5,-17.0,-19.74,-20.74,41.0,37.0,1.108108,-0.065764,0,0,1,0,MNQ_vcb_tf15_atr_percentile_lb8_q02_long_only_target15R_mt2_gap60_first10_keep1000,MNQ,volatility_compression_breakout,8,0.2,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,60,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,11:30-13:30,mfe_ge_mae,time_or_flatten,discovery,2
2026-01-26 11:15:00-05:00,2026-01-26 11:30:00-05:00,2026-01-26,long,25898.75,25704.25,next_bar_open,15,atr_percentile,long_only,25906.0,25905.75,25897.75,0.5,-16.0,2026-01-26 12:15:00-05:00,25912.25,time_stop,25704.25,26208.625,403.5,12.5,9.76,8.76,53.0,36.5,1.452055,0.030979,0,0,1,0,MNQ_vcb_tf15_atr_percentile_lb8_q02_long_only_target15R_mt2_gap60_first10_keep1000,MNQ,volatility_compression_breakout,8,0.2,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,60,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,11:30-13:30,mfe_ge_mae,time_or_flatten,discovery,2
2026-02-02 13:45:00-05:00,2026-02-02 14:00:00-05:00,2026-02-02,long,25941.25,25836.25,next_bar_open,15,atr_percentile,long_only,25941.75,25941.75,25931.0,0.0,-21.5,2026-02-02 14:45:00-05:00,25847.25,time_stop,25836.25,26100.0,211.0,-189.0,-191.74,-192.74,7.5,201.0,0.037313,-0.895735,0,0,1,0,MNQ_vcb_tf15_atr_percentile_lb8_q02_long_only_target15R_mt2_gap60_first10_keep1000,MNQ,volatility_compression_breakout,8,0.2,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,60,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,13:30-15:45,mae_dominates,time_or_flatten,discovery,2
2026-02-06 11:15:00-05:00,2026-02-06 11:30:00-05:00,2026-02-06,long,25004.75,24700.5,next_bar_open,15,atr_percentile,long_only,25006.75,25006.25,25024.75,1.0,37.0,2026-02-06 12:15:00-05:00,25070.0,time_stop,24700.5,25466.125,612.5,126.5,123.76,122.76,136.5,56.0,2.4375,0.206531,0,0,1,0,MNQ_vcb_tf15_atr_percentile_lb8_q02_long_only_target15R_mt2_gap60_first10_keep1000,MNQ,volatility_compression_breakout,8,0.2,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,60,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,11:30-13:30,mfe_ge_mae,time_or_flatten,discovery,2
2026-02-06 12:15:00-05:00,2026-02-06 12:30:00-05:00,2026-02-06,long,25056.75,24742.0,next_bar_open,15,atr_percentile,long_only,25070.0,25070.0,25071.25,0.0,2.5,2026-02-06 13:15:00-05:00,25089.5,time_stop,24742.0,25562.0,656.0,39.0,36.26,35.26,107.5,67.0,1.604478,0.059451,0,0,1,0,MNQ_vcb_tf15_atr_percentile_lb8_q02_long_only_target15R_mt2_gap60_first10_keep1000,MNQ,volatility_compression_breakout,8,0.2,opposite_box_edge,r_multiple_or_time_stop,1.5,45,2,60,10,False,Phase 9A research-only deterministic MNQ volatility compression breakout spec; no paper/live promotion.,11:30-13:30,mfe_ge_mae,time_or_flatten,discovery,2
