phase9c_rank,candidate_id,timeframe,compression_method,compression_lookback,compression_threshold,time_window,entry_start,entry_end,is_primary_eligible,entry_model,exit_model,direction_mode,target_r,atr_cap_multiple,buffer_ticks,max_trades_per_day,min_minutes_between_entries,time_stop_minutes,instrument,family,trades,active_days,trades_per_active_day,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,quick_or_adverse_stop_count,quick_or_adverse_stop_rate,quick_or_adverse_stop_net,quick_or_adverse_stop_avg_mfe,quick_or_adverse_stop_avg_mae,time_stop_pnl,target_pnl,stop_pnl,invalidation_exit_pnl,session_flatten_pnl,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,phase9c_label,phase9c_score,reject_reasons
21,MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,5,atr_percentile,8,0.2,core_midday,10:30,13:30,True,next_bar_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,244,172,1.418605,-1090.27,-1334.27,-1237.71,-663.18,-2624.99,1.0,1.0,77,0.315574,-6072.54,33.69,108.29,1799.26,6738.55,-6238.76,-3389.32,0.0,-2107.19,-2247.19,0.166667,-1041.38,phase9c_rejected_negative_stress,-10456.45,negative stress; negative validation; negative holdout; fold instability; concentration; quick/adverse stops not reduced
22,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,5,range_percentile,8,0.2,core_midday,10:30,13:30,True,next_bar_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,137,116,1.181034,-2348.34,-2485.34,-664.6,-459.36,-2419.36,1.0,1.0,33,0.240876,-2903.74,51.24,118.03,1145.16,2968.32,-3115.22,-3346.6,0.0,-1922.57,-2004.57,0.166667,-1052.21,phase9c_rejected_negative_stress,-11159.27,negative stress; negative validation; negative holdout; fold instability; concentration; quick/adverse stops not reduced
23,MNQ_9c_vcb_tf5_atr_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,5,atr_percentile,8,0.2,core_midday,10:30,13:30,True,next_bar_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,244,172,1.418605,-1474.77,-1718.77,-1186.14,-1374.17,-2768.08,1.0,1.0,140,0.57377,-10516.41,34.44,102.31,2068.2,7522.11,-11065.08,0.0,0.0,-2328.12,-2468.12,0.166667,-944.17,phase9c_rejected_negative_stress,-11204.97,negative stress; negative validation; negative holdout; fold instability; concentration; quick/adverse stops not reduced
24,MNQ_9c_vcb_tf5_range_percentile_lb8_q02_short_core_midday_next_bar_open_capped_opposite_box_stop_time_exit,5,range_percentile,8,0.2,core_midday,10:30,13:30,True,next_bar_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,30,30,MNQ,volatility_compression_breakout,137,116,1.181034,-2671.74,-2808.74,-524.29,-1073.18,-2840.78,1.0,1.0,75,0.547445,-7099.9,43.87,123.05,912.56,3856.25,-7440.55,0.0,0.0,-2203.33,-2285.33,0.166667,-798.96,phase9c_rejected_negative_stress,-12184.85,negative stress; negative validation; negative holdout; fold instability; concentration; quick/adverse stops not reduced
25,MNQ_9c_vcb_tf15_range_percentile_lb12_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,15,range_percentile,12,0.2,extended_midday,10:00,13:30,False,close_confirm_fill_next_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,23,20,1.15,1878.46,1855.46,147.2,1556.59,-522.94,0.458626,0.458626,4,0.173913,-481.23,41.38,183.75,2082.38,861.51,-481.23,-584.2,0.0,1823.05,1810.05,0.5,-285.72,phase9c_rejected_low_activity,1599.44,low activity; fold instability; concentration; quick/adverse stops not reduced
26,MNQ_9c_vcb_tf15_range_percentile_lb12_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,15,range_percentile,12,0.2,extended_midday,10:00,13:30,False,close_confirm_fill_next_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,23,20,1.15,1830.92,1807.92,147.2,1513.09,-526.98,0.470534,0.470534,6,0.26087,-796.75,28.0,202.92,1766.16,861.51,-796.75,0.0,0.0,1779.55,1766.55,0.5,-329.22,phase9c_rejected_low_activity,1444.82,low activity; fold instability; concentration; quick/adverse stops not reduced
27,MNQ_9c_vcb_tf15_range_percentile_lb12_q02_short_extended_midday_next_bar_open_capped_opposite_box_stop_time_exit,15,range_percentile,12,0.2,extended_midday,10:00,13:30,False,next_bar_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,34,28,1.214286,1620.83,1586.83,-141.93,1614.39,-549.09,0.531524,0.531524,10,0.294118,-1405.16,43.05,175.65,2221.46,980.44,-1581.07,0.0,0.0,1728.98,1710.98,0.333333,-237.42,phase9c_rejected_low_activity,841.1,low activity; negative validation; fold instability; concentration; quick/adverse stops not reduced
28,MNQ_9c_vcb_tf15_realized_vol_percentile_lb12_q02_short_extended_midday_close_confirm_fill_next_open_capped_opposite_box_stop_time_exit,15,realized_vol_percentile,12,0.2,extended_midday,10:00,13:30,False,close_confirm_fill_next_open,capped_opposite_box_stop_time_exit,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,18,18,1.0,697.44,679.44,27.6,278.52,-272.81,0.39969,0.39969,2,0.111111,-285.89,11.0,224.75,982.62,319.19,-483.51,0.0,0.0,289.52,279.52,0.5,-121.86,phase9c_rejected_low_activity,-562.3,low activity; fold instability; concentration
29,MNQ_9c_vcb_tf15_range_percentile_lb12_q02_short_extended_midday_next_bar_open_close_back_inside_box_invalidation_with_hard_cap,15,range_percentile,12,0.2,extended_midday,10:00,13:30,False,next_bar_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,34,28,1.214286,1254.37,1220.37,-107.89,1487.39,-699.59,0.686807,0.686807,7,0.205882,-999.4,43.5,181.36,2020.14,980.44,-1175.31,-570.9,0.0,1544.02,1526.02,0.333333,-364.42,phase9c_rejected_low_activity,-637.235,low activity; negative validation; fold instability; concentration; quick/adverse stops not reduced
30,MNQ_9c_vcb_tf15_realized_vol_percentile_lb12_q02_short_extended_midday_close_confirm_fill_next_open_close_back_inside_box_invalidation_with_hard_cap,15,realized_vol_percentile,12,0.2,extended_midday,10:00,13:30,False,close_confirm_fill_next_open,close_back_inside_box_invalidation_with_hard_cap,short_only,2.0,1.0,2,2,60,45,MNQ,volatility_compression_breakout,18,18,1.0,527.94,509.94,27.6,278.52,-322.31,0.528015,0.528015,2,0.111111,-285.89,11.0,224.75,1149.34,319.19,-483.51,-336.22,0.0,228.52,218.52,0.5,-121.86,phase9c_rejected_low_activity,-1483.925,low activity; fold instability; concentration
