hypothesis_id,instrument,family,side_filter,timeframe,entry_delay,exit_shape,event_time,entry_time,exit_time,trading_session,side,entry_price,exit_price,exit_reason,gross_pnl,net_pnl,stress_net_pnl,same_bar_ambiguity,minute_of_day,rth_bucket,weekday,phase8i_source_note
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-11 10:41:00-04:00,2026-05-11 10:46:00-04:00,2026-05-11 11:01:00-04:00,2026-05-11,long,29370.5,29381.25,time_stop,21.5,18.76,17.759999999999998,0,646,10:00-11:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-11 10:42:00-04:00,2026-05-11 10:47:00-04:00,2026-05-11 11:02:00-04:00,2026-05-11,long,29375.75,29388.25,time_stop,25.0,22.26,21.26,0,647,10:00-11:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-11 10:43:00-04:00,2026-05-11 10:48:00-04:00,2026-05-11 11:03:00-04:00,2026-05-11,long,29374.75,29391.75,time_stop,34.0,31.26,30.26,0,648,10:00-11:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-11 13:16:00-04:00,2026-05-11 13:21:00-04:00,2026-05-11 13:36:00-04:00,2026-05-11,long,29404.5,29464.5,time_stop,120.0,117.26,116.26,0,801,12:00-14:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-11 13:18:00-04:00,2026-05-11 13:23:00-04:00,2026-05-11 13:38:00-04:00,2026-05-11,long,29414.0,29466.75,time_stop,105.5,102.76,101.76,0,803,12:00-14:00,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-11 14:59:00-04:00,2026-05-11 15:04:00-04:00,2026-05-11 15:19:00-04:00,2026-05-11,long,29379.5,29408.5,time_stop,58.0,55.26,54.26,0,904,14:00-15:30,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-11 15:01:00-04:00,2026-05-11 15:06:00-04:00,2026-05-11 15:21:00-04:00,2026-05-11,long,29421.0,29396.5,time_stop,-49.0,-51.74,-52.74,0,906,14:00-15:30,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-11 15:03:00-04:00,2026-05-11 15:08:00-04:00,2026-05-11 15:23:00-04:00,2026-05-11,long,29414.25,29398.0,time_stop,-32.5,-35.24,-36.24,0,908,14:00-15:30,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-11 15:05:00-04:00,2026-05-11 15:10:00-04:00,2026-05-11 15:25:00-04:00,2026-05-11,long,29429.25,29384.0,time_stop,-90.5,-93.24,-94.24,0,910,14:00-15:30,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
MNQ_vwap_pullback_continuation_tf5_long_only_a25f2113,MNQ,vwap_pullback_continuation,long_only,5,next_5m_close,horizon_close_15m,2026-05-11 15:22:00-04:00,2026-05-11 15:27:00-04:00,2026-05-11 15:42:00-04:00,2026-05-11,long,29386.75,29393.5,time_stop,13.5,10.76,9.76,0,927,14:00-15:30,Monday,de-duplicated Phase 8H duplicate signal to one canonical hypothesis
