candidate_id,signal_time,confirmation_time,entry_time,trading_session,level_type,interaction_family,side,confirmation_model,exit_variant,selected_prior_level,prior_rth_close,prior_rth_midpoint,prior_rth_session,signal_open,signal_close,signal_high,signal_low,atr,skipped_extra_signals_same_day,entry_price,exit_time,exit_price,exit_reason,structural_stop,atr_cap_stop,actual_stop,target_price,gross_pnl,net_pnl,stress_pnl,mfe,mae,same_bar_ambiguity,stop_hit,target_hit,time_stop,instrument,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,trade_start,trade_end,flatten_time,traded_level_source,level_source,split
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2025-12-08 10:20:00-05:00,2025-12-08 10:25:00-05:00,2025-12-08 10:30:00-05:00,2025-12-08,prior_rth_close,breakout_hold,short,two_bar_confirm_fill_next_open,structure_target_time_exit,25726.0,25726.0,25759.375,2025-12-05,25732.5,25703.75,25736.25,25698.0,45.5,0,25700.25,2025-12-08 11:00:00-05:00,25645.875,target,25736.5,25757.125,25736.5,25645.875,108.75,106.01,105.01,143.5,48.0,0,0,1,0,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2025-12-10 14:20:00-05:00,2025-12-10 14:25:00-05:00,2025-12-10 14:30:00-05:00,2025-12-10,prior_rth_close,breakout_hold,short,two_bar_confirm_fill_next_open,structure_target_time_exit,25703.0,25703.0,25649.25,2025-12-09,25710.25,25659.5,25712.25,25655.5,42.57142857142857,0,25668.0,2025-12-10 14:30:00-05:00,25712.5,stop,25712.5,25721.2143,25712.5,25579.0,-89.0,-91.74,-92.74,27.0,178.0,0,1,0,0,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2025-12-15 10:00:00-05:00,2025-12-15 10:05:00-05:00,2025-12-15 10:10:00-05:00,2025-12-15,prior_rth_close,breakout_hold,short,two_bar_confirm_fill_next_open,structure_target_time_exit,25210.25,25210.25,25369.125,2025-12-12,25225.75,25176.75,25229.25,25166.0,65.46428571428571,1,25191.75,2025-12-15 10:15:00-05:00,25135.125,target,25229.5,25273.5804,25229.5,25135.125,113.25,110.51,109.51,131.5,15.0,0,0,1,0,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2025-12-16 10:10:00-05:00,2025-12-16 10:15:00-05:00,2025-12-16 10:20:00-05:00,2025-12-16,prior_rth_close,breakout_hold,short,two_bar_confirm_fill_next_open,structure_target_time_exit,25084.75,25084.75,25222.25,2025-12-15,25086.25,25081.0,25101.25,25061.75,86.22222222222223,2,25034.0,2025-12-16 10:50:00-05:00,25067.0,time_stop,25101.5,25141.7778,25101.5,24932.75,-66.0,-68.74,-69.74,195.0,90.0,0,0,0,1,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2025-12-23 10:00:00-05:00,2025-12-23 10:05:00-05:00,2025-12-23 10:10:00-05:00,2025-12-23,prior_rth_close,breakout_hold,short,two_bar_confirm_fill_next_open,structure_target_time_exit,25688.25,25688.25,25712.25,2025-12-22,25691.0,25637.75,25696.0,25627.25,50.035714285714285,0,25657.75,2025-12-23 10:35:00-05:00,25696.25,stop,25696.25,25720.2946,25696.25,25600.0,-77.0,-79.74,-80.74,55.5,99.5,0,1,0,0,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2025-12-26 12:10:00-05:00,2025-12-26 12:15:00-05:00,2025-12-26 12:20:00-05:00,2025-12-26,prior_rth_close,breakout_hold,short,two_bar_confirm_fill_next_open,structure_target_time_exit,25861.75,25861.75,25837.0,2025-12-24,25862.5,25855.75,25867.0,25855.0,15.303571428571429,0,25856.0,2025-12-26 12:25:00-05:00,25867.25,stop,25867.25,25875.1295,25867.25,25839.125,-22.5,-25.24,-26.24,14.5,49.5,0,1,0,0,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2025-12-30 10:00:00-05:00,2025-12-30 10:05:00-05:00,2025-12-30 10:10:00-05:00,2025-12-30,prior_rth_close,breakout_hold,short,two_bar_confirm_fill_next_open,structure_target_time_exit,25741.25,25741.25,25733.25,2025-12-29,25756.0,25735.75,25761.5,25734.75,37.392857142857146,2,25720.75,2025-12-30 10:40:00-05:00,25692.5,time_stop,25761.75,25767.4911,25761.75,25659.25,56.5,53.76,52.76,85.0,3.0,0,0,0,1,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-01-02 10:55:00-05:00,2026-01-02 11:00:00-05:00,2026-01-02 11:05:00-05:00,2026-01-02,prior_rth_close,breakout_hold,short,two_bar_confirm_fill_next_open,structure_target_time_exit,25455.0,25455.0,25568.375,2025-12-31,25479.0,25375.0,25493.75,25360.5,70.46428571428571,0,25351.25,2026-01-02 11:35:00-05:00,25385.25,time_stop,25494.0,25439.3304,25439.3304,25219.1295,-68.0,-70.74,-71.74,114.5,152.0,0,0,0,1,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-01-13 12:35:00-05:00,2026-01-13 12:40:00-05:00,2026-01-13 12:45:00-05:00,2026-01-13,prior_rth_close,breakout_hold,short,two_bar_confirm_fill_next_open,structure_target_time_exit,25952.0,25952.0,25882.125,2026-01-12,25969.25,25950.5,25975.0,25948.75,29.910714285714285,0,25927.25,2026-01-13 12:55:00-05:00,25871.1674,target,25975.25,25964.6384,25964.6384,25871.1674,112.17,109.43,108.43,140.0,41.0,0,0,1,0,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-01-16 10:25:00-05:00,2026-01-16 10:30:00-05:00,2026-01-16 10:35:00-05:00,2026-01-16,prior_rth_close,breakout_hold,short,two_bar_confirm_fill_next_open,structure_target_time_exit,25719.0,25719.0,25817.5,2026-01-15,25726.75,25669.0,25727.25,25662.75,50.9375,3,25657.5,2026-01-16 11:05:00-05:00,25693.5,time_stop,25727.5,25721.1719,25721.1719,25561.9922,-72.0,-74.74,-75.74,134.5,75.5,0,0,0,1,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-01-20 11:15:00-05:00,2026-01-20 11:20:00-05:00,2026-01-20 11:25:00-05:00,2026-01-20,prior_rth_close,breakout_hold,short,two_bar_confirm_fill_next_open,structure_target_time_exit,25397.75,25397.75,25327.125,2026-01-19,25399.25,25391.5,25401.25,25376.75,44.82142857142857,2,25354.5,2026-01-20 11:25:00-05:00,25401.5,stop,25401.5,25410.5268,25401.5,25284.0,-94.0,-96.74,-97.74,42.0,105.5,0,1,0,0,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-02-10 11:35:00-05:00,2026-02-10 11:40:00-05:00,2026-02-10 11:45:00-05:00,2026-02-10,prior_rth_close,breakout_hold,short,two_bar_confirm_fill_next_open,structure_target_time_exit,25338.25,25338.25,25192.25,2026-02-09,25339.75,25337.75,25362.0,25327.75,38.517857142857146,2,25329.75,2026-02-10 11:45:00-05:00,25362.25,stop,25362.25,25377.8973,25362.25,25281.0,-65.0,-67.74,-68.74,2.0,74.5,0,1,0,0,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-02-11 10:10:00-05:00,2026-02-11 10:15:00-05:00,2026-02-11 10:20:00-05:00,2026-02-11,prior_rth_close,breakout_hold,short,two_bar_confirm_fill_next_open,structure_target_time_exit,25219.0,25219.0,25322.25,2026-02-10,25236.0,25188.0,25248.0,25142.0,79.16666666666667,3,25134.25,2026-02-11 10:50:00-05:00,25233.2083,stop,25248.25,25233.2083,25233.2083,24985.8125,-197.92,-200.66,-201.66,152.5,256.0,0,1,0,0,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,discovery
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-02-13 10:10:00-05:00,2026-02-13 10:15:00-05:00,2026-02-13 10:20:00-05:00,2026-02-13,prior_rth_close,breakout_hold,short,two_bar_confirm_fill_next_open,structure_target_time_exit,24764.0,24764.0,25057.625,2026-02-12,24803.75,24759.75,24833.25,24752.5,106.25,0,24753.25,2026-02-13 10:25:00-05:00,24833.5,stop,24833.5,24886.0625,24833.5,24632.875,-160.5,-163.24,-164.24,59.0,235.0,0,1,0,0,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,validation
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-02-17 11:25:00-05:00,2026-02-17 11:30:00-05:00,2026-02-17 11:35:00-05:00,2026-02-17,prior_rth_close,breakout_hold,short,two_bar_confirm_fill_next_open,structure_target_time_exit,24746.0,24746.0,24734.0,2026-02-16,24785.75,24727.5,24790.25,24722.25,67.01785714285714,3,24726.25,2026-02-17 12:05:00-05:00,24728.75,time_stop,24790.5,24810.0223,24790.5,24629.875,-5.0,-7.74,-8.74,25.0,123.0,0,0,0,1,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,validation
MNQ_14a_prior_rth_close_breakout_hold_short_two_bar_confirm_fill_next_open_structure_target_time_exit,2026-03-02 13:50:00-05:00,2026-03-02 13:55:00-05:00,2026-03-02 14:00:00-05:00,2026-03-02,prior_rth_close,breakout_hold,short,two_bar_confirm_fill_next_open,structure_target_time_exit,24998.25,24998.25,24908.375,2026-02-27,24999.75,24993.0,25007.5,24982.75,25.803571428571427,0,24972.0,2026-03-02 14:05:00-05:00,25004.2545,stop,25007.75,25004.2545,25004.2545,24923.6183,-64.51,-67.25,-68.25,10.0,119.0,0,1,0,0,MNQ,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,validation
