phase14a_rank,candidate_id,instrument,level_type,interaction_family,side,confirmation_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,trade_start,trade_end,flatten_time,traded_level_source,level_source,trades,active_days,trades_per_active_day,gross_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,average_correlation_to_registry,max_correlation_to_registry,average_correlation_to_playbook,max_correlation_to_playbook,gap_days_covered,incremental_gap_days_covered,invalid_risk_skipped_count,signals_found,paper_trading_approved,official_gates_passed,phase14a_label,signal_evidence_status,tradability_status,research_track,portfolio_role,reject_reasons,phase14a_score
21,MNQ_14a_prior_rth_close_rejection_from_level_long_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_close,rejection_from_level,long,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,86,86,1.0,-16.0,-251.64,-337.64,-23.08,378.18,-1438.4,1.0,1.0,81.83,73.72,-105.22,-158.22,0.5,-231.9,0.090865,0.241301,0.148698,0.290797,77,1,0,86,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; fold instability; concentration,-1909.26
22,MNQ_14a_prior_rth_close_rejection_from_level_short_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_close,rejection_from_level,short,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,78,78,1.0,-138.9,-352.62,-430.62,-357.21,49.66,-1204.61,1.0,1.0,88.99,63.6,-958.44,-1004.44,0.333333,-527.16,0.052717,0.318076,0.046172,0.171883,68,1,0,78,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; fold instability; concentration,-2614.67
23,MNQ_14a_prior_rth_close_reclaim_after_breach_long_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_close,reclaim_after_breach,long,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,108,108,1.0,-432.49,-728.41,-836.41,314.66,-82.05,-1633.4,1.0,1.0,90.36,87.85,-340.26,-404.26,0.5,-520.71,0.102771,0.306134,0.188731,0.332238,97,1,0,108,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative holdout; fold instability; concentration,-2849.07
24,MNQ_14a_prior_rth_close_reclaim_after_breach_long_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_close,reclaim_after_breach,long,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,108,108,1.0,-401.04,-696.96,-804.96,54.66,-159.85,-1869.23,1.0,1.0,80.65,87.19,-552.06,-616.06,0.5,-536.96,0.103331,0.31869,0.205842,0.323687,97,1,0,108,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative holdout; fold instability; concentration,-3265.25
25,MNQ_14a_prior_rth_close_breakout_hold_long_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_close,breakout_hold,long,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,94,94,1.0,-995.99,-1253.55,-1347.55,67.14,-78.57,-1458.57,1.0,1.0,86.64,89.14,-503.08,-560.08,0.5,-432.73,0.054255,0.108878,0.084967,0.131509,83,1,0,94,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative holdout; fold instability; concentration,-3341.2
26,MNQ_14a_prior_rth_close_reclaim_after_breach_long_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_close,reclaim_after_breach,long,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,92,92,1.0,-666.85,-918.93,-1010.93,-70.22,2.98,-1762.96,1.0,1.0,83.93,87.36,-640.29,-696.29,0.333333,-333.84,0.097003,0.2591,0.191592,0.355107,83,1,0,92,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; fold instability; concentration,-3445.18
27,MNQ_14a_prior_rth_close_breakout_hold_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_close,breakout_hold,long,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,81,81,1.0,-893.59,-1115.53,-1196.53,-411.28,-153.75,-1340.6,1.0,1.0,86.94,87.32,-1142.34,-1192.34,0.0,-417.84,0.067732,0.165,0.081662,0.175151,72,1,0,81,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; negative holdout; fold instability; concentration,-3704.47
28,MNQ_14a_prior_rth_close_reclaim_after_breach_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_close,reclaim_after_breach,long,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,92,92,1.0,-717.05,-969.13,-1061.13,-23.72,-83.47,-1854.66,1.0,1.0,88.3,87.93,-804.24,-860.24,0.0,-333.84,0.097562,0.265116,0.195017,0.357718,83,1,0,92,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; negative holdout; fold instability; concentration,-3751.03
29,MNQ_14a_prior_rth_close_breakout_hold_long_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_close,breakout_hold,long,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,81,81,1.0,-1067.14,-1289.08,-1370.08,-471.78,-67.3,-1466.03,1.0,1.0,79.44,86.67,-992.39,-1042.39,0.166667,-417.84,0.070938,0.167293,0.072975,0.167104,72,1,0,81,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; negative holdout; fold instability; concentration,-3853.5
30,MNQ_14a_prior_rth_midpoint_reclaim_after_breach_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,reclaim_after_breach,long,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,85,85,1.0,-1215.36,-1448.26,-1533.26,-329.49,-586.96,-1517.84,1.0,1.0,88.41,94.61,-895.53,-944.53,0.333333,-558.78,0.070855,0.149139,0.079712,0.151121,72,1,0,85,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; negative holdout; fold instability; concentration,-3970.63
31,MNQ_14a_prior_rth_midpoint_breakout_hold_long_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,breakout_hold,long,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,83,83,1.0,-1269.49,-1496.91,-1579.91,-482.11,-251.56,-1692.19,1.0,1.0,92.17,90.87,-746.01,-795.01,0.5,-547.19,0.056878,0.168746,0.079681,0.168399,71,1,0,83,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; negative holdout; fold instability; concentration,-4042.11
32,MNQ_14a_prior_rth_close_breakout_hold_long_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_close,breakout_hold,long,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,94,94,1.0,-1069.29,-1326.85,-1420.85,-192.86,-157.87,-1759.85,1.0,1.0,76.63,88.66,-867.63,-924.63,0.333333,-448.98,0.056973,0.114612,0.102604,0.164682,83,1,0,94,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; negative holdout; fold instability; concentration,-4080.33
33,MNQ_14a_prior_rth_midpoint_reclaim_after_breach_long_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,reclaim_after_breach,long,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,85,85,1.0,-1275.23,-1508.13,-1593.13,-511.01,-572.21,-1577.71,1.0,1.0,80.9,93.81,-1125.9,-1174.9,0.333333,-544.03,0.079707,0.158523,0.09252,0.173157,72,1,0,85,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; negative holdout; fold instability; concentration,-4320.74
34,MNQ_14a_prior_rth_midpoint_breakout_hold_long_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,breakout_hold,long,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,83,83,1.0,-1361.49,-1588.91,-1671.91,-699.11,-249.81,-1785.94,1.0,1.0,82.12,89.57,-854.76,-903.76,0.333333,-547.19,0.062678,0.168592,0.065605,0.15093,71,1,0,83,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; negative holdout; fold instability; concentration,-4336.61
35,MNQ_14a_prior_rth_close_breakout_hold_short_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_close,breakout_hold,short,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_close,prior_complete_rth_session,97,97,1.0,-693.28,-959.07,-1056.07,-210.32,-1165.55,-1917.43,1.0,1.0,90.08,84.35,-1520.75,-1573.75,0.166667,-977.3,0.101639,0.261956,0.079141,0.157257,86,1,0,97,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; negative holdout; fold instability; concentration,-4522.25
36,MNQ_14a_prior_rth_midpoint_reclaim_after_breach_long_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,reclaim_after_breach,long,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,91,91,1.0,-1600.99,-1850.33,-1941.33,-503.11,-295.8,-1968.47,1.0,1.0,87.42,92.16,-955.73,-1007.73,0.333333,-547.19,0.062459,0.169327,0.106459,0.1922,78,1,0,91,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; negative holdout; fold instability; concentration,-4892.53
37,MNQ_14a_prior_rth_midpoint_breakout_hold_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,prior_rth_midpoint,breakout_hold,long,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,76,76,1.0,-1819.48,-2027.72,-2103.72,-329.49,-492.22,-2089.4,1.0,1.0,84.05,97.3,-974.81,-1020.81,0.333333,-463.04,0.073465,0.191408,0.078218,0.153662,64,1,0,76,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; negative holdout; fold instability; concentration,-5188.93
38,MNQ_14a_prior_rth_midpoint_reclaim_after_breach_long_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_midpoint,reclaim_after_breach,long,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,10:00,15:30,15:45,prior_rth_midpoint,prior_complete_rth_session,91,91,1.0,-1698.49,-1947.83,-2038.83,-720.11,-294.05,-2067.72,1.0,1.0,79.26,90.98,-1064.48,-1116.48,0.166667,-547.19,0.068352,0.205775,0.096961,0.189248,78,1,0,91,False,False,phase14a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,parked_module,negative stress; negative validation; negative holdout; fold instability; concentration,-5198.03
