entry_time,entry_price,exit_time,exit_price,exit_reason,stop_price,target_price,gross_pnl,holding_minutes,candidate_id,instrument,family,variant,params,signal_time,trading_session,side,reason,base_cost,stress_cost,net_pnl,stress_net_pnl,split,entry_hour
2026-05-12 09:48:00-04:00,29212.25,2026-05-12 09:48:00-04:00,29227.75,stop,29227.75,29190.25,-31.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-12 09:47:00-04:00,2026-05-12,short,vwap_failure_short,2.74,3.74,-33.74,-34.74,discovery,09:48
2026-05-12 09:50:00-04:00,29219.5,2026-05-12 09:50:00-04:00,29205.0,stop,29205.0,29242.5,-29.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-12 09:49:00-04:00,2026-05-12,long,vwap_reclaim_long,2.74,3.74,-31.740000000000002,-32.74,discovery,09:50
2026-05-12 09:51:00-04:00,29201.75,2026-05-12 09:51:00-04:00,29216.75,stop,29216.75,29179.25,-30.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-12 09:50:00-04:00,2026-05-12,short,vwap_failure_short,2.74,3.74,-32.74,-33.74,discovery,09:51
2026-05-13 09:54:00-04:00,29193.25,2026-05-13 09:54:00-04:00,29215.5,target,29178.0,29215.5,44.5,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-13 09:53:00-04:00,2026-05-13,long,vwap_reclaim_long,2.74,3.74,41.76,40.76,discovery,09:54
2026-05-13 09:57:00-04:00,29161.25,2026-05-13 09:57:00-04:00,29176.5,stop,29176.5,29139.0,-30.5,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-13 09:56:00-04:00,2026-05-13,short,vwap_failure_short,2.74,3.74,-33.24,-34.24,discovery,09:57
2026-05-13 10:21:00-04:00,29183.75,2026-05-13 10:21:00-04:00,29206.25,target,29168.75,29206.25,45.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-13 10:20:00-04:00,2026-05-13,long,vwap_reclaim_long,2.74,3.74,42.26,41.26,discovery,10:21
2026-05-14 09:59:00-04:00,29584.5,2026-05-14 09:59:00-04:00,29562.0,target,29599.5,29562.0,45.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-14 09:58:00-04:00,2026-05-14,short,vwap_failure_short,2.74,3.74,42.26,41.26,discovery,09:59
2026-05-14 10:01:00-04:00,29592.75,2026-05-14 10:01:00-04:00,29615.0,target,29577.5,29615.0,44.5,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-14 10:00:00-04:00,2026-05-14,long,vwap_reclaim_long,2.74,3.74,41.76,40.76,discovery,10:01
2026-05-14 10:03:00-04:00,29589.75,2026-05-14 10:03:00-04:00,29566.5,target,29604.0,29566.5,46.5,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-14 10:02:00-04:00,2026-05-14,short,vwap_failure_short,2.74,3.74,43.76,42.76,discovery,10:03
2026-05-15 09:49:00-04:00,29199.0,2026-05-15 09:49:00-04:00,29221.0,target,29183.5,29221.0,44.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-15 09:48:00-04:00,2026-05-15,long,vwap_reclaim_long,2.74,3.74,41.26,40.26,discovery,09:49
2026-05-15 09:51:00-04:00,29197.0,2026-05-15 09:51:00-04:00,29173.5,target,29211.0,29173.5,47.0,0,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-15 09:50:00-04:00,2026-05-15,short,vwap_failure_short,2.74,3.74,44.26,43.26,discovery,09:51
2026-05-15 09:53:00-04:00,29210.5,2026-05-15 09:54:00-04:00,29233.5,target,29196.0,29233.5,46.0,1,MNQ_vwap_reclaim_rejection_both_60x90,MNQ,vwap_reclaim_rejection,both_60x90,max_trades=3;mode=both;stop_ticks=60;target_ticks=90;tick_size=0.25,2026-05-15 09:52:00-04:00,2026-05-15,long,vwap_reclaim_long,2.74,3.74,43.26,42.26,discovery,09:53
