phase,candidate_id,family,plain_english_rule,net_pnl,stress_pnl,validation_pnl,holdout_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,trades,active_days,best_day_concentration,best_trade_concentration,bootstrap_or_null_classification,signal_evidence_status,tradability_status,research_track,revisit_condition,source_report
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf15_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,996.36,947.36,534.01,749.88,1476.23,0.0,49,49,0.559296,0.559296,candidate_needs_more_history,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase10b_research_signal_packet.md
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt1,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,1643.5,1587.5,644.66,2011.98,1982.5,0.666667,56,56,0.353368,0.353368,weak_research_signal,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase10b_research_signal_packet.md
phase10b,MNQ_10b_secondary_long_opening_fade_overnight_range_fade_long_tf5_opening_response_exclude_narrowest_20_all_gaps_all_touches_mt2,overnight_range_targeted_retest,MNQ overnight-range targeted retest signal using unchanged Phase 10B rules.,1643.5,1587.5,644.66,2011.98,1982.5,0.666667,56,56,0.353368,0.353368,weak_research_signal,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase10b_research_signal_packet.md
phase11a,MNQ_11a_orfade_long_low_fade_OR5_midday_response_close_back_inside_fill_next_open_hard_stop_time_exit,opening_range_fade_confirmation,MNQ opening-range fade after stricter confirmation using unchanged Phase 11A rules.,1366.61,1215.61,82.84,303.5,576.23,0.5,151,98,0.263982,0.263982,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,Revisit only if additional data reduces top-day/trade concentration under official gates.,reports/phase11a_research_signal_packet.md
phase11a,MNQ_11a_orfade_long_low_fade_OR5_opening_response_close_back_inside_fill_next_open_hard_stop_time_exit,opening_range_fade_confirmation,MNQ opening-range fade after stricter confirmation using unchanged Phase 11A rules.,1042.64,859.64,720.79,1112.58,993.45,0.0,183,152,0.3954,0.3954,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,Revisit only if additional data reduces top-day/trade concentration under official gates.,reports/phase11a_research_signal_packet.md
phase11a,MNQ_11a_orfade_long_low_fade_OR5_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,opening_range_fade_confirmation,MNQ opening-range fade after stricter confirmation using unchanged Phase 11A rules.,455.59,328.59,92.1,337.14,263.26,0.0,127,114,0.9016,0.9016,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,Revisit only if additional data reduces top-day/trade concentration under official gates.,reports/phase11a_research_signal_packet.md
phase11a,MNQ_11a_orfade_short_high_fade_OR30_opening_response_two_bar_inside_fill_next_open_hard_stop_time_exit,opening_range_fade_confirmation,MNQ opening-range fade after stricter confirmation using unchanged Phase 11A rules.,256.18,195.18,51.38,1229.88,347.34,0.0,61,61,2.895464,2.895464,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_concentrated,parked_research_signal,Revisit only if additional data reduces top-day/trade concentration under official gates.,reports/phase11a_research_signal_packet.md
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,opening_drive_first_pullback,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.,1006.49,953.49,41.79,226.88,440.05,0.5,53,53,0.225298,0.225298,real_but_nontradable_signal,real_but_nontradable_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase12a_research_signal_packet.md
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_resume_close_fill_next_open_structure_target_time_exit,opening_drive_first_pullback,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.,67.49,14.49,58.79,173.88,7.05,0.0,53,53,2.315306,2.315306,candidate_needs_more_history,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase12a_research_signal_packet.md
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,opening_drive_first_pullback,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.,761.81,715.81,313.11,51.38,617.77,0.0,46,46,0.291096,0.291096,candidate_needs_more_history,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase12a_research_signal_packet.md
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_resume_close_fill_next_open_hard_stop_time_exit,opening_drive_first_pullback,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.,220.86,166.86,315.08,131.9,242.88,0.0,54,54,0.884089,0.884089,candidate_needs_more_history,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase12a_research_signal_packet.md
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,opening_drive_first_pullback,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.,682.13,637.13,381.0,495.83,482.23,0.0,45,45,0.325099,0.325099,candidate_needs_more_history,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase12a_research_signal_packet.md
phase12a,MNQ_12a_odpullback_long_first_pullback_OD15_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,opening_drive_first_pullback,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.,383.96,338.96,131.0,162.33,382.56,0.0,45,45,0.387436,0.387436,candidate_needs_more_history,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase12a_research_signal_packet.md
phase12a,MNQ_12a_odpullback_long_first_pullback_OD30_ema20_retest_two_bar_resume_fill_next_open_structure_target_time_exit,opening_drive_first_pullback,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.,267.42,212.42,139.04,123.22,302.62,0.0,55,55,0.782514,0.782514,candidate_needs_more_history,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase12a_research_signal_packet.md
phase12a,MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_resume_close_fill_next_open_hard_stop_time_exit,opening_drive_first_pullback,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.,470.97,429.97,92.84,200.26,497.22,0.0,41,41,0.819076,0.819076,candidate_needs_more_history,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase12a_research_signal_packet.md
phase12a,MNQ_12a_odpullback_short_first_pullback_OD30_drive_boundary_retest_two_bar_resume_fill_next_open_hard_stop_time_exit,opening_drive_first_pullback,MNQ opening-drive first-pullback continuation using unchanged Phase 12A rules.,66.32,33.32,360.32,45.76,36.01,0.0,33,33,5.31152,5.31152,candidate_needs_more_history,positive_research_signal,not_tradable_low_activity,rare_setup_research_signal,Revisit only after materially more sessions improve sample size without changing rules.,reports/phase12a_research_signal_packet.md
phase13a,MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_hard_stop_time_exit,prior_rth_high_low_breakout,"Long breakout above prior RTH high after close confirmation, filled at next bar open.",879.0,756.0,1407.83,100.29,705.58,0.5,123,123,0.343299,0.343299,phase13a_positive_uncorrelated_research_signal,positive_research_signal,not_tradable_concentrated,parked_research_signal,Revisit through Portfolio Audit B to test whether this uncorrelated prior-RTH breakout module improves combined playbook stability; no paper trading unless unchanged official gates pass.,reports/phase13a_uncorrelated_family_scout_report.md
phase13a,MNQ_13a_prior_rth_high_low_breakout_long_close_confirm_fill_next_open_structure_target_time_exit,prior_rth_high_low_breakout,"Long breakout above prior RTH high after close confirmation, filled at next bar open.",883.0,760.0,1407.83,69.79,675.08,0.5,123,123,0.341744,0.341744,phase13a_positive_uncorrelated_research_signal,positive_research_signal,not_tradable_concentrated,parked_research_signal,Revisit through Portfolio Audit B to test whether this uncorrelated prior-RTH breakout module improves combined playbook stability; no paper trading unless unchanged official gates pass.,reports/phase13a_uncorrelated_family_scout_report.md
