phase13a_rank,candidate_id,instrument,family,branch,side,entry_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,level_source,build_start,build_end,trade_start,trade_end,behavior,trades,active_days,trades_per_active_day,gross_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,stop_hit_rate,target_hit_rate,time_stop_rate,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,average_correlation_to_registry,max_correlation_to_registry,average_correlation_to_portfolio_audit,max_correlation_to_portfolio_audit,invalid_risk_skipped_count,signals_found,skipped_extra_signals_same_day,phase13a_label,signal_evidence_status,tradability_status,research_track,reject_reasons,paper_trading_approved,phase13a_score
21,MNQ_13a_power_hour_range_breakout_short_close_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_range_breakout,power_hour_range_breakout_short,short,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,intraday_range,13:30,14:30,14:30,15:45,breakout,92,92,1.0,-256.69,-508.79,-600.79,395.53,-632.03,-664.94,1.0,1.0,80.02,69.68,0.48913,0.108696,0.402174,-338.29,-398.29,0.333333,-490.47,0.13251,0.250957,0.129316,0.268887,0,92,465,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative holdout; fold instability; concentration,False,-1664.02
22,MNQ_13a_power_hour_range_breakout_short_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_range_breakout,power_hour_range_breakout_short,short,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,intraday_range,13:30,14:30,14:30,15:45,breakout,92,92,1.0,-191.69,-443.79,-535.79,265.03,-632.03,-768.27,1.0,1.0,84.34,69.75,0.48913,0.0,0.51087,-518.79,-578.79,0.333333,-490.47,0.128292,0.241704,0.117007,0.259748,0,92,465,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative holdout; fold instability; concentration,False,-1882.85
23,MNQ_13a_power_hour_range_fade_long_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_range_fade,power_hour_range_fade_long,long,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,intraday_range,13:30,14:30,14:30,15:45,fade,94,94,1.0,-114.85,-372.41,-466.41,-85.3,-660.93,-813.03,1.0,1.0,51.56,43.19,0.648936,0.0,0.351064,-590.64,-651.64,0.333333,-565.55,0.026937,0.050398,0.019707,0.049198,0,94,557,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; negative holdout; fold instability; concentration,False,-1931.08
24,MNQ_13a_lunch_range_breakout_long_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,lunch_range_breakout,lunch_range_breakout_long,long,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,intraday_range,11:30,13:00,13:00,15:30,breakout,109,109,1.0,-404.32,-702.98,-811.98,-63.5,299.07,-1151.61,1.0,1.0,53.48,51.44,0.357798,0.009174,0.633028,-327.0,-392.0,0.166667,-359.64,0.047924,0.17261,0.040824,0.127165,0,109,1208,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; fold instability; concentration,False,-2355.59
25,MNQ_13a_power_hour_range_fade_long_close_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_range_fade,power_hour_range_fade_long,long,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,intraday_range,13:30,14:30,14:30,15:45,fade,94,94,1.0,-343.94,-601.5,-695.5,-271.55,-594.52,-935.69,1.0,1.0,42.38,40.01,0.617021,0.297872,0.085106,-853.23,-914.23,0.166667,-484.89,0.047239,0.080556,0.048189,0.103001,0,94,557,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; negative holdout; fold instability; concentration,False,-2545.42
26,MNQ_13a_prior_rth_high_low_breakout_short_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_high_low_breakout,prior_rth_high_low_breakout_short,short,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,prior_rth,,,10:00,13:30,breakout,78,78,1.0,-129.67,-343.42,-421.42,-165.03,798.0,-1632.4,1.0,1.0,134.4,127.08,0.358974,0.038462,0.602564,-466.31,-516.31,0.5,-590.71,0.110553,0.166063,0.064024,0.140652,0,78,1921,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; fold instability; concentration,False,-2570.13
27,MNQ_13a_lunch_range_breakout_short_close_confirm_fill_next_open_structure_target_time_exit,MNQ,lunch_range_breakout,lunch_range_breakout_short,short,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,intraday_range,11:30,13:00,13:00,15:30,breakout,94,94,1.0,-436.45,-694.01,-788.01,-126.73,377.44,-1672.54,1.0,1.0,89.06,86.4,0.5,0.074468,0.425532,-76.63,-134.63,0.5,-406.78,0.070898,0.1264,0.081245,0.145028,0,94,1026,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; fold instability; concentration,False,-2595.18
28,MNQ_13a_prior_rth_high_low_breakout_short_close_confirm_fill_next_open_structure_target_time_exit,MNQ,prior_rth_high_low_breakout,prior_rth_high_low_breakout_short,short,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,prior_rth,,,10:00,13:30,breakout,79,79,1.0,-310.59,-527.07,-606.07,1012.18,443.77,-2117.14,1.0,1.0,139.16,131.13,0.43038,0.037975,0.531646,177.34,126.34,0.5,-481.89,0.060773,0.134741,0.054933,0.165175,0,79,2073,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; fold instability; concentration,False,-2596.87
29,MNQ_13a_lunch_range_breakout_long_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,lunch_range_breakout,lunch_range_breakout_long,long,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,intraday_range,11:30,13:00,13:00,15:30,breakout,109,109,1.0,-544.87,-843.53,-952.53,-63.5,299.07,-1292.16,1.0,1.0,53.48,53.27,0.366972,0.0,0.633028,-327.0,-392.0,0.166667,-359.64,0.047884,0.174982,0.041581,0.129028,0,109,1208,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; fold instability; concentration,False,-2636.69
30,MNQ_13a_power_hour_range_fade_short_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_range_fade,power_hour_range_fade_short,short,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,intraday_range,13:30,14:30,14:30,15:45,fade,108,108,1.0,-277.42,-573.34,-681.34,-365.28,381.3,-1504.97,1.0,1.0,52.68,42.83,0.657407,0.0,0.342593,-413.08,-472.08,0.166667,-262.9,0.03068,0.050651,0.030685,0.05809,0,108,597,phase13a_rejected_negative_stress,no_signal,not_tradable_negative,parked_research_signal,negative stress; negative validation; fold instability; concentration,False,-2658.39
