candidate_id,fold,segment_start,segment_end,trades,net_pnl,stress_pnl,max_drawdown,best_day_concentration,best_trade_concentration
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt2_gap30_first10_avoid1000,3,2026-02-12,2026-03-18,13,569.38,556.38,-327.7,1.002002,0.617795
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt2_gap30_first10_avoid1000,4,2026-03-19,2026-04-22,18,7.43,-10.57,-615.2,36.106326,23.049798
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt2_gap30_first10_avoid1000,5,2026-04-23,2026-05-27,12,-580.38,-592.38,-530.44,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target15R_mt2_gap30_first10_avoid1000,6,2026-05-28,2026-07-01,18,-781.82,-799.82,-2075.64,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt1_gap30_first10_keep1000,1,2025-12-02,2026-01-07,13,534.38,521.38,-380.18,0.939893,0.939893
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt1_gap30_first10_keep1000,2,2026-01-08,2026-02-11,13,1141.88,1128.88,-308.98,0.456055,0.456055
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt1_gap30_first10_keep1000,3,2026-02-12,2026-03-18,11,285.86,274.86,-381.94,1.143077,1.143077
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt1_gap30_first10_keep1000,4,2026-03-19,2026-04-22,12,-313.38,-325.38,-627.44,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt1_gap30_first10_keep1000,5,2026-04-23,2026-05-27,10,-605.4,-615.4,-428.66,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt1_gap30_first10_keep1000,6,2026-05-28,2026-07-01,12,-1120.38,-1132.38,-1932.68,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt1_gap30_first10_avoid1000,1,2025-12-02,2026-01-07,12,-607.38,-619.38,-535.64,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt1_gap30_first10_avoid1000,2,2026-01-08,2026-02-11,13,782.88,769.88,-555.48,0.665185,0.665185
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt1_gap30_first10_avoid1000,3,2026-02-12,2026-03-18,9,288.34,279.34,-115.22,0.758688,0.758688
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt1_gap30_first10_avoid1000,4,2026-03-19,2026-04-22,12,-313.38,-325.38,-627.44,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_short_only_target20R_mt1_gap30_first10_avoid1000,5,2026-04-23,2026-05-27,9,-470.66,-479.66,-293.92,1.0,1.0
