candidate_id,scope,bucket,pnl,trades,concentration
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_keep1000,day,2026-06-23,-271.24,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_keep1000,day,2026-06-24,-262.24,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_keep1000,day,2026-06-25,-305.24,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_keep1000,day,2026-06-26,173.76,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_keep1000,day,2026-06-29,-433.74,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_keep1000,day,2026-06-30,235.76,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_keep1000,day,2026-07-01,-179.24,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_keep1000,day,2026-07-02,-456.74,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_keep1000,side,long,-1117.21,154,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_keep1000,side,short,-96.17,83,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_keep1000,exit_reason,stop,-4710.58,17,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_keep1000,exit_reason,target,1452.06,6,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_keep1000,exit_reason,time_stop,2045.14,214,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,day,2025-07-15,-84.24,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,day,2025-07-16,-77.24,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,day,2025-07-17,35.76,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,day,2025-07-21,9.26,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,day,2025-07-22,-78.74,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,day,2025-07-23,111.26,1,1.0
