portfolio_set,portfolio_mode,trading_session,net_pnl,negative_day_rank,is_worst_20_day,phase13a_pnl,non_phase13a_pnl,phase13a_helped,phase13a_hurt,no_module_helped
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-10-22,-213.87,8,True,-133.41999999999993,-3095.05,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-11-13,-209.54,9,True,645.3299999999999,5589.969999999999,False,False,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-06-24,-196.24,10,True,2075.3399999999997,-1011.95,True,False,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-05-11,-188.72,11,True,-1704.1,566.4,False,True,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-02-17,-188.24,12,True,593.79,-931.2700000000002,True,False,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-06-25,-183.24,13,True,66.04000000000002,-5699.06,True,False,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-11-20,-175.42,14,True,1625.6999999999998,10218.18,False,False,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-12-18,-174.26,15,True,-245.48000000000002,327.74,False,True,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-03-05,-173.74,16,True,-1041.19,9077.55,False,True,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-01-29,-170.74,17,True,734.64,-5612.54,True,False,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-05-01,-168.54,18,True,-171.32,-828.68,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-12-19,-163.81,19,True,-702.2,-668.16,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-08-21,-157.74,20,True,-166.14,-4180.97,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-01-02,-156.4,21,False,-1709.1000000000001,606.9300000000001,False,True,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-11-12,-153.6,22,False,-167.72,728.1200000000002,False,True,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-12-12,-147.74,23,False,491.84,10657.02,False,False,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-12-22,-132.92,24,False,-809.52,-563.68,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-12-02,-131.4,25,False,-1027.8,1414.3100000000002,False,True,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-10-09,-130.12,26,False,-83.14,-3514.9000000000005,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-07-31,-129.7,27,False,376.28000000000003,1680.0,False,False,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-03-27,-128.74,28,False,247.89999999999998,-5195.87,True,False,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-01-28,-124.88,29,False,-960.73,-1107.3,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-09-05,-124.7,30,False,430.4,-1665.26,True,False,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-03-17,-123.63,31,False,-927.92,399.14000000000004,False,True,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-03-12,-122.74,32,False,745.12,-5032.2,True,False,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-01-16,-122.24,33,False,57.12000000000002,-2185.78,True,False,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-05-19,-119.24,34,False,51.040000000000035,1360.9399999999998,False,False,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-05-29,-114.53,35,False,-1123.64,702.4199999999998,False,True,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-08-07,-113.36,36,False,-994.9399999999999,-180.2199999999999,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-05-04,-112.52,37,False,917.94,860.11,False,False,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-05-05,-109.35,38,False,-333.35999999999996,-793.0999999999999,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-06-10,-108.74,39,False,-1395.12,-54.02000000000044,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-02-26,-106.24,40,False,265.75000000000006,-1785.0,True,False,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-05-12,-101.74,41,False,385.09999999999997,9604.31,False,False,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-09-09,-97.24,42,False,-549.92,-1645.4199999999998,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-06-01,-96.09,43,False,-455.40000000000003,808.88,False,True,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-02-11,-95.74,44,False,-1095.1599999999999,-1698.2599999999998,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-05-18,-95.24,45,False,-1487.83,-843.7299999999998,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-01-30,-94.74,46,False,-199.54000000000008,-207.27999999999986,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-02-10,-92.24,47,False,-636.08,559.0400000000002,False,True,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-11-17,-91.24,48,False,-194.35999999999996,1312.13,False,True,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-02-16,-90.74,49,False,0.0,-6382.53,False,False,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-10-27,-89.79,50,False,-487.82000000000005,-137.38999999999996,False,True,True
audit_a_best_plus_phase13a,max_one_trade_per_session,2025-11-06,-89.24,51,False,-877.4599999999999,3439.16,False,True,False
audit_a_best_plus_phase13a,max_one_trade_per_session,2026-04-08,-85.74,52,False,55.64000000000003,-58.099999999999994,False,False,False
